Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

8.65251296e+01	2023-04-13T14:24:42.415174	1.09810900e-04	3.92497900e-09	2.79774491e+04	-2.99922200e-01	-7.92656500e-08	3.78376005e+06	2	1.50021800e+00	6.35219700e-08	2.36173091e+07
8.67511192e+01	2023-04-13T14:24:42.641191	-5.75311400e-05	2.93114800e-09	-1.96275111e+04	-2.99924200e-01	-4.67906900e-08	6.40991189e+06	2	1.45015900e+00	4.57531000e-08	3.16953168e+07
8.74819414e+01	2023-04-13T14:24:43.372240	2.35318900e-04	-5.08368400e-09	-4.62890494e+04	-3.00028400e-01	-2.98420600e-08	1.00538770e+07	2	1.40037100e+00	4.93035900e-08	2.84030230e+07
8.86073346e+01	2023-04-13T14:24:44.497319	2.68785400e-04	-1.02520100e-09	-2.62178246e+05	-2.99953300e-01	-1.90230900e-08	1.57678537e+07	2	1.35038900e+00	8.03183700e-09	1.68129533e+08
8.95806731e+01	2023-04-13T14:24:45.470388	1.85111700e-04	1.01647700e-09	1.82111056e+05	-2.99857300e-01	-1.32230700e-08	2.26768292e+07	2	1.30040800e+00	2.46292400e-09	5.27993556e+08
9.03270888e+01	2023-04-13T14:24:46.217440	8.47064700e-05	-4.54692400e-09	-1.86294009e+04	-2.99993200e-01	-4.32099200e-09	6.94269279e+07	2	1.25038600e+00	4.13066000e-09	3.02708526e+08
9.12720474e+01	2023-04-13T14:24:47.162505	1.85111700e-04	-4.31649000e-09	-4.28847744e+04	-2.99878100e-01	-3.97065900e-09	7.55235088e+07	2	1.20035600e+00	-9.45755700e-09	-1.26920303e+08
9.21852006e+01	2023-04-13T14:24:48.075569	2.18582900e-04	-6.32658700e-09	-3.45498924e+04	-2.99921900e-01	3.66788900e-10	-8.17696228e+08	2	1.15040900e+00	-7.09468600e-09	-1.62150798e+08
9.31070083e+01	2023-04-13T14:24:48.996633	9.30758600e-05	-5.13755600e-09	-1.81167582e+04	-3.00028900e-01	3.02775000e-09	-9.90930229e+07	2	1.10038800e+00	-2.27011700e-09	-4.84727439e+08
9.40442467e+01	2023-04-13T14:24:49.934699	2.77156700e-04	-4.25255800e-09	-6.51741140e+04	-2.99876100e-01	1.85239900e-09	-1.61885263e+08	2	1.05028600e+00	-1.34896300e-08	-7.78587700e+07
9.49746724e+01	2023-04-13T14:24:50.864764	1.85116100e-04	-6.09483100e-09	-3.03726387e+04	-2.99880100e-01	-7.43181300e-11	4.03508673e+09	2	9.99975200e-01	-1.31618900e-08	-7.59750461e+07
9.59301352e+01	2023-04-13T14:24:51.819832	1.26544000e-04	6.96498700e-09	1.81685910e+04	-2.99989100e-01	4.00426200e-10	-7.49174505e+08	2	9.49970000e-01	1.53130100e-08	6.20367909e+07
9.68813058e+01	2023-04-13T14:24:52.770898	-7.32828100e-06	2.39690600e-09	-3.05739190e+03	-2.99957400e-01	3.50542000e-09	-8.55696036e+07	2	9.00316100e-01	1.39360600e-08	6.46033456e+07
9.78181144e+01	2023-04-13T14:24:53.707964	1.77716100e-05	3.67443700e-10	4.83655319e+04	-2.99964000e-01	4.65960500e-09	-6.43754138e+07	2	8.50380400e-01	1.53072200e-08	5.55542025e+07
9.85925460e+01	2023-04-13T14:24:54.483017	-2.40625600e-05	6.74481800e-09	-3.56756253e+03	-2.99984500e-01	4.85232300e-09	-6.18228630e+07	2	7.99889900e-01	1.46932900e-08	5.44391283e+07
9.93588440e+01	2023-04-13T14:24:55.249071	-8.26327600e-05	2.87565100e-08	-2.87353229e+03	-2.99947300e-01	-1.30440900e-08	2.29948812e+07	2	7.49855400e-01	1.06195900e-08	7.06105791e+07
1.00296330e+02	2023-04-13T14:24:56.186137	8.47096200e-05	1.40635300e-07	6.02335402e+02	-2.99919900e-01	-2.02439900e-07	1.48152563e+06	2	7.00303600e-01	-1.10745400e-08	-6.32354572e+07
1.01545386e+02	2023-04-13T14:24:57.435224	8.47104100e-05	1.05622200e-06	8.02013308e+01	-2.99938900e-01	-1.12164400e-06	2.67410070e+05	2	6.50390400e-01	7.05602800e-09	9.21751444e+07
1.02717062e+02	2023-04-13T14:24:58.607306	5.12407300e-05	3.26329400e-06	1.57021494e+01	-2.99976400e-01	-3.38181000e-06	8.87029135e+04	2	6.00088400e-01	1.02349100e-08	5.86315268e+07
