Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.68824126e+02	2023-04-14T12:07:49.769399	9.30783900e-05	-3.69364100e-09	-2.51996309e+04	-4.99950000e-01	-5.79190900e-08	8.63186904e+06	3	1.50031900e+00	7.16279400e-08	2.09460024e+07
1.69066420e+02	2023-04-14T12:07:50.011414	4.28742100e-05	-2.43469600e-09	-1.76096769e+04	-4.99919900e-01	-4.91397900e-08	1.01734236e+07	3	1.45017600e+00	6.29321300e-08	2.30434915e+07
1.70136278e+02	2023-04-14T12:07:51.081483	7.63454700e-05	-3.27461600e-09	-2.33143275e+04	-4.99960100e-01	-4.32652600e-08	1.15556939e+07	3	1.40019400e+00	3.88762800e-08	3.60166662e+07
1.71231835e+02	2023-04-14T12:07:52.176552	1.09811800e-04	-6.20162600e-10	-1.77069369e+05	-5.00006900e-01	-3.73543000e-08	1.33855246e+07	3	1.35070000e+00	3.72722500e-08	3.62387567e+07
1.72359342e+02	2023-04-14T12:07:53.304623	1.18179000e-04	-2.84693500e-09	-4.15109583e+04	-4.99946700e-01	-2.88542800e-08	1.73266046e+07	3	1.30025800e+00	1.65744200e-08	7.84496833e+07
1.73448846e+02	2023-04-14T12:07:54.393693	1.09811800e-04	8.36856300e-10	1.31219422e+05	-4.99899900e-01	-2.80414100e-08	1.78272027e+07	3	1.25024400e+00	6.61589500e-08	1.88975792e+07
1.74183399e+02	2023-04-14T12:07:55.128739	2.61404400e-05	1.48585100e-09	1.75929080e+04	-5.00008500e-01	-2.18595100e-08	2.28737286e+07	3	1.20008600e+00	4.67503000e-08	2.56701240e+07
1.75154930e+02	2023-04-14T12:07:56.099801	1.18176900e-04	-2.42995500e-09	-4.86333698e+04	-4.99919800e-01	-1.74624100e-08	2.86283394e+07	3	1.15061600e+00	1.30781800e-09	8.79798259e+08
1.75918006e+02	2023-04-14T12:07:56.862850	1.09811800e-04	-1.74867600e-09	-6.27971105e+04	-5.00005200e-01	-1.03665100e-08	4.82327418e+07	3	1.10042000e+00	7.68288500e-09	1.43230050e+08
1.76912743e+02	2023-04-14T12:07:57.857912	1.01444700e-04	-1.56360600e-09	-6.48786843e+04	-4.99931500e-01	-1.06216900e-08	4.70670392e+07	3	1.04988600e+00	5.01221800e-08	2.09465350e+07
1.77792364e+02	2023-04-14T12:07:58.737525	1.09812800e-04	3.55238400e-10	3.09124239e+05	-4.99919900e-01	-7.97938000e-09	6.26514717e+07	3	9.99824600e-01	-8.22257900e-09	-1.21595013e+08
1.78752224e+02	2023-04-14T12:07:59.697586	1.77743200e-05	3.10486600e-09	5.72466573e+03	-4.99990100e-01	-4.53547900e-09	1.10239756e+08	3	9.50607700e-01	1.38386400e-08	6.86922776e+07
1.79682397e+02	2023-04-14T12:08:00.627645	5.12401700e-05	2.26493900e-09	2.26232009e+04	-4.99996800e-01	-4.00692800e-09	1.24783076e+08	3	9.00313700e-01	2.25885300e-08	3.98571177e+07
1.80620360e+02	2023-04-14T12:08:01.565704	3.45071300e-05	1.96707500e-09	1.75423560e+04	-4.99975100e-01	-2.01326400e-09	2.48340555e+08	3	8.50063000e-01	2.39251000e-08	3.55301754e+07
1.81401871e+02	2023-04-14T12:08:02.346754	5.96096200e-05	4.87573000e-09	1.22257836e+04	-4.99991800e-01	-8.88011500e-10	5.63046537e+08	3	7.99864700e-01	2.27498100e-08	3.51591815e+07
1.82183578e+02	2023-04-14T12:08:03.128804	2.61388600e-05	7.40538400e-09	3.52971028e+03	-5.00013500e-01	-1.14112300e-09	4.38176691e+08	3	7.50509600e-01	1.12613400e-08	6.66447865e+07
1.83128157e+02	2023-04-14T12:08:04.073864	1.09815700e-04	1.22219900e-08	8.98509163e+03	-4.99908100e-01	-9.42242300e-09	5.30551536e+07	3	7.00359500e-01	-2.29328700e-08	-3.05395487e+07
1.84089883e+02	2023-04-14T12:08:05.034925	7.63418000e-05	1.08445000e-07	7.03967910e+02	-4.99988400e-01	-1.72115300e-07	2.90496196e+06	3	6.50461700e-01	-2.08050500e-10	-3.12646064e+09
1.85357518e+02	2023-04-14T12:08:06.303004	9.30758600e-05	4.18511100e-07	2.22397590e+02	-4.99951700e-01	-4.49306700e-07	1.11271811e+06	3	5.99904400e-01	-1.50374500e-08	-3.98940246e+07
