Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

8.64057019e+01	2023-04-14T11:51:14.839643	6.79747800e-05	-2.32750300e-09	-2.92050236e+04	-4.99986800e-01	-1.01646100e-07	4.91889802e+06	2	1.50020700e+00	1.43233200e-07	1.04738776e+07
8.66436330e+01	2023-04-14T11:51:15.077658	5.96102300e-05	4.57041100e-10	1.30426410e+05	-4.99990100e-01	-7.78843500e-08	6.41964785e+06	2	1.45016000e+00	4.54876300e-08	3.18803156e+07
8.74155815e+01	2023-04-14T11:51:15.849708	1.26549300e-04	2.84150900e-11	4.45359490e+06	-4.99965000e-01	-5.92094100e-08	8.44401253e+06	2	1.40020200e+00	1.00935600e-07	1.38722314e+07
8.81501624e+01	2023-04-14T11:51:16.584753	1.03880300e-06	1.04125200e-09	9.97648024e+02	-4.99913100e-01	-4.72285200e-08	1.05849834e+07	2	1.34989800e+00	5.89287200e-08	2.29073022e+07
8.92587224e+01	2023-04-14T11:51:17.692824	1.01443800e-04	-2.20456100e-09	-4.60154199e+04	-4.99898100e-01	-3.16956200e-08	1.57718354e+07	2	1.30020000e+00	1.97892300e-08	6.57024048e+07
9.03581668e+01	2023-04-14T11:51:18.792894	8.47096200e-05	1.24699900e-09	6.79307842e+04	-4.99916600e-01	-2.72874400e-08	1.83203921e+07	2	1.24991800e+00	6.95415400e-08	1.79736888e+07
9.12751109e+01	2023-04-14T11:51:19.708952	1.09812800e-04	-2.09651000e-10	-5.23788582e+05	-4.99948300e-01	-2.02002100e-08	2.47496585e+07	2	1.19992900e+00	6.86189900e-09	1.74868356e+08
9.21969155e+01	2023-04-14T11:51:20.631011	5.96083700e-05	-1.22500400e-09	-4.86597350e+04	-4.99934900e-01	-1.47697800e-08	3.38485001e+07	2	1.15045600e+00	9.51248300e-10	1.20941714e+09
9.31186403e+01	2023-04-14T11:51:21.553069	8.47096200e-05	-1.31965100e-09	-6.41909262e+04	-4.99993400e-01	-1.00515600e-08	4.97428658e+07	2	1.10045200e+00	8.33114400e-09	1.32088942e+08
9.40588216e+01	2023-04-14T11:51:22.493129	1.26542900e-04	-5.06598500e-10	-2.49789330e+05	-4.99914800e-01	-1.14095100e-08	4.38156240e+07	2	1.05046600e+00	-6.07151700e-09	-1.73015409e+08
9.48577108e+01	2023-04-14T11:51:23.292180	1.26544000e-04	1.70507200e-09	7.42162208e+04	-4.99866400e-01	-7.92807900e-09	6.30501285e+07	2	1.00048100e+00	-1.45523300e-09	-6.87505712e+08
9.56183000e+01	2023-04-14T11:51:24.052227	5.96102300e-05	2.18880300e-09	2.72341686e+04	-4.99976700e-01	-4.72933300e-09	1.05718227e+08	2	9.50388200e-01	9.09291500e-09	1.04519640e+08
9.65579058e+01	2023-04-14T11:51:24.992287	1.18185000e-04	3.16831600e-09	3.73021504e+04	-4.99965100e-01	-2.63268400e-09	1.89906992e+08	2	9.00576800e-01	2.29160200e-08	3.92990057e+07
9.73219510e+01	2023-04-14T11:51:25.756336	5.96090000e-05	7.23839500e-09	8.23511289e+03	-5.00042000e-01	-4.32273100e-09	1.15677335e+08	2	8.50032200e-01	2.28276000e-08	3.72370376e+07
9.81183269e+01	2023-04-14T11:51:26.552386	5.96077600e-05	7.65639600e-09	7.78535488e+03	-4.99980100e-01	-2.92992400e-09	1.70646099e+08	2	8.00439500e-01	1.34107600e-08	5.96863638e+07
9.90401968e+01	2023-04-14T11:51:27.474445	5.12418500e-05	9.14233200e-09	5.60489928e+03	-5.00008500e-01	-3.00441300e-09	1.66424689e+08	2	7.49952600e-01	2.00770100e-08	3.73537992e+07
9.99626506e+01	2023-04-14T11:51:28.396503	2.61400500e-05	1.29062700e-08	2.02537604e+03	-4.99928300e-01	-4.75408000e-09	1.05157738e+08	2	6.99903100e-01	1.03007200e-08	6.79470076e+07
1.00899351e+02	2023-04-14T11:51:29.333563	7.63454700e-05	1.94800500e-08	3.91916191e+03	-4.99995200e-01	-1.21324400e-08	4.12114299e+07	2	6.49930400e-01	1.48600300e-08	4.37368161e+07
1.01822114e+02	2023-04-14T11:51:30.256621	9.30792300e-05	4.90747200e-08	1.89668387e+03	-4.99990200e-01	-4.14282600e-08	1.20688197e+07	2	6.00075700e-01	1.62270600e-08	3.69799397e+07
