Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.70883771e+02	2023-04-14T10:19:55.511778	1.01442900e-04	-5.97449700e-09	-1.69793206e+04	-9.97309900e-02	-2.30537700e-08	4.32601653e+06	3	1.50052300e+00	-5.62552100e-11	-2.66734939e+10
6.71094588e+02	2023-04-14T10:19:55.722791	9.30775400e-05	-3.56523200e-09	-2.61070079e+04	-9.98745500e-02	-5.54771400e-09	1.80028296e+07	3	1.45039000e+00	-7.22849500e-09	-2.00648959e+08
6.72016715e+02	2023-04-14T10:19:56.644850	1.18177900e-04	-3.60949300e-09	-3.27408586e+04	-9.99484900e-02	4.00852600e-10	-2.49339757e+08	3	1.40047200e+00	-3.01814300e-09	-4.64017775e+08
6.72938595e+02	2023-04-14T10:19:57.566908	3.45075800e-05	-1.89250000e-09	-1.82338600e+04	-1.00005700e-01	2.08081400e-09	-4.80608550e+07	3	1.35046600e+00	4.00305700e-09	3.37358674e+08
6.73860465e+02	2023-04-14T10:19:58.488966	9.40644900e-06	-2.44560000e-10	-3.84627453e+04	-1.00047500e-01	-1.24542300e-09	8.03321442e+07	3	1.30044200e+00	1.45086900e-08	8.96319378e+07
6.74782472e+02	2023-04-14T10:19:59.410025	2.61400500e-05	1.23141100e-09	2.12277217e+04	-1.00064200e-01	-1.77147400e-09	5.64864062e+07	3	1.25006000e+00	2.13976400e-08	5.84204613e+07
6.75704239e+02	2023-04-14T10:20:00.332083	2.61392600e-05	2.53907400e-09	1.02948004e+04	-9.99491700e-02	-4.74567000e-09	2.10611294e+07	3	1.19992800e+00	1.66782300e-08	7.19457640e+07
6.76626098e+02	2023-04-14T10:20:01.254144	7.63425300e-05	1.95029000e-09	3.91441939e+04	-9.98912800e-02	-6.24690200e-09	1.59905310e+07	3	1.14993800e+00	-1.12832500e-08	-1.01915494e+08
6.77391733e+02	2023-04-14T10:20:02.020190	1.01444700e-04	-1.78736100e-09	-5.67566932e+04	-9.98410900e-02	3.23479600e-10	-3.08647253e+08	3	1.10022200e+00	-1.72472700e-08	-6.37910811e+07
6.78313726e+02	2023-04-14T10:20:02.942249	1.34914400e-04	-2.58906100e-09	-5.21093941e+04	-9.99568600e-02	3.63785400e-09	-2.74768751e+07	3	1.05036700e+00	-1.10324900e-08	-9.52067031e+07
6.79235524e+02	2023-04-14T10:20:03.863308	7.63396100e-05	-1.43400900e-09	-5.32350982e+04	-1.00015400e-01	4.79131700e-09	-2.08743024e+07	3	1.00025800e+00	1.42321300e-08	7.02816796e+07
6.80001247e+02	2023-04-14T10:20:04.629357	2.61404400e-05	2.75362500e-09	9.49310091e+03	-9.99903200e-02	-1.97166000e-09	5.07137742e+07	3	9.50045700e-01	1.46180400e-08	6.49913189e+07
6.80922967e+02	2023-04-14T10:20:05.551414	4.28732000e-05	4.49668400e-09	9.53440357e+03	-9.99016700e-02	-4.85707000e-09	2.05682994e+07	3	8.99976900e-01	6.95702200e-09	1.29362377e+08
6.81845055e+02	2023-04-14T10:20:06.473474	6.79747800e-05	7.85267100e-09	8.65626231e+03	-9.98815700e-02	-4.97694500e-09	2.00688515e+07	3	8.49965300e-01	-1.46613800e-09	-5.79730762e+08
6.82766736e+02	2023-04-14T10:20:07.394532	1.01443800e-04	1.48491300e-08	6.83163256e+03	-9.98822500e-02	-3.61793300e-09	2.76075455e+07	3	7.99935200e-01	-1.09446100e-08	-7.30894203e+07
6.83689359e+02	2023-04-14T10:20:08.317590	9.30767000e-05	3.57592900e-08	2.60286767e+03	-9.98738700e-02	-2.98002100e-08	3.35144853e+06	3	7.50195000e-01	-1.28928700e-08	-5.81868118e+07
6.84610622e+02	2023-04-14T10:20:09.238648	8.47096200e-05	1.27764000e-07	6.63016343e+02	-9.99324300e-02	-5.34439200e-07	1.86985592e+05	3	7.00132600e-01	-5.73618700e-09	-1.22055400e+08
6.85850955e+02	2023-04-14T10:20:10.478728	7.63447300e-05	1.83532400e-06	4.15974128e+01	-9.99401200e-02	-2.01141300e-06	4.96865239e+04	3	6.50084500e-01	5.34804300e-09	1.21555586e+08
6.86861434e+02	2023-04-14T10:20:11.489792	6.79768000e-05	6.15943100e-06	1.10362142e+01	-9.98912800e-02	-6.18639500e-06	1.61469289e+04	3	6.00113500e-01	4.83700000e-09	1.24067294e+08
