Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

1.14641720e+00	23-05-15 17:45:55	6.86215100e-05	-7.20776600e-08	-9.99426000e-02	-6.13597100e-08	1	1.50014700e+00	8.85213300e-08
3.69418310e+00	23-05-15 17:45:58	6.71992900e-05	-2.58261500e-08	-9.99450400e-02	-3.60334600e-08	1	1.45015800e+00	5.81511200e-08
5.60037610e+00	23-05-15 17:46:00	6.82031300e-05	-1.61513300e-08	-9.99439800e-02	-2.36113800e-08	1	1.40014600e+00	4.16351200e-08
6.97542980e+00	23-05-15 17:46:01	6.90396400e-05	-1.14389300e-08	-9.99422800e-02	-1.59747100e-08	1	1.35013500e+00	3.00365500e-08
8.39737120e+00	23-05-15 17:46:02	6.83704800e-05	-8.19938000e-09	-9.99424500e-02	-1.08202300e-08	1	1.30017500e+00	2.18519500e-08
9.81960290e+00	23-05-15 17:46:04	6.89561200e-05	-5.74506100e-09	-9.99423400e-02	-7.37369200e-09	1	1.25018300e+00	1.60949800e-08
1.12456449e+01	23-05-15 17:46:05	6.96252400e-05	-3.77657800e-09	-9.99423100e-02	-5.09365200e-09	1	1.20016500e+00	1.20731100e-08
1.26633691e+01	23-05-15 17:46:07	6.89560900e-05	-2.13113500e-09	-9.99421200e-02	-3.54771600e-09	1	1.15017600e+00	9.20030800e-09
1.40913718e+01	23-05-15 17:46:08	6.97089500e-05	-7.14120400e-10	-9.99422500e-02	-2.45494800e-09	1	1.10014500e+00	7.02065700e-09
1.55176526e+01	23-05-15 17:46:10	7.05455300e-05	4.63897900e-10	-9.99416600e-02	-1.63302500e-09	1	1.05013200e+00	5.33659100e-09
1.69338053e+01	23-05-15 17:46:11	6.98762600e-05	1.38388400e-09	-9.99412300e-02	-9.84335900e-10	1	1.00016700e+00	3.91214100e-09
1.83502316e+01	23-05-15 17:46:12	6.94580700e-05	1.97199000e-09	-9.99411400e-02	-4.77430500e-10	1	9.50153200e-01	2.69625000e-09
1.97764756e+01	23-05-15 17:46:14	6.90396700e-05	2.28593600e-09	-9.99420600e-02	-9.62182800e-11	1	9.00120800e-01	1.66580700e-09
2.11942213e+01	23-05-15 17:46:15	7.01271900e-05	2.48590100e-09	-9.99411900e-02	1.89573300e-10	1	8.50132300e-01	7.46364400e-10
2.26242595e+01	23-05-15 17:46:17	6.97927300e-05	2.67580200e-09	-9.99419000e-02	4.47844500e-10	1	8.00108900e-01	8.15848600e-11
2.40462200e+01	23-05-15 17:46:18	7.01271900e-05	2.91840400e-09	-9.99420400e-02	7.38695100e-10	1	7.50109400e-01	-5.87918700e-10
2.54595430e+01	23-05-15 17:46:20	6.95417700e-05	3.32837300e-09	-9.99426300e-02	1.03569300e-09	1	7.00153000e-01	-1.23728600e-09
2.68925142e+01	23-05-15 17:46:21	7.13818300e-05	4.24377300e-09	-9.99419600e-02	1.35128600e-09	1	6.50131800e-01	-2.20971400e-09
2.83085531e+01	23-05-15 17:46:22	7.07966700e-05	6.84143100e-09	-9.99412200e-02	1.11196100e-09	1	6.00111800e-01	-2.48109500e-09
2.97303940e+01	23-05-15 17:46:24	7.15494100e-05	1.56913700e-08	-9.99420800e-02	-1.03608200e-08	1	5.50117400e-01	-2.13241100e-09
3.11519200e+01	23-05-15 17:46:25	7.03783000e-05	4.52675500e-08	-9.99427300e-02	-5.70819800e-08	1	5.00114800e-01	-1.64971800e-09
3.30583544e+01	23-05-15 17:46:27	7.18841000e-05	1.36052200e-07	-9.99419000e-02	-1.56459500e-07	1	4.50123200e-01	-1.97002400e-09
3.44596357e+01	23-05-15 17:46:29	7.26373700e-05	3.77975500e-07	-9.99455000e-02	-4.36459600e-07	1	4.00149500e-01	-2.13255500e-09
3.58657376e+01	23-05-15 17:46:30	7.07966400e-05	1.01331100e-06	-9.99434700e-02	-1.08650500e-06	1	3.50121400e-01	-2.05935200e-09
3.76939206e+01	23-05-15 17:46:32	7.10476100e-05	1.88265100e-06	-9.99434500e-02	-2.09603700e-06	1	3.00099700e-01	-2.52392400e-09
3.90612041e+01	23-05-15 17:46:33	7.38918900e-05	3.41416200e-06	-9.99441800e-02	-3.77014900e-06	1	2.50112200e-01	-2.98451600e-09
4.04204183e+01	23-05-15 17:46:34	7.03782400e-05	6.18486400e-06	-9.99430100e-02	-6.36572700e-06	1	2.00054400e-01	-2.07367100e-09
4.22094912e+01	23-05-15 17:46:36	7.09639900e-05	8.45113900e-06	-9.99430900e-02	-8.88116000e-06	1	1.50065000e-01	-4.00556600e-09
4.33560424e+01	23-05-15 17:46:37	7.07130000e-05	1.12081900e-05	-9.99428900e-02	-1.15753300e-05	1	1.00064200e-01	-4.05252800e-09
4.47210945e+01	23-05-15 17:46:39	7.28879500e-05	1.36243700e-05	-9.99435500e-02	-1.39143000e-05	1	5.00648700e-02	-4.37323900e-09
4.60687486e+01	23-05-15 17:46:40	7.19677200e-05	1.54456700e-05	-9.99442000e-02	-1.56452900e-05	1	6.67179300e-05	-5.17341600e-09
4.72094284e+01	23-05-15 17:46:41	7.23859900e-05	1.67384900e-05	-9.99436600e-02	-1.68291800e-05	1	-4.99344500e-02	-5.49922700e-09
4.85732837e+01	23-05-15 17:46:43	7.28042800e-05	1.75513800e-05	-9.99434700e-02	-1.75952400e-05	1	-9.99374800e-02	-6.10462000e-09
4.99281806e+01	23-05-15 17:46:44	7.33062900e-05	1.79897500e-05	-9.99445100e-02	-1.79997200e-05	1	-1.49935500e-01	-6.91431800e-09
5.13079358e+01	23-05-15 17:46:45	7.26371100e-05	1.81777500e-05	-9.99442400e-02	-1.80848500e-05	1	-1.99930700e-01	-7.99946600e-09
5.26691118e+01	23-05-15 17:46:47	7.29715300e-05	1.80506800e-05	-9.99439200e-02	-1.79485600e-05	1	-2.49943100e-01	-9.28213200e-09
5.40219524e+01	23-05-15 17:46:48	7.30551500e-05	1.76944800e-05	-9.99439500e-02	-1.74350000e-05	1	-2.99958300e-01	-1.06678400e-08
5.53969399e+01	23-05-15 17:46:49	7.26370200e-05	1.68611500e-05	-9.99434100e-02	-1.65629400e-05	1	-3.49942100e-01	-1.23290700e-08
5.67624341e+01	23-05-15 17:46:51	7.28042200e-05	1.57248200e-05	-9.99444300e-02	-1.54620400e-05	1	-3.99966700e-01	-1.43136400e-08
5.81155481e+01	23-05-15 17:46:52	7.19676300e-05	1.39292700e-05	-9.99432900e-02	-1.35141300e-05	1	-4.49968100e-01	-1.64684200e-08
5.94905002e+01	23-05-15 17:46:54	7.09638400e-05	1.18278500e-05	-9.99438100e-02	-1.13611200e-05	1	-4.99954500e-01	-1.89721300e-08
6.08344961e+01	23-05-15 17:46:55	7.08801000e-05	9.80148900e-06	-9.99435500e-02	-9.58082400e-06	1	-4.99954600e-01	-1.69217400e-08
6.14800800e+01	23-05-15 17:46:56	7.15493200e-05	9.90735600e-06	-9.99445500e-02	-1.01745800e-05	1	-3.99966700e-01	-5.89631500e-09
6.28357408e+01	23-05-15 17:46:57	7.08801700e-05	1.09998300e-05	-9.99439100e-02	-1.12105300e-05	1	-2.99957600e-01	-2.12521000e-09
6.41988368e+01	23-05-15 17:46:58	7.18004000e-05	1.17990600e-05	-9.99434700e-02	-1.18790900e-05	1	-1.99931200e-01	3.21136600e-10
6.55605449e+01	23-05-15 17:47:00	7.20513000e-05	1.14838200e-05	-9.99434700e-02	-1.13701700e-05	1	-9.99374900e-02	1.76658900e-09
6.69176059e+01	23-05-15 17:47:01	7.12983600e-05	1.00732600e-05	-9.99429600e-02	-9.56930500e-06	1	6.64669000e-05	2.89437200e-09
6.82717247e+01	23-05-15 17:47:02	7.08802900e-05	6.74526900e-06	-9.99418300e-02	-6.06070700e-06	1	1.00065100e-01	3.36278100e-09
6.96526975e+01	23-05-15 17:47:04	7.20514200e-05	2.57538300e-06	-9.99451900e-02	-2.29896600e-06	1	2.00059800e-01	2.71205100e-09
7.14804193e+01	23-05-15 17:47:06	6.91234600e-05	8.66531000e-07	-9.99430200e-02	-6.56988500e-07	1	3.00099300e-01	3.70992000e-09
7.28355659e+01	23-05-15 17:47:07	7.07964700e-05	9.38835500e-08	-9.99433900e-02	-8.27845000e-08	1	4.00151800e-01	3.54609200e-09
7.47091056e+01	23-05-15 17:47:09	6.96251200e-05	1.93923900e-09	-9.99433200e-02	-7.85654300e-09	1	5.00115900e-01	3.93353100e-09
7.66628771e+01	23-05-15 17:47:11	6.78684200e-05	-7.29729600e-09	-9.99429800e-02	-6.33615000e-09	1	6.00114600e-01	6.20490200e-09
7.80906828e+01	23-05-15 17:47:12	6.85378000e-05	-9.39460700e-09	-9.99430200e-02	-5.87635200e-09	1	7.00154200e-01	7.41954300e-09
7.95059730e+01	23-05-15 17:47:14	6.67811000e-05	-1.24186500e-08	-9.99428400e-02	-6.07040000e-09	1	8.00109900e-01	8.82852100e-09
8.09278229e+01	23-05-15 17:47:15	6.65299000e-05	-1.55416300e-08	-9.99428400e-02	-7.58568200e-09	1	9.00122300e-01	1.10093600e-08
8.23496861e+01	23-05-15 17:47:16	6.71992300e-05	-1.52784000e-08	-9.99430800e-02	-9.88031400e-09	1	1.00016800e+00	1.44436300e-08
8.37715379e+01	23-05-15 17:47:18	6.79519200e-05	-1.68773600e-08	-9.99438100e-02	-1.50952300e-08	1	1.10014600e+00	2.15154800e-08
8.51934036e+01	23-05-15 17:47:19	6.61952400e-05	-2.60613900e-08	-9.99441100e-02	-2.58704900e-08	1	1.20016600e+00	3.17314900e-08
8.68183878e+01	23-05-15 17:47:21	6.55260800e-05	-2.67296100e-08	-9.99450500e-02	-3.55488400e-08	1	1.30017100e+00	4.49852800e-08
8.81949288e+01	23-05-15 17:47:22	6.44386500e-05	-3.36904000e-08	-9.99463900e-02	-4.51069600e-08	1	1.40014700e+00	5.82655600e-08
8.95682950e+01	23-05-15 17:47:24	6.30164300e-05	-4.07477400e-08	-9.99432400e-02	-5.06863300e-08	1	1.50014700e+00	7.14497500e-08
9.11852489e+01	23-05-15 17:47:25	6.55260500e-05	-2.71254800e-08	-9.99431000e-02	-4.15026400e-08	2	1.50014600e+00	6.64532300e-08
9.18502896e+01	23-05-15 17:47:26	6.77848600e-05	-1.72570800e-08	-9.99446700e-02	-2.85073500e-08	2	1.45015900e+00	4.63016800e-08
