Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

5.31710147e+02	23-05-15 18:16:38	7.07123600e-05	8.44501200e-10	-4.99928600e-01	-1.34671300e-07	1	1.50014700e+00	1.35396300e-07
5.33099873e+02	23-05-15 18:16:40	6.87050400e-05	-2.20318300e-10	-4.99928400e-01	-1.05391900e-07	1	1.45015800e+00	1.03936200e-07
5.34474721e+02	23-05-15 18:16:41	6.95413100e-05	2.84213600e-11	-4.99927600e-01	-8.08339100e-08	1	1.40014800e+00	8.08952700e-08
5.35850096e+02	23-05-15 18:16:42	6.92067300e-05	1.37917300e-10	-4.99927900e-01	-6.23060500e-08	1	1.35013200e+00	6.32133700e-08
5.37226408e+02	23-05-15 18:16:44	6.88721800e-05	2.19395700e-10	-4.99927100e-01	-4.80421300e-08	1	1.30017200e+00	4.92773800e-08
5.38615877e+02	23-05-15 18:16:45	6.90394400e-05	3.30670000e-10	-4.99929800e-01	-3.71695200e-08	1	1.25018600e+00	3.82658500e-08
5.40490201e+02	23-05-15 18:16:47	6.88721800e-05	4.27185300e-10	-4.99928700e-01	-2.76237000e-08	1	1.20016600e+00	2.90914400e-08
5.41912603e+02	23-05-15 18:16:49	6.91230500e-05	6.91405200e-10	-4.99929000e-01	-2.05199400e-08	1	1.15017800e+00	2.18431300e-08
5.43342820e+02	23-05-15 18:16:50	6.96249500e-05	9.84650500e-10	-4.99928300e-01	-1.49576900e-08	1	1.10014600e+00	1.59577400e-08
5.44755713e+02	23-05-15 18:16:51	6.99596100e-05	1.34930000e-09	-4.99927600e-01	-1.06947400e-08	1	1.05013200e+00	1.12829000e-08
5.46178559e+02	23-05-15 18:16:53	6.92904900e-05	1.85273700e-09	-4.99927000e-01	-7.56983700e-09	1	1.00016700e+00	7.64696400e-09
5.47604015e+02	23-05-15 18:16:54	6.97924400e-05	2.69464400e-09	-4.99926700e-01	-5.40438100e-09	1	9.50152500e-01	4.79922200e-09
5.49022687e+02	23-05-15 18:16:56	7.02941100e-05	4.54359500e-09	-4.99927300e-01	-4.09712500e-09	1	9.00120500e-01	2.57204100e-09
5.50447516e+02	23-05-15 18:16:57	7.00433200e-05	9.85360300e-09	-4.99927100e-01	-8.87522500e-09	1	8.50132500e-01	1.42330100e-09
5.51869343e+02	23-05-15 18:16:59	7.16329700e-05	3.10502800e-08	-4.99928200e-01	-3.32357500e-08	1	8.00109700e-01	5.74913400e-10
5.53286870e+02	23-05-15 18:17:00	7.08799700e-05	1.08983900e-07	-4.99928900e-01	-1.25269900e-07	1	7.50108300e-01	8.81975600e-10
5.55192940e+02	23-05-15 18:17:02	7.12148900e-05	2.92351100e-07	-4.99928300e-01	-3.18918900e-07	1	7.00153500e-01	-6.66454300e-10
5.56599465e+02	23-05-15 18:17:03	7.03779200e-05	8.68586400e-07	-4.99928300e-01	-9.60896600e-07	1	6.50129700e-01	-1.77978200e-10
5.58430617e+02	23-05-15 18:17:05	7.25530500e-05	1.88872300e-06	-4.99928000e-01	-2.06880200e-06	1	6.00111000e-01	-1.60135100e-09
5.59790391e+02	23-05-15 18:17:06	7.53973200e-05	4.12678600e-06	-4.99931500e-01	-4.48953300e-06	1	5.50116900e-01	-1.29400800e-09
5.61151258e+02	23-05-15 18:17:08	7.23853800e-05	8.85117500e-06	-4.99927100e-01	-9.49330300e-06	1	5.00114700e-01	-1.41098400e-09
5.62948369e+02	23-05-15 18:17:10	7.19672900e-05	1.46498300e-05	-4.99928600e-01	-1.55048600e-05	1	4.50124100e-01	-2.24769700e-09
5.64302332e+02	23-05-15 18:17:11	7.32223200e-05	2.32396500e-05	-4.99930400e-01	-2.43979200e-05	1	4.00151600e-01	-2.63106400e-09
5.65678569e+02	23-05-15 18:17:12	7.55646900e-05	3.39851500e-05	-4.99930900e-01	-3.54377500e-05	1	3.50118700e-01	-3.18726300e-09
5.67036823e+02	23-05-15 18:17:14	7.63177000e-05	4.66724800e-05	-4.99932200e-01	-4.81145700e-05	1	3.00101300e-01	-3.51450300e-09
5.68396027e+02	23-05-15 18:17:15	7.33058500e-05	6.18735600e-05	-4.99929500e-01	-6.34213300e-05	1	2.50110400e-01	-4.02911500e-09
5.70197266e+02	23-05-15 18:17:17	7.28878400e-05	7.52799700e-05	-4.99929200e-01	-7.67991600e-05	1	2.00057800e-01	-5.07415400e-09
5.71356156e+02	23-05-15 18:17:18	7.32223200e-05	8.94001100e-05	-4.99930100e-01	-9.14927300e-05	1	1.50063200e-01	-6.14042200e-09
5.72708620e+02	23-05-15 18:17:19	7.35570800e-05	1.03382600e-04	-4.99929600e-01	-1.05003200e-04	1	1.00064300e-01	-7.89747100e-09
5.74084269e+02	23-05-15 18:17:21	7.38080700e-05	1.16216100e-04	-4.99930000e-01	-1.17668800e-04	1	5.00629200e-02	-9.09071900e-09
5.75442886e+02	23-05-15 18:17:22	7.33062100e-05	1.27631100e-04	-4.99930800e-01	-1.28957900e-04	1	6.46263200e-05	-1.04391800e-08
5.76804015e+02	23-05-15 18:17:23	7.34736400e-05	1.38339600e-04	-4.99929400e-01	-1.39195700e-04	1	-4.99341100e-02	-1.05645100e-08
5.78178435e+02	23-05-15 18:17:25	7.41427100e-05	1.47188700e-04	-4.99930400e-01	-1.48130700e-04	1	-9.99379400e-02	-1.04427100e-08
5.79541522e+02	23-05-15 18:17:26	7.43936100e-05	1.54809800e-04	-4.99930800e-01	-1.55623200e-04	1	-1.49937200e-01	-1.03968100e-08
5.80896277e+02	23-05-15 18:17:28	7.47282200e-05	1.60739200e-04	-4.99931100e-01	-1.61083700e-04	1	-1.99930400e-01	-1.03832600e-08
5.82255456e+02	23-05-15 18:17:29	7.48118900e-05	1.63862500e-04	-4.99930400e-01	-1.63817800e-04	1	-2.49941800e-01	-1.05082700e-08
5.83630961e+02	23-05-15 18:17:30	7.45609800e-05	1.64581900e-04	-4.99930900e-01	-1.64100000e-04	1	-2.99957900e-01	-1.11909900e-08
5.85005906e+02	23-05-15 18:17:32	7.47282200e-05	1.61822400e-04	-4.99929700e-01	-1.61052700e-04	1	-3.49942200e-01	-1.19561600e-08
5.86369507e+02	23-05-15 18:17:33	7.44772000e-05	1.55970400e-04	-4.99930800e-01	-1.55309900e-04	1	-3.99966600e-01	-1.34324300e-08
5.87744484e+02	23-05-15 18:17:34	7.44772900e-05	1.49073800e-04	-4.99930200e-01	-1.47495700e-04	1	-4.49967100e-01	-1.54325700e-08
5.89110764e+02	23-05-15 18:17:36	7.44772900e-05	1.40838500e-04	-4.99930800e-01	-1.38850700e-04	1	-4.99953200e-01	-1.74766200e-08
5.90473275e+02	23-05-15 18:17:37	7.42262300e-05	1.32259700e-04	-4.99929500e-01	-1.31520600e-04	1	-4.99952500e-01	-1.60007000e-08
5.91133082e+02	23-05-15 18:17:38	7.38081000e-05	1.31739400e-04	-4.99929900e-01	-1.31804900e-04	1	-3.99964500e-01	-6.01760600e-09
5.92286469e+02	23-05-15 18:17:39	7.41425600e-05	1.33806200e-04	-4.99929500e-01	-1.34219400e-04	1	-2.99957900e-01	-1.35968600e-09
5.93653984e+02	23-05-15 18:17:40	7.42262300e-05	1.34168800e-04	-4.99930800e-01	-1.34099800e-04	1	-1.99931000e-01	1.33642500e-09
5.95026663e+02	23-05-15 18:17:42	7.48953900e-05	1.28513900e-04	-4.99929200e-01	-1.26873000e-04	1	-9.99365600e-02	3.14480600e-09
5.96395889e+02	23-05-15 18:17:43	7.35570200e-05	1.13111800e-04	-4.99929900e-01	-1.10149500e-04	1	6.64670000e-05	4.74904100e-09
5.97755894e+02	23-05-15 18:17:44	7.33061100e-05	8.99389100e-05	-4.99929900e-01	-8.59188400e-05	1	1.00067100e-01	5.43615800e-09
5.99114709e+02	23-05-15 18:17:46	7.30551800e-05	6.26505200e-05	-4.99929700e-01	-5.87177700e-05	1	2.00059600e-01	5.87749500e-09
6.00498713e+02	23-05-15 18:17:47	7.45609100e-05	3.33389200e-05	-4.99930600e-01	-2.99231900e-05	1	3.00100300e-01	5.43908100e-09
6.02272105e+02	23-05-15 18:17:49	7.24692600e-05	1.42881300e-05	-4.99929800e-01	-1.25733900e-05	1	4.00149600e-01	6.31551000e-09
6.03614559e+02	23-05-15 18:17:50	7.41422700e-05	3.11142900e-06	-4.99928700e-01	-2.63378600e-06	1	5.00111100e-01	5.76669700e-09
6.05411498e+02	23-05-15 18:17:52	6.97922700e-05	5.49632000e-07	-4.99928200e-01	-4.41309400e-07	1	6.00116200e-01	7.00489700e-09
6.06792681e+02	23-05-15 18:17:53	7.26365200e-05	2.05119500e-08	-4.99929300e-01	-2.40886800e-08	1	7.00154800e-01	6.92148400e-09
6.09177064e+02	23-05-15 18:17:56	6.90392300e-05	-5.57346700e-09	-4.99928500e-01	-1.16516900e-08	1	8.00110900e-01	1.12983200e-08
6.10583336e+02	23-05-15 18:17:57	6.85374300e-05	-7.30437300e-09	-4.99928300e-01	-1.74416600e-08	1	9.00122800e-01	1.83606100e-08
6.11989401e+02	23-05-15 18:17:59	6.82864300e-05	-7.14195300e-09	-4.99928900e-01	-2.72391700e-08	1	1.00016900e+00	2.67484500e-08
6.13395759e+02	23-05-15 18:18:00	6.88718600e-05	-6.67390100e-09	-4.99930500e-01	-3.82170600e-08	1	1.10014800e+00	3.50049800e-08
6.15005296e+02	23-05-15 18:18:02	6.87046900e-05	-5.62030500e-09	-4.99930400e-01	-4.98802000e-08	1	1.20016400e+00	4.64742400e-08
6.16364327e+02	23-05-15 18:18:03	6.87883600e-05	-5.61247900e-09	-4.99927400e-01	-6.29943700e-08	1	1.30017200e+00	6.05133200e-08
6.17974415e+02	23-05-15 18:18:05	6.78684200e-05	-6.43153900e-09	-4.99927100e-01	-8.72629100e-08	1	1.40014900e+00	8.51250800e-08
6.19350007e+02	23-05-15 18:18:06	6.90392300e-05	-8.30826300e-09	-4.99927500e-01	-1.21493200e-07	1	1.50014800e+00	1.20725300e-07
6.20728556e+02	23-05-15 18:18:07	6.93739500e-05	-3.98457600e-09	-4.99928200e-01	-1.14810300e-07	2	1.50014800e+00	1.17708200e-07
6.21411553e+02	23-05-15 18:18:08	6.87885100e-05	-1.13058000e-09	-4.99927200e-01	-9.09338100e-08	2	1.45015900e+00	9.18477700e-08
