Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

1.15547370e+00	23-05-15 16:10:37	8.56864900e-05	2.24853200e-04	-4.99928000e-01	-1.67825600e-07	1	1.50014900e+00	2.55238500e-07
3.28089880e+00	23-05-15 16:10:39	6.84542200e-05	-7.46030700e-08	-4.99927900e-01	-1.28065700e-07	1	1.45016100e+00	1.90484100e-07
5.10906790e+00	23-05-15 16:10:41	6.89562200e-05	-4.36000400e-08	-4.99927300e-01	-1.03307200e-07	1	1.40014900e+00	1.39802600e-07
6.46900560e+00	23-05-15 16:10:43	6.61954100e-05	-2.88017700e-08	-4.99927300e-01	-8.35223200e-08	1	1.35013400e+00	1.08421100e-07
8.10899750e+00	23-05-15 16:10:44	6.83704500e-05	-1.66177100e-08	-4.99926700e-01	-6.83091000e-08	1	1.30017200e+00	8.48574300e-08
9.48405690e+00	23-05-15 16:10:46	6.97927300e-05	-9.15182500e-09	-4.99926100e-01	-5.57651400e-08	1	1.25018100e+00	6.62226100e-08
1.08589978e+01	23-05-15 16:10:47	7.09638100e-05	-3.33858600e-09	-4.99926800e-01	-4.56050500e-08	1	1.20016600e+00	5.14425400e-08
1.22395459e+01	23-05-15 16:10:48	7.02945600e-05	1.58783900e-09	-4.99928800e-01	-3.77847500e-08	1	1.15018100e+00	3.98500000e-08
1.41245998e+01	23-05-15 16:10:50	7.07128200e-05	6.15825700e-09	-4.99928300e-01	-3.15924200e-08	1	1.10014700e+00	3.00151100e-08
1.55543794e+01	23-05-15 16:10:52	7.17169000e-05	1.15292600e-08	-4.99927700e-01	-2.84591800e-08	1	1.05013300e+00	2.25391100e-08
1.69683594e+01	23-05-15 16:10:53	7.15496100e-05	2.03058200e-08	-4.99927400e-01	-3.26316900e-08	1	1.00016800e+00	1.70286100e-08
1.83973352e+01	23-05-15 16:10:55	6.96254700e-05	4.77667200e-08	-4.99927200e-01	-8.49626200e-08	1	9.50153200e-01	1.38199600e-08
2.03121690e+01	23-05-15 16:10:57	7.00440100e-05	1.43570300e-07	-4.99926700e-01	-1.74739600e-07	1	9.00121300e-01	9.09691500e-09
2.17206522e+01	23-05-15 16:10:58	7.29718000e-05	3.16119100e-07	-4.99927900e-01	-3.73676500e-07	1	8.50133000e-01	5.53090000e-09
2.31297505e+01	23-05-15 16:10:59	7.02948800e-05	7.43704700e-07	-4.99926200e-01	-8.61720300e-07	1	8.00112200e-01	4.29214800e-09
2.49566819e+01	23-05-15 16:11:01	7.07132000e-05	1.15768900e-06	-4.99927100e-01	-1.32389600e-06	1	7.50108600e-01	1.00083500e-10
2.63167769e+01	23-05-15 16:11:03	7.21353300e-05	1.96277400e-06	-4.99926800e-01	-2.24690800e-06	1	7.00153800e-01	-3.10212200e-09
2.76730233e+01	23-05-15 16:11:04	7.25535200e-05	3.27457300e-06	-4.99928600e-01	-3.73311300e-06	1	6.50131100e-01	-5.65366900e-09
2.90627723e+01	23-05-15 16:11:05	7.13820900e-05	5.97667500e-06	-4.99926100e-01	-6.59377500e-06	1	6.00112900e-01	-4.84235300e-09
3.08629146e+01	23-05-15 16:11:07	7.02947200e-05	7.93287600e-06	-4.99926800e-01	-8.69242000e-06	1	5.50118500e-01	-6.73807500e-09
3.22183337e+01	23-05-15 16:11:08	7.08802600e-05	1.08685800e-05	-4.99927100e-01	-1.18028200e-05	1	5.00112800e-01	-7.48692800e-09
3.35838754e+01	23-05-15 16:11:10	7.07967900e-05	1.41907500e-05	-4.99928300e-01	-1.53427600e-05	1	4.50121500e-01	-7.86956400e-09
3.49527599e+01	23-05-15 16:11:11	7.19680100e-05	1.80794500e-05	-4.99928000e-01	-1.93990600e-05	1	4.00150500e-01	-8.50930800e-09
3.63120527e+01	23-05-15 16:11:13	7.25536700e-05	2.27483700e-05	-4.99929300e-01	-2.42487000e-05	1	3.50119900e-01	-9.26742200e-09
3.76715760e+01	23-05-15 16:11:14	7.35573700e-05	2.82620500e-05	-4.99929500e-01	-3.00888700e-05	1	3.00097500e-01	-1.00742700e-08
3.90462143e+01	23-05-15 16:11:15	7.53141600e-05	3.48608700e-05	-4.99931100e-01	-3.68414100e-05	1	2.50110600e-01	-1.11702600e-08
4.04092075e+01	23-05-15 16:11:17	7.72381400e-05	4.27250900e-05	-4.99930600e-01	-4.52632000e-05	1	2.00057100e-01	-1.22070400e-08
4.17651109e+01	23-05-15 16:11:18	7.28045400e-05	5.56451800e-05	-4.99929700e-01	-5.70522200e-05	1	1.50063500e-01	-1.08879200e-08
4.35619691e+01	23-05-15 16:11:20	7.29717200e-05	6.31756200e-05	-4.99929700e-01	-6.65389500e-05	1	1.00064000e-01	-1.31034900e-08
4.49221374e+01	23-05-15 16:11:21	7.28046600e-05	7.57190800e-05	-4.99929200e-01	-7.96150300e-05	1	5.00641100e-02	-1.42312700e-08
4.62962792e+01	23-05-15 16:11:23	7.25537900e-05	8.99245200e-05	-4.99928800e-01	-9.41323900e-05	1	6.42078600e-05	-1.51217800e-08
4.76556438e+01	23-05-15 16:11:24	7.26373700e-05	1.05720500e-04	-4.99928700e-01	-1.10193700e-04	1	-4.99364400e-02	-1.58332600e-08
4.90150010e+01	23-05-15 16:11:25	7.35575200e-05	1.22383300e-04	-4.99929700e-01	-1.27267300e-04	1	-9.99388400e-02	-1.64111200e-08
5.03743290e+01	23-05-15 16:11:27	7.41430000e-05	1.40169600e-04	-4.99930500e-01	-1.45653900e-04	1	-1.49936300e-01	-1.69307100e-08
5.17348039e+01	23-05-15 16:11:28	7.34741600e-05	1.59193300e-04	-4.99929100e-01	-1.65002100e-04	1	-1.99932000e-01	-1.74466700e-08
5.31151071e+01	23-05-15 16:11:29	7.39757200e-05	1.78956400e-04	-4.99929900e-01	-1.85284500e-04	1	-2.49944600e-01	-1.80777900e-08
5.44686988e+01	23-05-15 16:11:31	7.42268500e-05	1.99749200e-04	-4.99929900e-01	-2.06189600e-04	1	-2.99959600e-01	-1.87611300e-08
5.58298479e+01	23-05-15 16:11:32	7.38087400e-05	2.21089100e-04	-4.99930600e-01	-2.28382200e-04	1	-3.49943600e-01	-1.94296800e-08
5.72075993e+01	23-05-15 16:11:33	7.43941700e-05	2.43517800e-04	-4.99930200e-01	-2.51045000e-04	1	-3.99966500e-01	-2.03174400e-08
5.85629918e+01	23-05-15 16:11:35	7.42268700e-05	2.67023900e-04	-4.99930400e-01	-2.74454900e-04	1	-4.49968400e-01	-2.10519000e-08
5.99212333e+01	23-05-15 16:11:36	7.52306700e-05	2.90759400e-04	-4.99930300e-01	-2.98780000e-04	1	-4.99954900e-01	-2.17872400e-08
6.12961642e+01	23-05-15 16:11:38	7.44780700e-05	3.14504200e-04	-4.99930600e-01	-3.22284900e-04	1	-5.49921800e-01	-2.27170800e-08
6.26614055e+01	23-05-15 16:11:39	7.53980700e-05	3.38397700e-04	-4.99931500e-01	-3.46519900e-04	1	-5.99945100e-01	-2.36457600e-08
6.40148654e+01	23-05-15 16:11:40	7.66526800e-05	3.62443700e-04	-4.99931200e-01	-3.70060800e-04	1	-6.49959600e-01	-2.49509000e-08
6.53742707e+01	23-05-15 16:11:42	7.70710400e-05	3.86399700e-04	-4.99931400e-01	-3.94275700e-04	1	-6.99975000e-01	-2.62756100e-08
6.67396475e+01	23-05-15 16:11:43	7.69875200e-05	4.10063200e-04	-4.99931700e-01	-4.17368600e-04	1	-7.49962400e-01	-2.78419500e-08
6.81088812e+01	23-05-15 16:11:44	7.71546600e-05	4.32432200e-04	-4.99930900e-01	-4.39422300e-04	1	-7.99925200e-01	-2.96153300e-08
6.94518452e+01	23-05-15 16:11:46	7.84094500e-05	4.47059000e-04	-4.99931500e-01	-4.46971500e-04	1	-7.99924600e-01	-2.59826000e-08
7.00893113e+01	23-05-15 16:11:46	7.77402600e-05	4.34380700e-04	-4.99931000e-01	-4.19546200e-04	1	-6.99973000e-01	-6.17900200e-09
7.14523430e+01	23-05-15 16:11:48	7.64857700e-05	3.84239400e-04	-4.99930600e-01	-3.67390000e-04	1	-5.99941500e-01	4.54168300e-09
7.28132665e+01	23-05-15 16:11:49	7.62346300e-05	3.31273700e-04	-4.99930900e-01	-3.14878300e-04	1	-4.99951000e-01	1.06897600e-08
7.41714958e+01	23-05-15 16:11:50	7.52307600e-05	2.82766300e-04	-4.99930200e-01	-2.66453200e-04	1	-3.99963300e-01	1.44772800e-08
7.55476659e+01	23-05-15 16:11:52	7.54815100e-05	2.46660800e-04	-4.99930600e-01	-2.27997300e-04	1	-2.99954700e-01	1.78203400e-08
7.69123349e+01	23-05-15 16:11:53	7.47286500e-05	2.00437500e-04	-4.99930400e-01	-1.87923900e-04	1	-1.99928100e-01	1.97437400e-08
7.82665762e+01	23-05-15 16:11:54	7.36411000e-05	1.65836900e-04	-4.99929700e-01	-1.54649600e-04	1	-9.99356900e-02	2.17261200e-08
7.96242422e+01	23-05-15 16:11:56	7.33065800e-05	1.35264400e-04	-4.99929200e-01	-1.24994900e-04	1	6.89768800e-05	2.36409300e-08
8.09834614e+01	23-05-15 16:11:57	7.33901100e-05	1.07900300e-04	-4.99929400e-01	-9.91723800e-05	1	1.00069400e-01	2.54702500e-08
8.23667031e+01	23-05-15 16:11:59	7.33064100e-05	8.41050200e-05	-4.99929000e-01	-7.68608600e-05	1	2.00062100e-01	2.44948800e-08
8.39246973e+01	23-05-15 16:12:00	7.27208400e-05	6.54933600e-05	-4.99928200e-01	-5.89116400e-05	1	3.00103500e-01	2.49872700e-08
8.55037764e+01	23-05-15 16:12:02	7.28881600e-05	4.95881900e-05	-4.99929000e-01	-4.45705600e-05	1	4.00154700e-01	2.57879000e-08
8.70618897e+01	23-05-15 16:12:03	7.47285100e-05	3.25976200e-05	-4.99930500e-01	-3.06841500e-05	1	5.00119600e-01	2.48963400e-08
8.88583714e+01	23-05-15 16:12:05	7.47283300e-05	2.68910700e-05	-4.99928900e-01	-2.38916500e-05	1	6.00116700e-01	2.79226100e-08
9.04229638e+01	23-05-15 16:12:07	7.39753000e-05	1.86768600e-05	-4.99929400e-01	-1.62539200e-05	1	7.00156900e-01	3.07873800e-08
9.19989188e+01	23-05-15 16:12:08	7.21351000e-05	1.18948000e-05	-4.99928200e-01	-1.02684700e-05	1	8.00114500e-01	3.45714000e-08
