Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

6.09072818e+02	23-05-15 16:20:45	6.94574000e-05	-5.32232500e-08	-9.99416600e-02	-8.66083900e-09	1	1.50014900e+00	3.55295600e-08
6.10759144e+02	23-05-15 16:20:47	6.66968400e-05	-1.81161000e-08	-9.99422700e-02	-7.37681200e-09	1	1.45016100e+00	2.55421200e-08
6.12448017e+02	23-05-15 16:20:49	6.81192100e-05	-1.12284400e-08	-9.99425500e-02	-5.55713900e-09	1	1.40014900e+00	1.98159600e-08
6.13853351e+02	23-05-15 16:20:50	6.90392300e-05	-8.30534400e-09	-9.99421400e-02	-4.35410200e-09	1	1.35013400e+00	1.61710200e-08
6.15275224e+02	23-05-15 16:20:51	6.92902000e-05	-6.42469700e-09	-9.99417600e-02	-3.38845400e-09	1	1.30017400e+00	1.33429800e-08
6.16698810e+02	23-05-15 16:20:53	6.88719800e-05	-5.02627800e-09	-9.99425000e-02	-2.73032000e-09	1	1.25018200e+00	1.10270800e-08
6.18118377e+02	23-05-15 16:20:54	7.01267200e-05	-3.71483500e-09	-9.99415600e-02	-2.02245600e-09	1	1.20016400e+00	9.41650400e-09
6.19540363e+02	23-05-15 16:20:56	6.89557300e-05	-2.66753200e-09	-9.99423100e-02	-1.58501400e-09	1	1.15017600e+00	8.49147700e-09
6.20962214e+02	23-05-15 16:20:57	7.01267900e-05	-1.69000100e-09	-9.99420000e-02	-1.13070400e-09	1	1.10014600e+00	6.42860700e-09
6.22387525e+02	23-05-15 16:20:59	7.04614000e-05	-3.48159000e-10	-9.99416800e-02	-5.97611800e-10	1	1.05013200e+00	5.00676100e-09
6.23806106e+02	23-05-15 16:21:00	6.97921500e-05	9.47841600e-10	-9.99421300e-02	-1.30440900e-10	1	1.00016800e+00	3.75563800e-09
6.25239611e+02	23-05-15 16:21:01	6.99593200e-05	2.37797300e-09	-9.99423700e-02	2.13793800e-10	1	9.50151700e-01	1.92458600e-09
6.26649563e+02	23-05-15 16:21:03	7.09633200e-05	4.27918000e-09	-9.99409200e-02	4.21795800e-10	1	9.00120400e-01	2.49068900e-11
6.28071525e+02	23-05-15 16:21:04	7.12142200e-05	6.56218400e-09	-9.99421000e-02	6.37909700e-10	1	8.50131500e-01	-2.10787800e-09
6.29493760e+02	23-05-15 16:21:06	7.06288600e-05	9.28936400e-09	-9.99411500e-02	2.05405000e-10	1	8.00108600e-01	-3.69714300e-09
6.30701285e+02	23-05-15 16:21:07	7.03779500e-05	1.32181800e-08	-9.99404400e-02	-1.52898000e-09	1	7.50109300e-01	-5.33715700e-09
6.32123299e+02	23-05-15 16:21:08	7.23854800e-05	2.03912100e-08	-9.99413100e-02	-9.08423300e-09	1	7.00152000e-01	-6.07814400e-09
6.33540064e+02	23-05-15 16:21:10	7.32223000e-05	3.71304400e-08	-9.99418600e-02	-2.86173200e-08	1	6.50132100e-01	-6.81645300e-09
6.34965438e+02	23-05-15 16:21:11	7.02942000e-05	7.95444000e-08	-9.99422500e-02	-7.96853900e-08	1	6.00111500e-01	-6.29798900e-09
6.36870035e+02	23-05-15 16:21:13	6.91231700e-05	1.20426100e-07	-9.99423700e-02	-1.19631800e-07	1	5.50119900e-01	-7.85718800e-09
6.38285220e+02	23-05-15 16:21:15	7.12144900e-05	1.85297300e-07	-9.99429400e-02	-1.89456300e-07	1	5.00111100e-01	-8.03497700e-09
6.39681354e+02	23-05-15 16:21:16	7.24692400e-05	2.66727700e-07	-9.99452200e-02	-2.77644300e-07	1	4.50124100e-01	-9.65119500e-09
6.41091263e+02	23-05-15 16:21:17	7.28876000e-05	3.69548800e-07	-9.99445100e-02	-3.82539600e-07	1	4.00144900e-01	-1.11582500e-08
6.42497585e+02	23-05-15 16:21:19	7.03777500e-05	5.48150900e-07	-9.99413800e-02	-5.91519800e-07	1	3.50121000e-01	-9.47352600e-09
6.44321397e+02	23-05-15 16:21:21	7.11304300e-05	6.87102700e-07	-9.99426300e-02	-7.02097200e-07	1	3.00092200e-01	-1.21737100e-08
6.45711952e+02	23-05-15 16:21:22	7.13816900e-05	9.59141700e-07	-9.99433200e-02	-1.03281000e-06	1	2.50109200e-01	-1.31723700e-08
6.47071541e+02	23-05-15 16:21:23	7.20507500e-05	1.25857000e-06	-9.99422800e-02	-1.24601600e-06	1	2.00057400e-01	-1.43816200e-08
6.48446327e+02	23-05-15 16:21:25	7.02107200e-05	1.43031000e-06	-9.99417000e-02	-1.46391700e-06	1	1.50061000e-01	-1.54378300e-08
6.49805669e+02	23-05-15 16:21:26	7.22182500e-05	1.62608900e-06	-9.99424700e-02	-1.66192500e-06	1	1.00061600e-01	-1.58632900e-08
6.51165149e+02	23-05-15 16:21:27	7.20509300e-05	1.89395600e-06	-9.99439000e-02	-1.80963100e-06	1	5.00604500e-02	-1.80957400e-08
6.52525180e+02	23-05-15 16:21:29	7.34731400e-05	2.18684500e-06	-9.99394800e-02	-2.31737400e-06	1	6.41243700e-05	-1.81006800e-08
6.53899429e+02	23-05-15 16:21:30	7.56480200e-05	2.46526200e-06	-9.99408400e-02	-2.43813800e-06	1	-4.99367100e-02	-1.88552500e-08
6.55263616e+02	23-05-15 16:21:31	7.36403700e-05	2.48240400e-06	-9.99438600e-02	-2.52351400e-06	1	-9.99393300e-02	-1.94188500e-08
6.56618227e+02	23-05-15 16:21:33	7.38077500e-05	2.68336800e-06	-9.99433900e-02	-2.53521300e-06	1	-1.49940400e-01	-2.02046000e-08
6.57979879e+02	23-05-15 16:21:34	7.08800200e-05	2.69344400e-06	-9.99298600e-02	-2.69606300e-06	1	-1.99933300e-01	-2.07459300e-08
6.59360730e+02	23-05-15 16:21:36	6.80358200e-05	2.57683900e-06	-9.99444700e-02	-2.48982600e-06	1	-2.49943900e-01	-2.07513700e-08
6.60711893e+02	23-05-15 16:21:37	7.25531700e-05	2.38178300e-06	-9.99452800e-02	-2.68588300e-06	1	-2.99960400e-01	-2.15751700e-08
6.62071209e+02	23-05-15 16:21:38	7.53970000e-05	2.66619300e-06	-9.99431800e-02	-2.56405200e-06	1	-3.49940600e-01	-2.23318600e-08
6.63446346e+02	23-05-15 16:21:40	6.62794600e-05	2.83963100e-06	-9.99417600e-02	-2.86608900e-06	1	-3.99960900e-01	-2.17094100e-08
6.64805645e+02	23-05-15 16:21:41	7.36406600e-05	4.13892200e-06	-9.99467200e-02	-4.23193200e-06	1	-4.49965500e-01	-2.35941000e-08
6.66166862e+02	23-05-15 16:21:42	8.52678500e-05	4.50951300e-06	-9.99432400e-02	-4.39347700e-06	1	-4.99956100e-01	-2.36854900e-08
6.67541242e+02	23-05-15 16:21:44	8.07508500e-05	4.46063500e-06	-9.99624600e-02	-4.33066000e-06	1	-5.49920000e-01	-2.36248300e-08
6.68899356e+02	23-05-15 16:21:45	7.51458800e-05	5.62001400e-06	-9.99436000e-02	-5.89851100e-06	1	-5.99944700e-01	-2.79631300e-08
6.70696114e+02	23-05-15 16:21:47	7.63175500e-05	4.24045000e-05	-9.99465300e-02	-4.28197500e-05	1	-6.49959600e-01	-2.75156100e-08
6.72061217e+02	23-05-15 16:21:48	7.74051400e-05	4.62885100e-05	-9.99459900e-02	-4.65097800e-05	1	-6.99974900e-01	-2.76915700e-08
6.73414827e+02	23-05-15 16:21:50	7.27204000e-05	5.15753700e-05	-9.99444400e-02	-5.21691600e-05	1	-7.49961100e-01	-2.69291700e-08
6.75211537e+02	23-05-15 16:21:51	7.32223000e-05	5.40865600e-05	-9.99446600e-02	-5.45194700e-05	1	-7.99924500e-01	-2.86365300e-08
6.76585885e+02	23-05-15 16:21:53	7.21349500e-05	5.64462700e-05	-9.99452300e-02	-5.66498800e-05	1	-7.99925100e-01	-2.66748100e-08
6.77226963e+02	23-05-15 16:21:53	7.23021200e-05	5.69680100e-05	-9.99444800e-02	-5.66894700e-05	1	-6.99973800e-01	-1.54913500e-08
6.78603273e+02	23-05-15 16:21:55	7.22185400e-05	5.63841000e-05	-9.99438600e-02	-5.60258200e-05	1	-5.99941300e-01	-8.79174400e-09
6.79964863e+02	23-05-15 16:21:56	7.30550700e-05	5.52091900e-05	-9.99440500e-02	-5.48113100e-05	1	-4.99952800e-01	-3.32721100e-09
6.81321088e+02	23-05-15 16:21:58	7.33895600e-05	5.39029500e-05	-9.99434300e-02	-5.32626300e-05	1	-3.99964300e-01	1.51437500e-09
6.82696127e+02	23-05-15 16:21:59	7.30550100e-05	5.13609300e-05	-9.99440900e-02	-5.03765100e-05	1	-2.99956800e-01	7.54641200e-09
6.84057720e+02	23-05-15 16:22:00	7.26368400e-05	4.71909000e-05	-9.99444700e-02	-4.57776400e-05	1	-1.99929700e-01	1.34287700e-08
6.85433174e+02	23-05-15 16:22:02	7.28039900e-05	4.15366900e-05	-9.99475600e-02	-3.85174800e-05	1	-9.99366800e-02	1.63231600e-08
6.87008518e+02	23-05-15 16:22:03	7.58991200e-05	3.17105300e-05	-9.99461800e-02	-3.03901600e-05	1	6.84749800e-05	1.90864400e-08
6.88602234e+02	23-05-15 16:22:05	7.50626400e-05	2.59832400e-05	-9.99456300e-02	-2.37716200e-05	1	1.00069000e-01	2.42223900e-08
6.89961501e+02	23-05-15 16:22:06	7.35566400e-05	1.83348500e-05	-9.99448400e-02	-1.62621700e-05	1	2.00063500e-01	2.47397000e-08
6.91527448e+02	23-05-15 16:22:08	7.16326800e-05	1.16693700e-05	-9.99431300e-02	-1.01656100e-05	1	3.00103900e-01	2.46737700e-08
6.93088078e+02	23-05-15 16:22:09	7.08797000e-05	7.23510300e-06	-9.99423100e-02	-6.29918200e-06	1	4.00154700e-01	2.61946600e-08
6.94450620e+02	23-05-15 16:22:11	7.02940400e-05	4.61682000e-06	-9.99451700e-02	-3.67241300e-06	1	5.00118300e-01	2.47121600e-08
6.96043392e+02	23-05-15 16:22:12	7.34730300e-05	2.51210400e-06	-9.99442100e-02	-2.35078600e-06	1	6.00116500e-01	2.52785700e-08
6.97636327e+02	23-05-15 16:22:14	7.14656200e-05	1.73940300e-06	-9.99442700e-02	-1.53292700e-06	1	7.00154400e-01	2.80013900e-08
6.98998788e+02	23-05-15 16:22:15	7.14653000e-05	9.88287200e-07	-9.99434400e-02	-8.82343700e-07	1	8.00114900e-01	2.82653900e-08
