Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

2.99815157e+02	23-05-15 16:51:55	6.66135500e-05	-1.50207500e-08	-2.99926400e-01	-2.48326200e-08	1	1.50015000e+00	3.08943300e-08
3.01504474e+02	23-05-15 16:51:56	6.89558900e-05	-1.50645200e-09	-2.99926100e-01	-1.94130800e-08	1	1.45016200e+00	2.29180000e-08
3.02921829e+02	23-05-15 16:51:58	6.96249500e-05	-1.88781700e-10	-2.99927200e-01	-1.45149600e-08	1	1.40014900e+00	1.71813100e-08
3.04348836e+02	23-05-15 16:51:59	7.06289100e-05	4.29174000e-10	-2.99926500e-01	-1.06993100e-08	1	1.35013400e+00	1.29168300e-08
3.05766828e+02	23-05-15 16:52:01	6.92067800e-05	7.63111100e-10	-2.99926000e-01	-7.80292100e-09	1	1.30017400e+00	9.89792700e-09
3.07189735e+02	23-05-15 16:52:02	6.98760000e-05	1.03913400e-09	-2.99925400e-01	-5.68151100e-09	1	1.25018300e+00	7.58223700e-09
3.08605636e+02	23-05-15 16:52:03	6.97923200e-05	1.27817800e-09	-2.99926400e-01	-4.14126300e-09	1	1.20016500e+00	5.88786500e-09
3.10043171e+02	23-05-15 16:52:05	6.96250100e-05	1.53621200e-09	-2.99925300e-01	-2.97727700e-09	1	1.15017600e+00	4.46020700e-09
3.11449305e+02	23-05-15 16:52:06	6.98760800e-05	1.90413400e-09	-2.99924900e-01	-2.19266900e-09	1	1.10014500e+00	3.38359400e-09
3.12902074e+02	23-05-15 16:52:08	7.04615600e-05	2.37285500e-09	-2.99925100e-01	-1.53196300e-09	1	1.05013200e+00	2.28958000e-09
3.14316343e+02	23-05-15 16:52:09	7.02943600e-05	3.07557700e-09	-2.99924900e-01	-1.12804800e-09	1	1.00016700e+00	1.17930300e-09
3.15736383e+02	23-05-15 16:52:11	6.95415000e-05	4.20356200e-09	-2.99924600e-01	-1.08721900e-09	1	9.50151900e-01	1.77212200e-10
3.17154925e+02	23-05-15 16:52:12	6.99597900e-05	6.82894800e-09	-2.99924500e-01	-3.52965900e-09	1	9.00121100e-01	-3.82966100e-10
3.18581195e+02	23-05-15 16:52:13	7.04618800e-05	1.77902400e-08	-2.99925100e-01	-1.78177000e-08	1	8.50132400e-01	-4.34295700e-10
3.20011762e+02	23-05-15 16:52:15	7.09636400e-05	6.70351900e-08	-2.99925400e-01	-7.82679800e-08	1	8.00109400e-01	2.45187800e-10
3.21928086e+02	23-05-15 16:52:17	7.10472000e-05	1.32627000e-07	-2.99926000e-01	-1.44299600e-07	1	7.50111700e-01	-2.35406900e-10
3.23328189e+02	23-05-15 16:52:18	7.12147400e-05	2.13309600e-07	-2.99926400e-01	-2.34129800e-07	1	7.00152100e-01	-7.32280400e-11
3.24730482e+02	23-05-15 16:52:20	7.38915700e-05	3.12556100e-07	-2.99928400e-01	-3.29353900e-07	1	6.50134700e-01	-9.42957800e-11
3.26143177e+02	23-05-15 16:52:21	7.06296100e-05	4.11471700e-07	-2.99929000e-01	-4.32046300e-07	1	6.00114200e-01	-6.98755100e-10
3.27542938e+02	23-05-15 16:52:22	6.94577800e-05	5.42543000e-07	-2.99926000e-01	-5.63344900e-07	1	5.50120100e-01	-2.20614100e-10
3.29377935e+02	23-05-15 16:52:24	6.90396400e-05	6.30795100e-07	-2.99926100e-01	-6.50753100e-07	1	5.00116100e-01	-6.42272500e-10
3.30746204e+02	23-05-15 16:52:26	7.01269600e-05	7.22704100e-07	-2.99926900e-01	-7.30787000e-07	1	4.50124100e-01	-6.61161300e-10
3.32121007e+02	23-05-15 16:52:27	7.07961500e-05	7.99312300e-07	-2.99926800e-01	-8.37576600e-07	1	4.00150100e-01	-9.74835000e-10
3.33464861e+02	23-05-15 16:52:28	7.06287400e-05	9.14631700e-07	-2.99927700e-01	-9.18057500e-07	1	3.50120500e-01	-1.46871800e-09
3.34839870e+02	23-05-15 16:52:30	7.11308400e-05	9.70389900e-07	-2.99926800e-01	-9.68397900e-07	1	3.00098800e-01	-1.85818600e-09
3.36199285e+02	23-05-15 16:52:31	7.20509000e-05	9.57090100e-07	-2.99927400e-01	-1.00517700e-06	1	2.50111500e-01	-2.18756000e-09
3.37568832e+02	23-05-15 16:52:32	7.07125600e-05	8.88067000e-07	-2.99926100e-01	-8.79030700e-07	1	2.00061200e-01	-2.36510300e-09
3.38938178e+02	23-05-15 16:52:34	7.03780400e-05	8.95433200e-07	-2.99925900e-01	-9.28559000e-07	1	1.50064600e-01	-2.89521500e-09
3.40293110e+02	23-05-15 16:52:35	6.97087300e-05	1.02024900e-06	-2.99928700e-01	-1.30494900e-06	1	1.00064100e-01	-3.39099100e-09
3.41652311e+02	23-05-15 16:52:36	6.94579500e-05	1.66820600e-06	-2.99935700e-01	-1.62642600e-06	1	5.00698500e-02	-3.74312300e-09
3.43016875e+02	23-05-15 16:52:38	4.31922400e-05	2.37708600e-06	-2.99945200e-01	-2.14487100e-06	1	6.56302500e-05	-3.65411700e-09
3.44377614e+02	23-05-15 16:52:39	7.09635800e-05	1.40122000e-06	-2.99919200e-01	-2.02065900e-06	1	-4.99264400e-02	-4.43756100e-09
3.45534268e+02	23-05-15 16:52:40	5.76634200e-05	1.56318100e-06	-2.99934900e-01	-1.31335200e-06	1	-9.99384200e-02	-5.02527500e-09
3.46683593e+02	23-05-15 16:52:42	7.30548900e-05	1.14342900e-06	-2.99929800e-01	-1.20719900e-06	1	-1.49936200e-01	-5.26445800e-09
3.47824597e+02	23-05-15 16:52:43	7.12146300e-05	1.03147000e-06	-2.99925200e-01	-9.93188900e-07	1	-1.99930500e-01	-5.25377100e-09
3.49183483e+02	23-05-15 16:52:44	7.00434000e-05	9.69237000e-07	-2.99927300e-01	-9.90584600e-07	1	-2.49942700e-01	-5.59651900e-09
3.50542907e+02	23-05-15 16:52:45	7.01271100e-05	9.59312100e-07	-2.99921600e-01	-9.82765300e-07	1	-2.99957600e-01	-6.06382200e-09
3.51908701e+02	23-05-15 16:52:47	6.15948500e-05	9.38426300e-07	-2.99935100e-01	-1.26841000e-06	1	-3.49940700e-01	-6.74408600e-09
3.53268089e+02	23-05-15 16:52:48	7.04616500e-05	1.05378200e-06	-2.99926400e-01	-9.70490200e-07	1	-3.99965600e-01	-7.42200800e-09
3.54626132e+02	23-05-15 16:52:49	7.06290300e-05	9.63124500e-07	-2.99925800e-01	-9.77438000e-07	1	-4.49966600e-01	-8.32220900e-09
3.55995966e+02	23-05-15 16:52:51	7.40586000e-05	1.01275500e-06	-2.99925400e-01	-1.04161200e-06	1	-4.99953700e-01	-9.46915200e-09
3.57361650e+02	23-05-15 16:52:52	6.94578900e-05	9.98565600e-07	-2.99927900e-01	-1.00644800e-06	1	-5.49919600e-01	-1.07082700e-08
3.58714601e+02	23-05-15 16:52:54	7.13818000e-05	1.02339400e-06	-2.99923900e-01	-9.90349400e-07	1	-5.99942400e-01	-1.19382700e-08
3.60093908e+02	23-05-15 16:52:55	7.17162900e-05	9.46298000e-07	-2.99925600e-01	-9.52313400e-07	1	-6.49958900e-01	-1.33893800e-08
3.61449235e+02	23-05-15 16:52:56	6.97088900e-05	9.54225800e-07	-2.99926900e-01	-9.19313000e-07	1	-6.99975100e-01	-1.46500300e-08
3.62813880e+02	23-05-15 16:52:58	6.99598500e-05	1.01897400e-06	-2.99926600e-01	-9.99082000e-07	1	-7.49960000e-01	-1.57055300e-08
3.64196724e+02	23-05-15 16:52:59	7.08800500e-05	9.42920400e-07	-2.99926200e-01	-9.09187600e-07	1	-7.99922700e-01	-1.67553600e-08
3.65525933e+02	23-05-15 16:53:00	7.08800000e-05	9.86688300e-07	-2.99927500e-01	-9.17139200e-07	1	-7.99923300e-01	-1.50819000e-08
3.66153045e+02	23-05-15 16:53:01	7.12145400e-05	1.44939400e-06	-2.99926100e-01	-1.01027800e-06	1	-6.99973900e-01	-5.35172500e-09
3.67529062e+02	23-05-15 16:53:02	7.12143400e-05	9.96041800e-07	-2.99926400e-01	-9.77667600e-07	1	-5.99941600e-01	-9.06846200e-10
3.68870765e+02	23-05-15 16:53:04	7.00435500e-05	9.84042200e-07	-2.99928000e-01	-9.75213900e-07	1	-4.99950700e-01	1.06159500e-09
3.70258798e+02	23-05-15 16:53:05	7.00433200e-05	9.21113000e-07	-2.99928800e-01	-9.17814900e-07	1	-3.99962900e-01	3.36105300e-09
3.71606372e+02	23-05-15 16:53:06	6.92069600e-05	9.14146500e-07	-2.99926300e-01	-9.44603900e-07	1	-2.99956000e-01	4.02713400e-09
3.72973220e+02	23-05-15 16:53:08	6.98762900e-05	9.53637300e-07	-2.99925600e-01	-9.27474500e-07	1	-1.99930000e-01	4.84457300e-09
3.74343853e+02	23-05-15 16:53:09	6.74503100e-05	9.72739100e-07	-2.99924700e-01	-1.01553700e-06	1	-9.99366300e-02	5.38102500e-09
3.75698877e+02	23-05-15 16:53:11	7.17162900e-05	9.69736500e-07	-2.99925800e-01	-9.37504500e-07	1	6.62159500e-05	5.75307000e-09
3.77069078e+02	23-05-15 16:53:12	7.02107800e-05	9.57015800e-07	-2.99926400e-01	-9.63603900e-07	1	1.00065100e-01	6.00190300e-09
3.78433366e+02	23-05-15 16:53:13	7.12145200e-05	9.74125700e-07	-2.99926300e-01	-9.74653100e-07	1	2.00060600e-01	6.15160200e-09
3.79792610e+02	23-05-15 16:53:15	6.99598700e-05	9.17151100e-07	-2.99925900e-01	-9.05611600e-07	1	3.00099800e-01	6.25236400e-09
3.81151980e+02	23-05-15 16:53:16	6.99596400e-05	8.77509900e-07	-2.99927600e-01	-8.51848300e-07	1	4.00153700e-01	5.82300500e-09
3.82526706e+02	23-05-15 16:53:17	7.11308700e-05	7.45586200e-07	-2.99925500e-01	-6.59570000e-07	1	5.00115700e-01	4.78655400e-09
3.83874983e+02	23-05-15 16:53:19	7.00433200e-05	5.03223500e-07	-2.99926100e-01	-4.16142100e-07	1	6.00115500e-01	4.40100700e-09
3.85486326e+02	23-05-15 16:53:20	7.22182500e-05	1.97388200e-07	-2.99926100e-01	-1.98073900e-07	1	7.00155100e-01	5.22748400e-09
3.87125291e+02	23-05-15 16:53:22	7.12982100e-05	1.02192600e-07	-2.99926400e-01	-9.19677000e-08	1	8.00110700e-01	6.72334400e-09
