Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

4.32106557e+02	23-05-19 16:43:15	6.62788500e-05	-1.95348900e-07	-2.99928600e-01	-3.20135600e-07	1	1.00016700e+00	5.07119200e-07
4.33455417e+02	23-05-19 16:43:17	6.66971600e-05	-1.62768700e-07	-2.99929200e-01	-2.94621700e-07	1	9.50153900e-01	4.62700400e-07
4.34598027e+02	23-05-19 16:43:18	6.70316800e-05	-1.42440200e-07	-2.99929100e-01	-2.76020500e-07	1	9.00122900e-01	4.22315600e-07
4.35731513e+02	23-05-19 16:43:19	6.79519700e-05	-1.26164200e-07	-2.99929700e-01	-2.54213800e-07	1	8.50136600e-01	3.83973700e-07
4.37090817e+02	23-05-19 16:43:20	6.71155900e-05	-1.11422700e-07	-2.99928700e-01	-2.34751800e-07	1	8.00114200e-01	3.48346200e-07
4.38450196e+02	23-05-19 16:43:22	6.72827600e-05	-9.63643600e-08	-2.99927800e-01	-2.15245600e-07	1	7.50114300e-01	3.12964100e-07
4.39809479e+02	23-05-19 16:43:23	6.66973600e-05	-7.86775500e-08	-2.99927600e-01	-1.95987900e-07	1	7.00157800e-01	2.77760600e-07
4.41186043e+02	23-05-19 16:43:25	6.72829900e-05	-5.61458900e-08	-2.99928100e-01	-1.78512600e-07	1	6.50136700e-01	2.40365300e-07
4.42559519e+02	23-05-19 16:43:26	6.44383300e-05	-3.40121100e-08	-2.99927700e-01	-1.62941000e-07	1	6.00116500e-01	1.99701100e-07
4.44200194e+02	23-05-19 16:43:28	6.71992600e-05	-1.20342000e-08	-2.99927600e-01	-1.47191200e-07	1	5.50122000e-01	1.62778700e-07
4.45576345e+02	23-05-19 16:43:29	6.77011800e-05	-3.42753000e-09	-2.99927100e-01	-1.31806900e-07	1	5.00117600e-01	1.36881500e-07
4.46950274e+02	23-05-19 16:43:30	6.82031900e-05	-1.45017500e-09	-2.99928000e-01	-1.14224700e-07	1	4.50125000e-01	1.16541600e-07
4.48325493e+02	23-05-19 16:43:32	6.78687100e-05	-1.30065400e-09	-2.99927200e-01	-9.25936300e-08	1	4.00152300e-01	9.50182100e-08
4.49700136e+02	23-05-19 16:43:33	6.79522400e-05	-1.23717700e-09	-2.99926700e-01	-6.61003800e-08	1	3.50123700e-01	6.94385200e-08
4.51081427e+02	23-05-19 16:43:34	6.99595500e-05	-1.00059000e-09	-2.99928600e-01	-3.84132200e-08	1	3.00101400e-01	4.11279800e-08
4.52715728e+02	23-05-19 16:43:36	6.79520600e-05	-6.67930300e-10	-2.99927500e-01	-1.38521700e-08	1	2.50115800e-01	1.72644600e-08
4.54138107e+02	23-05-19 16:43:37	6.85377400e-05	-1.77886900e-10	-2.99925700e-01	-1.55705300e-09	1	2.00059600e-01	5.13033400e-09
4.55559762e+02	23-05-19 16:43:39	6.70319700e-05	4.17206800e-10	-2.99926400e-01	1.62465400e-09	1	1.50065300e-01	1.07592300e-09
4.56983472e+02	23-05-19 16:43:40	6.78685000e-05	1.17665100e-09	-2.99926500e-01	2.10091700e-09	1	1.00064600e-01	-3.51038300e-10
4.58387872e+02	23-05-19 16:43:42	6.81195200e-05	2.50138500e-09	-2.99926100e-01	2.26594000e-09	1	5.00647900e-02	-1.27539500e-09
4.59812668e+02	23-05-19 16:43:43	6.87886500e-05	8.13143700e-09	-2.99925800e-01	2.36572400e-09	1	6.64668900e-05	-1.82672700e-09
4.61236173e+02	23-05-19 16:43:45	6.89559900e-05	5.61842300e-08	-2.99926100e-01	-5.46599000e-08	1	-4.99352100e-02	-2.50155700e-09
4.63141505e+02	23-05-19 16:43:46	7.18005800e-05	4.13669200e-07	-2.99928400e-01	-4.22813600e-07	1	-9.99396600e-02	-5.78864700e-09
4.64548078e+02	23-05-19 16:43:48	6.96254100e-05	1.32076400e-06	-2.99928500e-01	-2.16691300e-06	1	-1.49935300e-01	-9.20278300e-09
4.66372001e+02	23-05-19 16:43:50	6.98763500e-05	6.41051400e-06	-2.99926800e-01	-6.52778800e-06	1	-1.99932300e-01	-1.45783800e-08
4.68168817e+02	23-05-19 16:43:52	7.18000300e-05	1.53486000e-05	-2.99927200e-01	-1.55903600e-05	1	-2.49945400e-01	-1.96432800e-08
4.69528268e+02	23-05-19 16:43:53	7.38080100e-05	3.06846100e-05	-2.99929000e-01	-3.11533600e-05	1	-2.99962700e-01	-2.51995900e-08
4.70907063e+02	23-05-19 16:43:54	7.11313900e-05	5.40091600e-05	-2.99928100e-01	-5.44028000e-05	1	-3.49945500e-01	-2.85370100e-08
4.72701271e+02	23-05-19 16:43:56	7.15496400e-05	8.24448900e-05	-2.99928700e-01	-8.32175300e-05	1	-3.99967200e-01	-4.29480600e-08
4.74018949e+02	23-05-19 16:43:57	7.21352400e-05	1.16477500e-04	-2.99928500e-01	-1.16800400e-04	1	-4.49968200e-01	-5.52466400e-08
4.75332463e+02	23-05-19 16:43:59	7.17172200e-05	1.51769600e-04	-2.99929400e-01	-1.52006000e-04	1	-4.99955100e-01	-6.85701100e-08
4.76637611e+02	23-05-19 16:44:00	7.34736400e-05	1.85678300e-04	-2.99928600e-01	-1.85823400e-04	1	-5.49920700e-01	-8.05375100e-08
4.77950181e+02	23-05-19 16:44:01	7.26372800e-05	2.15351100e-04	-2.99929300e-01	-2.15400700e-04	1	-5.99944000e-01	-9.06365100e-08
4.79266581e+02	23-05-19 16:44:03	7.26371900e-05	2.38876700e-04	-2.99930700e-01	-2.38665400e-04	1	-6.49960200e-01	-1.01563300e-07
4.80575207e+02	23-05-19 16:44:04	7.35574000e-05	2.55190200e-04	-2.99930600e-01	-2.54670800e-04	1	-6.99975000e-01	-1.23405600e-07
4.81887574e+02	23-05-19 16:44:05	7.33064300e-05	2.63763800e-04	-2.99930000e-01	-2.62593100e-04	1	-7.49963600e-01	-2.81500500e-07
4.83199911e+02	23-05-19 16:44:07	7.28046300e-05	2.64280100e-04	-2.99929800e-01	-2.62010300e-04	1	-7.99924500e-01	-5.32080700e-07
4.84293974e+02	23-05-19 16:44:08	7.30556200e-05	2.58852500e-04	-2.99929100e-01	-2.55951300e-04	1	-8.49942700e-01	-4.47140400e-07
4.85393165e+02	23-05-19 16:44:09	7.37247500e-05	2.45964600e-04	-2.99929700e-01	-2.43034100e-04	1	-8.99961800e-01	-4.22550600e-07
4.86485540e+02	23-05-19 16:44:10	7.33902000e-05	2.29815200e-04	-2.99929000e-01	-2.26297100e-04	1	-9.49989500e-01	-4.24387800e-07
4.87579246e+02	23-05-19 16:44:11	7.31390100e-05	2.10595900e-04	-2.99929700e-01	-2.06578400e-04	1	-9.99966600e-01	-4.62411000e-07
4.88653707e+02	23-05-19 16:44:12	7.33899900e-05	1.96567100e-04	-2.99929500e-01	-1.93414700e-04	1	-9.99966800e-01	-4.40363300e-07
4.89262548e+02	23-05-19 16:44:13	7.19681200e-05	1.99175300e-04	-2.99929400e-01	-1.98115300e-04	1	-8.99963500e-01	-2.84152400e-07
4.90575034e+02	23-05-19 16:44:14	7.30554700e-05	2.00628900e-04	-2.99929900e-01	-2.00057700e-04	1	-7.99925800e-01	-1.86688900e-07
4.91887519e+02	23-05-19 16:44:15	7.21353300e-05	1.91191900e-04	-2.99931200e-01	-1.90902600e-04	1	-6.99973900e-01	-5.22725100e-08
4.92981168e+02	23-05-19 16:44:16	7.29718000e-05	1.63988800e-04	-2.99929400e-01	-1.63660700e-04	1	-5.99940000e-01	1.75279500e-08
4.94345132e+02	23-05-19 16:44:18	7.28878700e-05	1.18588800e-04	-2.99929700e-01	-1.17010600e-04	1	-4.99948500e-01	2.89587600e-08
4.95903275e+02	23-05-19 16:44:19	7.11312400e-05	6.55798700e-05	-2.99928900e-01	-6.37437300e-05	1	-3.99956500e-01	4.04793500e-08
4.97497712e+02	23-05-19 16:44:21	7.29714800e-05	2.32642000e-05	-2.99929000e-01	-2.24951300e-05	1	-2.99946300e-01	4.02208100e-08
4.99528976e+02	23-05-19 16:44:23	6.86216500e-05	4.77460000e-06	-2.99926200e-01	-4.39789200e-06	1	-1.99930100e-01	5.37761200e-08
5.00858019e+02	23-05-19 16:44:24	6.92071000e-05	1.70483200e-07	-2.99928600e-01	-2.33361700e-07	1	-9.99381900e-02	4.23092400e-08
5.03137531e+02	23-05-19 16:44:26	6.66138100e-05	-8.16426900e-08	-2.99927500e-01	-1.14484500e-08	1	6.66342300e-05	4.46175600e-08
5.04762555e+02	23-05-19 16:44:28	6.64464900e-05	-7.68136300e-08	-2.99928100e-01	-1.44053200e-08	1	1.00065900e-01	4.69070300e-08
5.06137690e+02	23-05-19 16:44:29	6.77848600e-05	-6.92269100e-08	-2.99930300e-01	-4.08966900e-08	1	2.00061000e-01	6.52117600e-08
5.07496871e+02	23-05-19 16:44:31	6.68646500e-05	-7.15316500e-08	-2.99927500e-01	-1.26984600e-07	1	3.00102800e-01	1.31153800e-07
5.09126278e+02	23-05-19 16:44:32	6.72829600e-05	-7.81082400e-08	-2.99928200e-01	-2.00847200e-07	1	4.00155300e-01	2.09228400e-07
5.10483133e+02	23-05-19 16:44:34	6.46897900e-05	-1.63243500e-07	-2.99929100e-01	-2.28370000e-07	1	5.00118900e-01	2.72975100e-07
5.11841337e+02	23-05-19 16:44:35	6.41878400e-05	-2.27464100e-07	-2.99927700e-01	-2.57894000e-07	1	6.00118800e-01	3.50944700e-07
5.13200096e+02	23-05-19 16:44:37	6.53589100e-05	-1.78514200e-07	-2.99928400e-01	-2.98447400e-07	1	7.00154500e-01	4.18950300e-07
5.14343505e+02	23-05-19 16:44:38	6.59442700e-05	-1.74915900e-07	-2.99928300e-01	-3.43545900e-07	1	8.00111900e-01	4.74279400e-07
5.15481243e+02	23-05-19 16:44:39	6.56935400e-05	-1.92419000e-07	-2.99929400e-01	-3.78853300e-07	1	9.00122700e-01	5.26565700e-07
5.16621806e+02	23-05-19 16:44:40	6.47731600e-05	-2.25760200e-07	-2.99929500e-01	-4.11768400e-07	1	1.00016800e+00	5.87079700e-07
5.17747343e+02	23-05-19 16:44:41	6.60279200e-05	-2.00298900e-07	-2.99929300e-01	-3.73052300e-07	2	1.00016800e+00	5.65444000e-07
5.18403007e+02	23-05-19 16:44:42	6.68643600e-05	-1.69691900e-07	-2.99929600e-01	-3.30404600e-07	2	9.50154300e-01	4.98323500e-07
