Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

8.56528075e+02	23-05-19 16:50:20	6.56096400e-05	-2.02182200e-07	-9.99446500e-02	-2.69625700e-07	1	1.00016800e+00	4.62794900e-07
8.57906338e+02	23-05-19 16:50:21	6.58605400e-05	-1.67467600e-07	-9.99433200e-02	-2.44028900e-07	1	9.50153500e-01	4.12468400e-07
8.59042412e+02	23-05-19 16:50:22	6.58605100e-05	-1.46007200e-07	-9.99444000e-02	-2.20353100e-07	1	9.00126000e-01	3.67766600e-07
8.60408294e+02	23-05-19 16:50:24	6.66970100e-05	-1.28198100e-07	-9.99436800e-02	-1.98342400e-07	1	8.50136400e-01	3.28056700e-07
8.61761086e+02	23-05-19 16:50:25	6.61115600e-05	-1.12515600e-07	-9.99437400e-02	-1.78441100e-07	1	8.00114700e-01	2.91909200e-07
8.63120548e+02	23-05-19 16:50:26	6.77846500e-05	-9.70757600e-08	-9.99434000e-02	-1.60477000e-07	1	7.50113700e-01	2.58135700e-07
8.64479839e+02	23-05-19 16:50:28	6.66135200e-05	-7.96533900e-08	-9.99430900e-02	-1.42220600e-07	1	7.00155500e-01	2.23291700e-07
8.65840666e+02	23-05-19 16:50:29	6.70319700e-05	-5.80221100e-08	-9.99428900e-02	-1.21743800e-07	1	6.50136200e-01	1.83961200e-07
8.67198578e+02	23-05-19 16:50:31	6.36017100e-05	-3.69670100e-08	-9.99418100e-02	-9.75961200e-08	1	6.00116000e-01	1.37407000e-07
8.68845463e+02	23-05-19 16:50:32	6.61952400e-05	-1.41411700e-08	-9.99423100e-02	-6.79931600e-08	1	5.50121400e-01	8.77528500e-08
8.70214422e+02	23-05-19 16:50:34	6.82026400e-05	-4.60925800e-09	-9.99457600e-02	-3.89149400e-08	1	5.00117100e-01	4.71700900e-08
8.71871982e+02	23-05-19 16:50:35	6.73664400e-05	-2.19211500e-09	-9.99430100e-02	-1.52076900e-08	1	4.50127000e-01	2.01475100e-08
8.73300064e+02	23-05-19 16:50:37	6.81194100e-05	-1.64633600e-09	-9.99418000e-02	-3.27815000e-09	1	4.00151800e-01	7.47344100e-09
8.74714127e+02	23-05-19 16:50:38	6.84538400e-05	-1.34671400e-09	-9.99415100e-02	2.86613400e-10	1	3.50123300e-01	3.08409800e-09
8.76140039e+02	23-05-19 16:50:39	6.88720300e-05	-9.33598600e-10	-9.99419600e-02	9.65102900e-10	1	3.00100600e-01	1.50668800e-09
8.77562138e+02	23-05-19 16:50:41	6.87048300e-05	-4.46544400e-10	-9.99420300e-02	1.14110200e-09	1	2.50113000e-01	7.06816600e-10
8.78980040e+02	23-05-19 16:50:42	6.78682700e-05	1.23355500e-10	-9.99416700e-02	1.27173100e-09	1	2.00060300e-01	1.50735400e-10
8.80402275e+02	23-05-19 16:50:44	6.86211000e-05	8.05324500e-10	-9.99413400e-02	1.42843300e-09	1	1.50065600e-01	-3.00020700e-10
8.81830397e+02	23-05-19 16:50:45	6.86211000e-05	1.62381400e-09	-9.99429600e-02	1.68512700e-09	1	1.00065100e-01	-8.05403700e-10
8.83245726e+02	23-05-19 16:50:47	6.93741600e-05	2.68221800e-09	-9.99424500e-02	2.17820000e-09	1	5.00659000e-02	-1.50497000e-09
8.84669308e+02	23-05-19 16:50:48	6.92904900e-05	4.61925400e-09	-9.99422200e-02	3.10049500e-09	1	6.70526900e-05	-3.30076500e-09
8.86100866e+02	23-05-19 16:50:49	7.06290900e-05	1.25692700e-08	-9.99408600e-02	1.22482100e-09	1	-4.99353000e-02	-4.20437100e-09
8.87511161e+02	23-05-19 16:50:51	6.87886500e-05	5.63478400e-08	-9.99436300e-02	-4.38184200e-08	1	-9.99378700e-02	-7.66378500e-09
8.89175644e+02	23-05-19 16:50:53	7.07962300e-05	1.71855100e-07	-9.99452800e-02	-2.74711200e-07	1	-1.49936500e-01	-1.62898200e-08
8.90823696e+02	23-05-19 16:50:54	7.03780700e-05	9.69234100e-07	-9.99431300e-02	-9.60475500e-07	1	-1.99934100e-01	-2.72957900e-08
8.92660948e+02	23-05-19 16:50:56	7.12145400e-05	2.53697600e-06	-9.99438500e-02	-2.57444600e-06	1	-2.49944800e-01	-4.49025200e-08
8.93964257e+02	23-05-19 16:50:57	6.88722900e-05	5.73308200e-06	-9.99434000e-02	-5.74820900e-06	1	-2.99959200e-01	-5.58937700e-08
8.95714271e+02	23-05-19 16:50:59	7.16327100e-05	1.02661500e-05	-9.99438200e-02	-1.02546000e-05	1	-3.49943200e-01	-6.87655800e-08
8.97053550e+02	23-05-19 16:51:00	7.23019200e-05	1.59905300e-05	-9.99445700e-02	-1.60017200e-05	1	-3.99967200e-01	-7.61004300e-08
8.98370510e+02	23-05-19 16:51:02	7.27202900e-05	2.19469800e-05	-9.99444700e-02	-2.18985500e-05	1	-4.49968000e-01	-7.69069400e-08
8.99698507e+02	23-05-19 16:51:03	7.33058900e-05	2.69589600e-05	-9.99449400e-02	-2.68693100e-05	1	-4.99955000e-01	-7.46308100e-08
9.01011124e+02	23-05-19 16:51:04	7.33897600e-05	3.02981000e-05	-9.99458200e-02	-3.01578100e-05	1	-5.49921300e-01	-7.15526200e-08
9.02323829e+02	23-05-19 16:51:06	7.34734400e-05	3.16902800e-05	-9.99463900e-02	-3.14584700e-05	1	-5.99944200e-01	-7.41914700e-08
9.03636185e+02	23-05-19 16:51:07	7.35569600e-05	3.13857000e-05	-9.99462600e-02	-3.09699300e-05	1	-6.49959700e-01	-9.54832400e-08
9.04948666e+02	23-05-19 16:51:08	7.40589200e-05	2.94746000e-05	-9.99457800e-02	-2.87847200e-05	1	-6.99976500e-01	-2.71778900e-07
9.06261039e+02	23-05-19 16:51:10	7.41424700e-05	2.61070800e-05	-9.99453600e-02	-2.47366800e-05	1	-7.49960900e-01	-4.90633700e-07
9.07360023e+02	23-05-19 16:51:11	7.32222400e-05	2.08949200e-05	-9.99453400e-02	-1.94606100e-05	1	-7.99924000e-01	-5.10617900e-07
9.08261122e+02	23-05-19 16:51:12	7.07966100e-05	1.67088200e-05	-9.99438200e-02	-1.52099800e-05	1	-8.49942900e-01	-6.12843000e-07
9.09354820e+02	23-05-19 16:51:13	7.12146000e-05	1.28820800e-05	-9.99435700e-02	-1.13669500e-05	1	-8.99962200e-01	-7.39817600e-07
9.10448578e+02	23-05-19 16:51:14	7.03779500e-05	9.76623500e-06	-9.99419400e-02	-8.39717400e-06	1	-9.49989000e-01	-8.40955000e-07
9.11557847e+02	23-05-19 16:51:15	6.94578900e-05	7.54801600e-06	-9.99435800e-02	-5.96836000e-06	1	-9.99967700e-01	-8.45297500e-07
9.12636099e+02	23-05-19 16:51:16	6.96250900e-05	5.23539900e-06	-9.99456300e-02	-4.03891300e-06	1	-9.99966900e-01	-7.74183500e-07
9.13498009e+02	23-05-19 16:51:17	6.90395000e-05	4.32492400e-06	-9.99447100e-02	-3.68618300e-06	1	-8.99960100e-01	-5.28420300e-07
9.14391918e+02	23-05-19 16:51:18	6.82030000e-05	4.65386200e-06	-9.99450400e-02	-4.23620100e-06	1	-7.99925700e-01	-2.91928000e-07
9.15699184e+02	23-05-19 16:51:19	6.92904900e-05	4.83301100e-06	-9.99458700e-02	-4.64106000e-06	1	-6.99974500e-01	-9.69466300e-08
9.17014421e+02	23-05-19 16:51:20	6.91231100e-05	4.66363000e-06	-9.99457900e-02	-4.77526500e-06	1	-5.99939300e-01	1.99910000e-08
9.18574335e+02	23-05-19 16:51:22	7.40588000e-05	3.87959000e-06	-9.99464200e-02	-3.93740600e-06	1	-4.99953600e-01	5.27594400e-08
9.20126797e+02	23-05-19 16:51:23	7.19674600e-05	2.06460900e-06	-9.99440200e-02	-2.16292600e-06	1	-3.99967700e-01	6.96549000e-08
9.21451328e+02	23-05-19 16:51:25	6.93743100e-05	5.39901400e-07	-9.99433200e-02	-6.70375200e-07	1	-2.99957400e-01	7.95293400e-08
9.22760983e+02	23-05-19 16:51:26	7.21346300e-05	1.26916500e-08	-9.99424400e-02	-1.16951200e-07	1	-1.99930200e-01	6.77521400e-08
9.24854785e+02	23-05-19 16:51:28	6.73664400e-05	-7.14845800e-08	-9.99430200e-02	-5.53977700e-08	1	-9.99365200e-02	7.63704800e-08
9.26467724e+02	23-05-19 16:51:30	6.71992900e-05	-9.48859200e-08	-9.99424600e-02	-5.56489800e-08	1	6.61322500e-05	7.77623300e-08
9.27823584e+02	23-05-19 16:51:31	6.58608300e-05	-8.84308800e-08	-9.99427300e-02	-4.56862700e-08	1	1.00065700e-01	7.04011200e-08
9.29184361e+02	23-05-19 16:51:33	6.66972200e-05	-7.90543000e-08	-9.99463300e-02	-4.13501500e-08	1	2.00059600e-01	6.35825200e-08
9.30823446e+02	23-05-19 16:51:34	6.82029000e-05	-7.80836300e-08	-9.99474000e-02	-4.51499700e-08	1	3.00101200e-01	7.28726000e-08
9.32184400e+02	23-05-19 16:51:36	6.64462300e-05	-9.38717700e-08	-9.99435400e-02	-9.14106500e-08	1	4.00153000e-01	1.00096900e-07
9.33814566e+02	23-05-19 16:51:37	6.59442400e-05	-1.71305700e-07	-9.99447300e-02	-1.77294200e-07	1	5.00118100e-01	1.94851000e-07
9.35174620e+02	23-05-19 16:51:39	6.36020500e-05	-2.30038200e-07	-9.99440200e-02	-1.90494800e-07	1	6.00116900e-01	2.77594900e-07
9.36533206e+02	23-05-19 16:51:40	6.56097800e-05	-1.80726800e-07	-9.99446900e-02	-2.07183600e-07	1	7.00157800e-01	3.24314200e-07
9.37885898e+02	23-05-19 16:51:41	6.64462300e-05	-1.74154500e-07	-9.99441000e-02	-2.34703000e-07	1	8.00114000e-01	3.70864100e-07
9.39247958e+02	23-05-19 16:51:43	6.58606300e-05	-1.93366500e-07	-9.99452100e-02	-2.70492800e-07	1	9.00122400e-01	4.33178800e-07
9.40395414e+02	23-05-19 16:51:44	6.47731000e-05	-2.29384100e-07	-9.99459500e-02	-3.03415700e-07	1	1.00016800e+00	4.91757200e-07
9.41510634e+02	23-05-19 16:51:45	6.53587000e-05	-2.03352800e-07	-9.99448200e-02	-2.77467300e-07	2	1.00016700e+00	4.73371400e-07
9.42188243e+02	23-05-19 16:51:46	6.46058700e-05	-1.71885700e-07	-9.99439600e-02	-2.44889900e-07	2	9.50153300e-01	4.13491800e-07
