Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

1.15411630e+00	23-05-19 16:36:05	6.51917400e-05	-2.75060100e-07	-4.99927800e-01	-5.76780900e-07	1	1.00016800e+00	7.53086200e-07
3.24858510e+00	23-05-19 16:36:07	6.56102800e-05	-1.86240100e-07	-4.99928300e-01	-4.79703700e-07	1	9.50154200e-01	6.46897000e-07
4.35815850e+00	23-05-19 16:36:08	6.53593400e-05	-1.55868300e-07	-4.99928500e-01	-4.25778800e-07	1	9.00122000e-01	5.71307100e-07
5.48601490e+00	23-05-19 16:36:09	6.66977700e-05	-1.34004700e-07	-4.99930400e-01	-3.80096600e-07	1	8.50133400e-01	5.09666100e-07
6.85793500e+00	23-05-19 16:36:10	6.73670200e-05	-1.14815200e-07	-4.99930000e-01	-3.44345600e-07	1	8.00111000e-01	4.57118700e-07
7.99860750e+00	23-05-19 16:36:11	6.76179100e-05	-9.64763600e-08	-4.99930700e-01	-3.13745200e-07	1	7.50111600e-01	4.11895000e-07
9.14308740e+00	23-05-19 16:36:12	6.82034800e-05	-7.48522300e-08	-4.99928400e-01	-2.90046000e-07	1	7.00157400e-01	3.66442300e-07
1.04986905e+01	23-05-19 16:36:14	6.77017100e-05	-4.84781800e-08	-4.99929600e-01	-2.66673800e-07	1	6.50136800e-01	3.19992800e-07
1.18585626e+01	23-05-19 16:36:15	6.54428800e-05	-2.56402600e-08	-4.99929100e-01	-2.46434400e-07	1	6.00116400e-01	2.73140700e-07
1.34990581e+01	23-05-19 16:36:17	6.70325500e-05	-7.25818700e-09	-4.99928000e-01	-2.25263300e-07	1	5.50122700e-01	2.35449900e-07
1.48735682e+01	23-05-19 16:36:18	6.90401400e-05	-2.31889700e-10	-4.99928200e-01	-2.05576900e-07	1	5.00117700e-01	2.09262000e-07
1.62495669e+01	23-05-19 16:36:20	6.97928800e-05	1.21261700e-09	-4.99929000e-01	-1.87186100e-07	1	4.50127100e-01	1.89019100e-07
1.76238068e+01	23-05-19 16:36:21	6.89565000e-05	8.75107200e-10	-4.99929500e-01	-1.69983900e-07	1	4.00154100e-01	1.71125900e-07
1.89986271e+01	23-05-19 16:36:22	6.87892300e-05	5.05580500e-10	-4.99928400e-01	-1.53938300e-07	1	3.50123600e-01	1.54332800e-07
2.03737132e+01	23-05-19 16:36:24	6.77017400e-05	4.32024300e-10	-4.99928800e-01	-1.37872900e-07	1	3.00101900e-01	1.37446700e-07
2.17487036e+01	23-05-19 16:36:25	6.90400500e-05	5.47372800e-10	-4.99928200e-01	-1.19655800e-07	1	2.50115000e-01	1.18922700e-07
2.31237186e+01	23-05-19 16:36:26	6.92909800e-05	8.06344700e-10	-4.99928700e-01	-9.71917000e-08	1	2.00060200e-01	9.71226500e-08
2.45019467e+01	23-05-19 16:36:28	6.91237000e-05	1.15099900e-09	-4.99926800e-01	-6.98102300e-08	1	1.50065800e-01	7.09479800e-08
2.58743091e+01	23-05-19 16:36:29	6.96257300e-05	1.66316400e-09	-4.99927400e-01	-4.00280300e-08	1	1.00066000e-01	4.18983800e-08
2.72520899e+01	23-05-19 16:36:31	6.99599600e-05	3.05941700e-09	-4.99928200e-01	-1.59636500e-08	1	5.00671900e-02	1.74011500e-08
2.89374756e+01	23-05-19 16:36:32	7.07968100e-05	1.12371300e-08	-4.99926700e-01	-5.59075500e-09	1	6.68014300e-05	3.39486300e-09
3.03585268e+01	23-05-19 16:36:34	6.98768200e-05	1.24996800e-07	-4.99928300e-01	-1.38052300e-07	1	-4.99353000e-02	-1.36578300e-10
3.22700758e+01	23-05-19 16:36:36	6.84549100e-05	9.65461900e-07	-4.99927900e-01	-9.90660100e-07	1	-9.99383600e-02	-4.51130200e-09
3.40934788e+01	23-05-19 16:36:37	7.23030200e-05	4.12391600e-06	-4.99929900e-01	-4.23392200e-06	1	-1.49937200e-01	-8.33307600e-09
3.54589612e+01	23-05-19 16:36:39	6.97930500e-05	1.09036400e-05	-4.99929600e-01	-1.37366500e-05	1	-1.99931000e-01	-1.03418200e-08
3.72492970e+01	23-05-19 16:36:41	7.18848600e-05	2.91030300e-05	-4.99931500e-01	-2.94821500e-05	1	-2.49943700e-01	-1.43189100e-08
3.86079732e+01	23-05-19 16:36:42	7.23029700e-05	5.64555400e-05	-4.99929200e-01	-5.68488500e-05	1	-2.99959400e-01	-1.41669900e-08
4.04049361e+01	23-05-19 16:36:44	7.19683600e-05	9.34781600e-05	-4.99930500e-01	-9.39367400e-05	1	-3.49943200e-01	-1.50882600e-08
4.17644206e+01	23-05-19 16:36:45	7.20520300e-05	1.40828600e-04	-4.99931100e-01	-1.41345700e-04	1	-3.99968500e-01	-1.52670400e-08
4.31242399e+01	23-05-19 16:36:46	7.28050900e-05	1.96718600e-04	-4.99930600e-01	-1.97302700e-04	1	-4.49970400e-01	-1.49387700e-08
4.45029962e+01	23-05-19 16:36:48	7.38925300e-05	2.59722200e-04	-4.99930700e-01	-2.60409300e-04	1	-4.99955500e-01	-1.63743900e-08
4.58594948e+01	23-05-19 16:36:49	7.44781000e-05	3.27291000e-04	-4.99931500e-01	-3.28250700e-04	1	-5.49920700e-01	-2.11820000e-08
4.72174477e+01	23-05-19 16:36:51	7.57328800e-05	3.97866500e-04	-4.99931900e-01	-3.98705800e-04	1	-5.99943800e-01	-3.01233100e-08
4.85936041e+01	23-05-19 16:36:52	7.65695000e-05	4.67091600e-04	-4.99933000e-01	-4.68280600e-04	1	-6.49958700e-01	-4.95864500e-08
4.99122667e+01	23-05-19 16:36:53	7.76570500e-05	5.33000800e-04	-4.99931900e-01	-5.34440800e-04	1	-6.99975500e-01	-6.34158400e-08
5.14383814e+01	23-05-19 16:36:55	7.88281900e-05	5.90016100e-04	-4.99931100e-01	-5.91109800e-04	1	-7.49961700e-01	-8.78587800e-08
5.27484131e+01	23-05-19 16:36:56	7.91628300e-05	6.35540000e-04	-4.99931200e-01	-6.36126300e-04	1	-7.99925000e-01	-1.39560700e-07
5.40616568e+01	23-05-19 16:36:57	7.92465000e-05	6.68219800e-04	-4.99931900e-01	-6.68157000e-04	1	-8.49944800e-01	-2.47220100e-07
5.53735096e+01	23-05-19 16:36:59	7.89955900e-05	6.88285000e-04	-4.99931100e-01	-6.87262600e-04	1	-8.99965000e-01	-4.03006200e-07
5.67219250e+01	23-05-19 16:37:00	7.94137300e-05	6.97112000e-04	-4.99931700e-01	-6.95625700e-04	1	-9.49988800e-01	-4.37464900e-07
5.78286746e+01	23-05-19 16:37:01	7.92465900e-05	6.97168700e-04	-4.99932000e-01	-6.95216100e-04	1	-9.99966900e-01	-4.20288200e-07
5.89055460e+01	23-05-19 16:37:02	7.86610800e-05	6.86257800e-04	-4.99931500e-01	-6.84924300e-04	1	-9.99970500e-01	-3.78815300e-07
5.97641227e+01	23-05-19 16:37:03	7.90793000e-05	6.56740200e-04	-4.99931100e-01	-6.57017700e-04	1	-8.99963900e-01	-2.34243100e-07
6.10814417e+01	23-05-19 16:37:04	7.83262900e-05	5.97611900e-04	-4.99931400e-01	-5.98532500e-04	1	-7.99923600e-01	-7.67382000e-08
6.23892026e+01	23-05-19 16:37:06	7.74895600e-05	5.02419800e-04	-4.99931100e-01	-5.02608400e-04	1	-6.99972500e-01	-6.41061000e-09
6.37512214e+01	23-05-19 16:37:07	7.48126500e-05	3.78770300e-04	-4.99931500e-01	-3.75293400e-04	1	-5.99940400e-01	1.24862600e-08
6.53265540e+01	23-05-19 16:37:09	7.33906000e-05	2.48721700e-04	-4.99931100e-01	-2.45864100e-04	1	-4.99948800e-01	2.51044200e-08
6.66891888e+01	23-05-19 16:37:10	7.26374800e-05	1.36614500e-04	-4.99930100e-01	-1.34201700e-04	1	-3.99964100e-01	2.88407600e-08
6.82484624e+01	23-05-19 16:37:12	7.17173100e-05	5.53765800e-05	-4.99930400e-01	-5.38477400e-05	1	-2.99956100e-01	3.14367800e-08
6.98145808e+01	23-05-19 16:37:13	7.04624400e-05	1.21198600e-05	-4.99928000e-01	-1.17595700e-05	1	-1.99927900e-01	3.22959600e-08
7.18155151e+01	23-05-19 16:37:15	6.92072800e-05	8.07826100e-07	-4.99927600e-01	-8.18912600e-07	1	-9.99346000e-02	3.72255200e-08
7.38577780e+01	23-05-19 16:37:17	6.73670500e-05	-4.91234900e-08	-4.99930000e-01	-3.17175800e-08	1	6.54627500e-05	5.18071200e-08
7.59531390e+01	23-05-19 16:37:19	6.71997500e-05	-6.11399600e-08	-4.99929000e-01	-1.17230200e-07	1	1.00066900e-01	1.22882300e-07
7.75765830e+01	23-05-19 16:37:21	6.82872800e-05	-5.44771400e-08	-4.99929600e-01	-1.96731700e-07	1	2.00061300e-01	1.97581400e-07
7.89374101e+01	23-05-19 16:37:22	6.78688800e-05	-5.35097800e-08	-4.99929200e-01	-2.28993200e-07	1	3.00103600e-01	2.38808000e-07
8.03114250e+01	23-05-19 16:37:24	6.63633100e-05	-5.40646400e-08	-4.99930200e-01	-2.61687700e-07	1	4.00155600e-01	2.74748000e-07
8.16873762e+01	23-05-19 16:37:25	6.66976200e-05	-1.05025700e-07	-4.99929600e-01	-3.01408200e-07	1	5.00119600e-01	3.24904900e-07
8.30616326e+01	23-05-19 16:37:26	6.60283300e-05	-1.66623300e-07	-4.99930100e-01	-3.39242900e-07	1	6.00115000e-01	4.05541300e-07
8.42015458e+01	23-05-19 16:37:28	6.56102200e-05	-1.80583100e-07	-4.99930700e-01	-3.80528300e-07	1	7.00153700e-01	4.85741300e-07
8.53419755e+01	23-05-19 16:37:29	6.60283900e-05	-1.78109300e-07	-4.99932500e-01	-4.28378500e-07	1	8.00111900e-01	5.49369800e-07
8.64911579e+01	23-05-19 16:37:30	6.65304000e-05	-1.86892000e-07	-4.99931500e-01	-4.74860900e-07	1	9.00123500e-01	6.05794100e-07
8.76270999e+01	23-05-19 16:37:31	6.59447700e-05	-2.20042800e-07	-4.99928400e-01	-4.84336200e-07	1	1.00016800e+00	6.35864400e-07
8.89526959e+01	23-05-19 16:37:32	6.54428800e-05	-1.91397400e-07	-4.99928400e-01	-4.26667100e-07	2	1.00016700e+00	6.13558500e-07
8.95922071e+01	23-05-19 16:37:33	6.73666400e-05	-1.61312800e-07	-4.99930100e-01	-3.84612900e-07	2	9.50154700e-01	5.45365000e-07
