Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

5.18295612e-01	2023-05-31T12:46:57.307684	-3.00000000e-01	-9.50200000e-09	3.15723006e+07	1	1.00000000e+00	1.10220000e-09	9.07276356e+08
9.70031143e-01	2023-05-31T12:46:57.767688	-3.00000000e-01	-6.22450000e-09	4.81966423e+07	1	9.50000000e-01	1.52780000e-09	6.21809137e+08
1.28013778e+00	2023-05-31T12:46:58.077690	-3.00000000e-01	-6.76900000e-09	4.43196927e+07	1	9.00000000e-01	7.80040000e-10	1.15378699e+09
1.85572700e+00	2023-05-31T12:46:58.647779	-3.00000000e-01	-5.93450000e-09	5.05518578e+07	1	8.50000000e-01	6.46720000e-10	1.31432459e+09
2.42673283e+00	2023-05-31T12:46:59.218063	-3.00000000e-01	-5.94590000e-09	5.04549353e+07	1	8.00000000e-01	5.24300000e-10	1.52584398e+09
3.02024372e+00	2023-05-31T12:46:59.817939	-3.00000000e-01	-4.72060000e-09	6.35512435e+07	1	7.50000000e-01	4.17740000e-10	1.79537511e+09
3.59788504e+00	2023-05-31T12:47:00.395770	-3.00000000e-01	-4.94920000e-09	6.06158571e+07	1	7.00000000e-01	3.58630000e-10	1.95187240e+09
4.18452166e+00	2023-05-31T12:47:00.982378	-3.00000000e-01	-5.91730000e-09	5.06987984e+07	1	6.50000000e-01	2.41280000e-10	2.69396552e+09
4.87983944e+00	2023-05-31T12:47:01.677445	-3.00000000e-01	-4.42120000e-09	6.78548810e+07	1	6.00000000e-01	1.15770000e-10	5.18268982e+09
5.58214102e+00	2023-05-31T12:47:02.380590	-3.00000000e-01	-5.57080000e-09	5.38522295e+07	1	5.50000000e-01	6.00100000e-11	9.16513914e+09
6.28313471e+00	2023-05-31T12:47:03.081566	-3.00000000e-01	-5.11930000e-09	5.86017620e+07	1	5.00000000e-01	6.52000000e-12	7.66871166e+10
6.87463164e+00	2023-05-31T12:47:03.672248	-3.00000000e-01	-5.79660000e-09	5.17544768e+07	1	4.50000000e-01	1.12230000e-10	4.00962310e+09
7.45786805e+00	2023-05-31T12:47:04.256100	-3.00000000e-01	-5.79660000e-09	5.17544768e+07	1	4.00000000e-01	-6.70900000e-11	-5.96214041e+09
8.16788985e+00	2023-05-31T12:47:04.965935	-3.00000000e-01	-5.64580000e-09	5.31368451e+07	1	3.50000000e-01	-1.02730000e-10	-3.40698919e+09
8.74895559e+00	2023-05-31T12:47:05.546754	-3.00000000e-01	-5.39650000e-09	5.55915871e+07	1	3.00000000e-01	2.94400000e-11	1.01902174e+10
9.34042298e+00	2023-05-31T12:47:06.138358	-3.00000000e-01	-5.60870000e-09	5.34883306e+07	1	2.50000000e-01	1.30000000e-13	1.92307692e+12
9.93439541e+00	2023-05-31T12:47:06.732321	-3.00000000e-01	-4.47270000e-09	6.70735797e+07	1	2.00000000e-01	-1.85020000e-10	-1.08096422e+09
