Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

9.18497530e+01	2023-02-13T17:57:47.220611	-2.44747300e-02	1.14136200e-09	-2.14434421e+07	-9.99484700e-02	-1.24822200e-09	8.00726714e+07	-5.05299400e-01	-8.13376900e-10	6.21236477e+08
9.33345352e+01	2023-02-13T17:57:48.705695	4.82273400e-05	4.13007800e-08	1.16771015e+03	-9.99425300e-02	2.14955800e-12	-4.64944561e+10	-4.68063000e-01	6.15054400e-10	-7.61010733e+08
9.47749406e+01	2023-02-13T17:57:50.145777	7.04832700e-05	-7.64126000e-09	-9.22403766e+03	-9.99437600e-02	-1.21136600e-11	8.25050067e+09	-4.23050800e-01	1.03413300e-09	-4.09087419e+08
9.66198904e+01	2023-02-13T17:57:51.990882	6.62998100e-05	-1.28434400e-08	-5.16215360e+03	-9.99434100e-02	-6.14261800e-12	1.62704909e+10	-3.70780200e-01	1.07169400e-09	-3.45975810e+08
9.84637400e+01	2023-02-13T17:57:53.834986	6.04429500e-05	-5.16328500e-08	-1.17062974e+03	-9.99434500e-02	-1.65667100e-11	6.03278804e+09	-3.21780000e-01	7.41476300e-10	-4.33972064e+08
1.00399419e+02	2023-02-13T17:57:55.770096	5.61759300e-05	-9.51532300e-08	-5.90373338e+02	-9.99435300e-02	-2.12552500e-11	4.70206325e+09	-2.73529000e-01	6.19044200e-10	-4.41856979e+08
1.02339161e+02	2023-02-13T17:57:57.710205	5.73472800e-05	-7.58866900e-08	-7.55696157e+02	-9.99439500e-02	-9.88502300e-12	1.01106442e+10	-2.18238600e-01	1.20519600e-09	-1.81081417e+08
1.04271349e+02	2023-02-13T17:57:59.642315	5.85186700e-05	-7.22934000e-08	-8.09460753e+02	-9.99437000e-02	-4.77505600e-11	2.09303723e+09	-1.71977000e-01	1.08973600e-09	-1.57815287e+08
1.06214121e+02	2023-02-13T17:58:01.585425	6.57977800e-05	-6.92239900e-08	-9.50505453e+02	-9.99444000e-02	-9.42443700e-11	1.06048138e+09	-9.99352700e-02	9.62697200e-09	-1.03807584e+07
1.07880645e+02	2023-02-13T17:58:03.251518	6.48774600e-05	-1.11286400e-07	-5.82977435e+02	-9.99442700e-02	-5.05889000e-11	1.97561659e+09	-4.99392300e-02	2.50607300e-08	-1.99272846e+06
1.09306545e+02	2023-02-13T17:58:04.677600	6.57978500e-05	-1.66204300e-07	-3.95885365e+02	-9.99433700e-02	-5.66313600e-11	1.76480611e+09	5.31952500e-05	7.31474800e-08	7.27232845e+02
1.10459114e+02	2023-02-13T17:58:05.830665	6.54631300e-05	-1.18370000e-07	-5.53038185e+02	-9.99436100e-02	-1.23249900e-10	8.10902159e+08	5.00519100e-02	7.15711900e-08	6.99330415e+05
1.11615228e+02	2023-02-13T17:58:06.986730	6.52957800e-05	-8.30202300e-08	-7.86504446e+02	-9.99439200e-02	-1.10605700e-10	9.03605510e+08	1.00053800e-01	7.09680300e-08	1.40984328e+06
1.12787201e+02	2023-02-13T17:58:08.158797	6.59651800e-05	-6.65525700e-08	-9.91174045e+02	-9.99436000e-02	-2.78932800e-10	3.58307090e+08	1.50051200e-01	6.72307600e-08	2.23188314e+06
1.13945326e+02	2023-02-13T17:58:09.316862	6.57977800e-05	-1.02997600e-07	-6.38828283e+02	-9.99431800e-02	-3.48604000e-10	2.86695448e+08	2.00044200e-01	5.01851700e-08	3.98612180e+06
1.15102661e+02	2023-02-13T17:58:10.473928	6.63835200e-05	-5.80936200e-08	-1.14269897e+03	-9.99446200e-02	-3.95371100e-10	2.52786863e+08	2.50076300e-01	4.75515000e-08	5.25906228e+06
1.16271667e+02	2023-02-13T17:58:11.642994	6.65508300e-05	-7.30176500e-08	-9.11434838e+02	-9.99437900e-02	-8.15152300e-10	1.22607505e+08	3.00076000e-01	7.23636900e-08	4.14677582e+06
1.17432666e+02	2023-02-13T17:58:12.804060	6.60488800e-05	-1.22780400e-07	-5.37943190e+02	-9.99432400e-02	-1.10063300e-09	9.08052366e+07	3.50101400e-01	1.14601400e-07	3.05494872e+06
1.18381357e+02	2023-02-13T17:58:13.752113	6.37061700e-05	-2.27195400e-07	-2.80402552e+02	-9.99430600e-02	-1.37905300e-09	7.24722400e+07	4.00099600e-01	1.98706300e-07	2.01352247e+06
