Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.12154797e+02	2023-02-13T18:02:02.945745	-2.18703200e-02	1.16123700e-09	-1.88336403e+07	-9.99414700e-02	-1.07252700e-09	9.31831739e+07	-5.99753800e-01	-6.41416400e-10	9.35045939e+08
1.13632411e+02	2023-02-13T18:02:04.422829	3.40036200e-05	1.33626000e-09	2.54468591e+04	-9.99443900e-02	-3.23563300e-11	3.08886669e+09	-5.66538100e-01	4.01537100e-10	-1.41092342e+09
1.15069938e+02	2023-02-13T18:02:05.860911	6.86425400e-05	-1.53572300e-08	-4.46972143e+03	-9.99426600e-02	-1.94891600e-11	5.12811532e+09	-5.20142000e-01	1.19706800e-09	-4.34513328e+08
1.16913732e+02	2023-02-13T18:02:07.705015	6.91445500e-05	-1.68164100e-08	-4.11173074e+03	-9.99440500e-02	-6.04169500e-12	1.65423859e+10	-4.73672300e-01	8.71789200e-10	-5.43333526e+08
1.18757377e+02	2023-02-13T18:02:09.548119	6.62998000e-05	-8.90465900e-08	-7.44551813e+02	-9.99436800e-02	-4.23220300e-11	2.36150487e+09	-4.21110800e-01	8.98540500e-10	-4.68660901e+08
1.20698726e+02	2023-02-13T18:02:11.489230	6.74712100e-05	-1.80273300e-08	-3.74271786e+03	-9.99443600e-02	-1.72689400e-11	5.78752141e+09	-3.68456400e-01	6.33492100e-10	-5.81627458e+08
1.22538736e+02	2023-02-13T18:02:13.329333	5.81002600e-05	-5.14696100e-08	-1.12882651e+03	-9.99448200e-02	-3.86353100e-12	2.58687765e+10	-3.22991600e-01	1.07859000e-09	-2.99457254e+08
1.24480814e+02	2023-02-13T18:02:15.271444	5.13231400e-05	-9.80258300e-08	-5.23567513e+02	-9.99437200e-02	-1.74413400e-11	5.73027760e+09	-2.67063000e-01	7.86320800e-10	-3.39636189e+08
1.26413646e+02	2023-02-13T18:02:17.204093	5.32475000e-05	-1.01841200e-07	-5.22848317e+02	-9.99430000e-02	-1.78744500e-11	5.59138883e+09	-2.20197400e-01	1.16357200e-09	-1.89242608e+08
1.28359880e+02	2023-02-13T18:02:19.150204	5.53392400e-05	-6.56552200e-08	-8.42876469e+02	-9.99433400e-02	-3.90674200e-11	2.55822729e+09	-1.70656900e-01	7.86212600e-10	-2.17062026e+08
1.30288832e+02	2023-02-13T18:02:21.079313	6.59651400e-05	-6.77626000e-08	-9.73474158e+02	-9.99435300e-02	-3.64898000e-11	2.73894431e+09	-9.99365500e-02	7.70417300e-09	-1.29717427e+07
1.31960521e+02	2023-02-13T18:02:22.751407	6.49611500e-05	-1.11812900e-07	-5.80980817e+02	-9.99441800e-02	-5.38981600e-11	1.85431525e+09	-4.99403900e-02	2.06388100e-08	-2.41973205e+06
1.33382373e+02	2023-02-13T18:02:24.173488	6.30368000e-05	-2.42620600e-07	-2.59816355e+02	-9.99441800e-02	-4.46851900e-11	2.23662874e+09	5.32787800e-05	9.75612300e-08	5.46106071e+02
1.34335733e+02	2023-02-13T18:02:25.126541	6.57979000e-05	-1.61464700e-07	-4.07506409e+02	-9.99444700e-02	-6.06260500e-11	1.64854003e+09	5.00506200e-02	8.47160500e-08	5.90804458e+05
1.35492028e+02	2023-02-13T18:02:26.282607	6.69692100e-05	-9.00531200e-08	-7.43663407e+02	-9.99442300e-02	-7.30726200e-11	1.36773842e+09	1.00053900e-01	6.07440400e-08	1.64713937e+06
1.36648221e+02	2023-02-13T18:02:27.438673	6.68855800e-05	-7.30822500e-08	-9.15209644e+02	-9.99436400e-02	-1.48534100e-10	6.72866635e+08	1.50051100e-01	6.60485800e-08	2.27182931e+06
1.37811080e+02	2023-02-13T18:02:28.601739	6.75549100e-05	-6.71005500e-08	-1.00677133e+03	-9.99441300e-02	-2.09799800e-10	4.76378576e+08	2.00042500e-01	7.26483900e-08	2.75357100e+06
1.38960814e+02	2023-02-13T18:02:29.751804	6.64671900e-05	-6.95467200e-08	-9.55719982e+02	-9.99437200e-02	-3.95241100e-10	2.52867731e+08	2.50078900e-01	5.31252900e-08	4.70734183e+06
1.40132731e+02	2023-02-13T18:02:30.923870	6.66345700e-05	-8.66836200e-08	-7.68710052e+02	-9.99446900e-02	-5.09648300e-10	1.96105216e+08	3.00075000e-01	7.66931300e-08	3.91267119e+06
