Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

2.96958407e+02	2023-02-13T18:42:07.758395	6.87262300e-05	1.67482100e-06	4.10349703e+01	3.00073700e-01	4.95463800e-07	6.05642027e+05	-9.99955100e-01	-2.20900900e-06	4.52671356e+05
2.98291080e+02	2023-02-13T18:42:09.090505	6.79732500e-05	6.12519600e-07	1.10973184e+02	3.00077400e-01	3.96179000e-07	7.57428839e+05	-9.49912100e-01	-1.10793600e-06	8.57370913e+05
2.99645850e+02	2023-02-13T18:42:10.445616	7.03159000e-05	2.94627800e-07	2.38660099e+02	3.00074800e-01	3.18970500e-07	9.40760352e+05	-8.99911100e-01	-7.41744300e-07	1.21323629e+06
3.01020872e+02	2023-02-13T18:42:11.820730	7.03159900e-05	7.85299500e-08	8.95403473e+02	3.00078100e-01	3.28444200e-07	9.13634949e+05	-8.48756100e-01	-3.12073700e-07	2.71972967e+06
3.02380128e+02	2023-02-13T18:42:13.179841	6.60489100e-05	1.92787800e-09	3.42599013e+04	3.00076000e-01	1.76118800e-07	1.70382719e+06	-7.99918800e-01	-1.55914700e-07	5.13048994e+06
3.03817481e+02	2023-02-13T18:42:14.616959	6.61325800e-05	-4.91394300e-08	-1.34581496e+03	3.00074300e-01	7.31590200e-08	4.10167195e+06	-7.49925000e-01	-7.96726800e-08	9.41257405e+06
3.05223863e+02	2023-02-13T18:42:16.024075	6.45429300e-05	-1.13346700e-07	-5.69429282e+02	3.00074700e-01	4.72433300e-08	6.35168393e+06	-6.99936400e-01	4.35901800e-08	-1.60572037e+07
3.06380147e+02	2023-02-13T18:42:17.180170	6.53796300e-05	-1.77779900e-07	-3.67756029e+02	3.00076200e-01	1.69608100e-08	1.76923272e+07	-6.49905000e-01	1.40890000e-07	-4.61285400e+06
3.07809440e+02	2023-02-13T18:42:18.609287	6.47102800e-05	-2.51363000e-07	-2.57437570e+02	3.00075500e-01	6.16731200e-09	4.86558001e+07	-6.01028400e-01	2.19207300e-07	-2.74182657e+06
3.08976588e+02	2023-02-13T18:42:19.776384	6.27023100e-05	-3.29924300e-07	-1.90050596e+02	3.00074100e-01	2.65584100e-09	1.12986470e+08	-5.53557800e-01	2.98609100e-07	-1.85378744e+06
3.10131300e+02	2023-02-13T18:42:20.931505	5.95229100e-05	-4.14832100e-07	-1.43486750e+02	3.00074800e-01	1.19814600e-09	2.50449277e+08	-5.07206800e-01	4.01890400e-07	-1.26205254e+06
3.11303131e+02	2023-02-13T18:42:22.102651	6.04433000e-05	-4.98874200e-07	-1.21159403e+02	3.00073500e-01	1.28289500e-10	2.33903398e+09	-4.49942700e-01	4.49010900e-07	-1.00207523e+06
3.12241684e+02	2023-02-13T18:42:23.041729	6.57979600e-05	-5.25225100e-07	-1.25275734e+02	3.00073400e-01	-1.10346100e-09	-2.71938383e+08	-3.99914000e-01	4.91124800e-07	-8.14281828e+05
3.13401054e+02	2023-02-13T18:42:24.200824	6.47939200e-05	-5.92788400e-07	-1.09303623e+02	3.00073700e-01	-2.69192100e-09	-1.11471956e+08	-3.49915200e-01	5.47971500e-07	-6.38564597e+05
3.14526097e+02	2023-02-13T18:42:25.325917	6.65509400e-05	-6.45613100e-07	-1.03081768e+02	3.00073100e-01	-5.59422700e-09	-5.36397790e+07	-2.99926700e-01	5.99174000e-07	-5.00566947e+05
3.15650147e+02	2023-02-13T18:42:26.450009	6.54632900e-05	-6.95592800e-07	-9.41115118e+01	3.00072300e-01	-1.18038100e-08	-2.54216478e+07	-2.49931600e-01	6.63712600e-07	-3.76566002e+05
3.16776227e+02	2023-02-13T18:42:27.576101	6.50449400e-05	-7.40342800e-07	-8.78578680e+01	3.00071200e-01	-2.05983800e-08	-1.45677087e+07	-1.99932700e-01	6.53646800e-07	-3.05872682e+05
3.17900295e+02	2023-02-13T18:42:28.700194	6.53795800e-05	-8.47265300e-07	-7.71654168e+01	3.00070500e-01	-2.89830700e-08	-1.03533028e+07	-1.49938800e-01	7.59995100e-07	-1.97289167e+05
3.19020901e+02	2023-02-13T18:42:29.821286	6.63000100e-05	-8.14207900e-07	-8.14288464e+01	3.00070500e-01	-3.70281600e-08	-8.10384583e+06	-9.99409900e-02	8.04780600e-07	-1.24184144e+05
