Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.21573410e+02	2023-02-13T20:41:23.507015	6.82241100e-05	6.31458900e-08	1.08042044e+03	-9.99428600e-02	1.88054000e-11	-5.31458305e+09	-5.99918600e-01	-4.88379200e-08	1.22838688e+07
1.22766762e+02	2023-02-13T20:41:24.700090	6.02756100e-05	-6.23103300e-08	-9.67345382e+02	-9.99437600e-02	1.30614300e-11	-7.65182373e+09	-5.49922800e-01	-1.35612000e-08	4.05511902e+07
1.24469370e+02	2023-02-13T20:41:26.403198	6.19490200e-05	-2.36300400e-08	-2.62162146e+03	-9.99433800e-02	1.23171300e-11	-8.11417757e+09	-4.99927400e-01	-2.52616300e-09	1.97899898e+08
1.26313292e+02	2023-02-13T20:41:28.247314	6.16980400e-05	-2.27438400e-08	-2.71273628e+03	-9.99426100e-02	1.27923100e-11	-7.81271014e+09	-4.49941600e-01	8.42721300e-10	-5.33915068e+08
1.28161860e+02	2023-02-13T20:41:30.095431	6.16980300e-05	-1.94442500e-08	-3.17307327e+03	-9.99443300e-02	1.31749300e-11	-7.58594771e+09	-3.99913500e-01	1.26942800e-09	-3.15034409e+08
1.30000594e+02	2023-02-13T20:41:31.934547	6.26183400e-05	-1.69529500e-08	-3.69365450e+03	-9.99439900e-02	1.25147500e-11	-7.98609561e+09	-3.49915600e-01	9.60397300e-10	-3.64344631e+08
1.31846872e+02	2023-02-13T20:41:33.780663	6.35387400e-05	-1.65904800e-08	-3.82983132e+03	-9.99438600e-02	1.26114900e-11	-7.92482569e+09	-2.99926400e-01	2.77815100e-09	-1.07958999e+08
1.33689062e+02	2023-02-13T20:41:35.622802	6.37897300e-05	-1.80616500e-08	-3.53177755e+03	-9.99441000e-02	1.24517000e-11	-8.02654256e+09	-2.49932200e-01	4.77525700e-09	-5.23390050e+07
1.35750783e+02	2023-02-13T20:41:37.684932	6.30367500e-05	-2.09458200e-08	-3.00951455e+03	-9.99430300e-02	1.22709000e-11	-8.14471881e+09	-1.99934700e-01	7.47521900e-09	-2.67463335e+07
1.37813245e+02	2023-02-13T20:41:39.747062	6.13633800e-05	-2.50503300e-08	-2.44960366e+03	-9.99437100e-02	1.25231900e-11	-7.98069102e+09	-1.49940200e-01	9.78661600e-09	-1.53209444e+07
1.39875761e+02	2023-02-13T20:41:41.809192	6.00246800e-05	-2.89085700e-08	-2.07636282e+03	-9.99442200e-02	1.26409300e-11	-7.90639771e+09	-9.99407700e-02	1.23377800e-08	-8.10038516e+06
1.41938283e+02	2023-02-13T20:41:43.872322	5.54228600e-05	-5.26018200e-08	-1.05363008e+03	-9.99437800e-02	1.33389300e-11	-7.49263847e+09	-4.99401900e-02	1.64606200e-08	-3.03391914e+06
1.43875779e+02	2023-02-13T20:41:45.809444	6.62161500e-05	-7.97269600e-08	-8.30536496e+02	-9.99442300e-02	1.26072700e-11	-7.92750770e+09	5.71262500e-05	2.27740200e-08	2.50839553e+03
1.45547594e+02	2023-02-13T20:41:47.481550	6.54631300e-05	-9.68593100e-08	-6.75857902e+02	-9.99441800e-02	1.31328900e-11	-7.61021984e+09	5.00567900e-02	3.50863300e-08	1.42667500e+06
1.46969485e+02	2023-02-13T20:41:48.903639	6.51284400e-05	-9.51615400e-08	-6.84398760e+02	-9.99448700e-02	1.30698300e-11	-7.64699082e+09	1.00054400e-01	4.97381600e-08	2.01162246e+06
1.48126071e+02	2023-02-13T20:41:50.059712	6.67181900e-05	-7.74541200e-08	-8.61389814e+02	-9.99439200e-02	1.23591900e-11	-8.08660762e+09	1.50053200e-01	5.21739800e-08	2.87601598e+06
1.49282351e+02	2023-02-13T20:41:51.215785	6.61324600e-05	-8.18643000e-08	-8.07830275e+02	-9.99446600e-02	1.24769200e-11	-8.01036313e+09	2.00044900e-01	5.90310600e-08	3.38880752e+06
1.50446173e+02	2023-02-13T20:41:52.379986	6.55468300e-05	-9.76883900e-08	-6.70978711e+02	-9.99434400e-02	1.18041400e-11	-8.46681249e+09	2.50078400e-01	7.65833900e-08	3.26543915e+06
1.51594869e+02	2023-02-13T20:41:53.528932	6.58815100e-05	-1.25655800e-07	-5.24301385e+02	-9.99446000e-02	1.15980800e-11	-8.61734011e+09	3.00077100e-01	1.04958000e-07	2.85902075e+06
