Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

2.38153654e+02	2023-02-13T19:51:21.192330	7.50846500e-05	-3.05491700e-06	-2.45782946e+01	1.00068300e-01	4.81471300e-06	2.07838557e+04	-9.99958200e-01	-4.06421900e-07	2.46039448e+06
2.39502227e+02	2023-02-13T19:51:22.541423	5.99406500e-05	-6.16363300e-06	-9.72488953e+00	1.00074600e-01	5.80791800e-06	1.72307185e+04	-9.49903900e-01	-1.64049900e-07	5.79033514e+06
2.40627302e+02	2023-02-13T19:51:23.666502	5.09881500e-05	-4.26778000e-06	-1.19472302e+01	1.00050400e-01	4.08834300e-06	2.44721150e+04	-8.99876100e-01	-1.00225900e-07	8.97847862e+06
2.42205341e+02	2023-02-13T19:51:25.244611	7.06502300e-05	-6.57392800e-06	-1.07470343e+01	1.00073500e-01	2.10610300e-05	4.75159572e+03	-8.49611800e-01	-3.45665100e-07	2.45790449e+06
2.44252308e+02	2023-02-13T19:51:27.290754	9.11491200e-05	-8.57837400e-08	-1.06254542e+03	1.00064300e-01	7.10313700e-07	1.40873392e+05	-7.99857600e-01	-1.01384800e-08	7.88932463e+07
2.47392809e+02	2023-02-13T19:51:30.431452	7.29929200e-05	-3.53029900e-07	-2.06761297e+02	8.12205000e-02	3.04548500e-07	2.66691512e+05	-7.49930700e-01	2.44597700e-08	-3.06597609e+07
2.49393129e+02	2023-02-13T19:51:32.431592	7.77620400e-05	-4.42348700e-07	-1.75793531e+02	1.00070200e-01	4.74404700e-07	2.10938467e+05	-6.99939600e-01	4.53982000e-08	-1.54177831e+07
2.51018584e+02	2023-02-13T19:51:34.057705	6.42914600e-05	-9.39306600e-07	-6.84456598e+01	1.00052700e-01	1.24031200e-06	8.06673643e+04	-6.49930700e-01	8.27099800e-08	-7.85794773e+06
2.52127166e+02	2023-02-13T19:51:35.165781	6.63831500e-05	-1.74159000e-06	-3.81164051e+01	1.00027100e-01	7.74390200e-07	1.29168861e+05	-5.99919300e-01	5.19730200e-07	-1.15428986e+06
2.53253363e+02	2023-02-13T19:51:36.291860	3.63461700e-05	-1.79059100e-06	-2.02984210e+01	9.99389000e-02	2.28527700e-06	4.37316352e+04	-5.49900500e-01	8.17373000e-08	-6.72765677e+06
2.54830329e+02	2023-02-13T19:51:37.868970	1.28893600e-06	-2.02972800e-06	-6.35028930e-01	1.00087800e-01	1.01018900e-06	9.90782913e+04	-4.99806000e-01	2.43022000e-07	-2.05662862e+06
2.55939790e+02	2023-02-13T19:51:38.979047	9.93486200e-05	-1.08230400e-06	-9.17936365e+01	1.00016800e-01	8.73895300e-07	1.14449408e+05	-4.49990400e-01	4.58789100e-07	-9.80821907e+05
2.57064808e+02	2023-02-13T19:51:40.104126	7.44153400e-05	-4.42751900e-06	-1.68074581e+01	1.00064000e-01	9.91308000e-07	1.00941382e+05	-3.99889300e-01	6.17163100e-08	-6.47947520e+06
2.58627185e+02	2023-02-13T19:51:41.666234	7.27418700e-05	-6.72050200e-07	-1.08238745e+02	1.00102200e-01	9.52540600e-07	1.05089694e+05	-3.49831700e-01	2.32890000e-08	-1.50213277e+07
2.60241444e+02	2023-02-13T19:51:43.280347	2.76445400e-05	-6.03388600e-07	-4.58154828e+01	1.00061800e-01	1.21063600e-06	8.26522588e+04	-3.00538000e-01	-5.87499800e-08	5.11554217e+06
2.61814683e+02	2023-02-13T19:51:44.853456	7.76783600e-05	-2.68038100e-06	-2.89803427e+01	1.00086900e-01	8.31080400e-07	1.20429865e+05	-2.49901700e-01	-1.86436200e-07	1.34041404e+06
2.62924286e+02	2023-02-13T19:51:45.963533	7.34112900e-05	-2.08803000e-06	-3.51581586e+01	1.00052500e-01	9.88913500e-07	1.01174167e+05	-1.99919600e-01	6.15301900e-08	-3.24913022e+06
2.64033536e+02	2023-02-13T19:51:47.072610	5.01513800e-05	-1.25252100e-06	-4.00403506e+01	1.00009100e-01	4.93444800e-06	2.02675355e+04	-1.50015700e-01	-9.73930700e-08	1.54031185e+06
2.65705407e+02	2023-02-13T19:51:48.744727	-2.84134300e-05	-1.80299300e-06	1.57590351e+01	1.00023400e-01	2.21756200e-06	4.51051199e+04	-9.98960900e-02	-7.03934200e-08	1.41911119e+06
