Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.11687716e+02	2023-02-13T20:24:31.421328	6.76383800e-05	8.08077800e-07	8.37028068e+01	-9.99428300e-02	-4.45828800e-09	2.24173113e+07	-9.99951900e-01	-7.37008100e-07	1.35677193e+06
1.12835151e+02	2023-02-13T20:24:32.568890	7.37460600e-05	3.73433000e-07	1.97481369e+02	-9.99461900e-02	-4.32963700e-09	2.30841962e+07	-9.49913900e-01	-3.85708500e-07	2.46277668e+06
1.14432441e+02	2023-02-13T20:24:34.166001	6.84749700e-05	1.44483200e-07	4.73930325e+02	-9.99421500e-02	-5.30451500e-09	1.88409591e+07	-8.99910700e-01	-1.67876000e-07	5.36056792e+06
1.15600024e+02	2023-02-13T20:24:35.334082	6.79729800e-05	2.36674900e-08	2.87199783e+03	-9.99461800e-02	-5.76442400e-09	1.73384505e+07	-8.49917100e-01	-4.36338000e-08	1.94784112e+07
1.17037408e+02	2023-02-13T20:24:36.771183	6.55466500e-05	-9.61671600e-08	-6.81590784e+02	-9.99448500e-02	-4.03245000e-09	2.47851430e+07	-7.99911600e-01	2.77992200e-08	-2.87746059e+07
1.18708850e+02	2023-02-13T20:24:38.442298	6.51283600e-05	-1.46173400e-07	-4.45555484e+02	-9.99437900e-02	-4.40545300e-09	2.26863821e+07	-7.49924200e-01	8.37567600e-08	-8.95359610e+06
1.19865770e+02	2023-02-13T20:24:39.599379	6.36223000e-05	-1.74646800e-07	-3.64291244e+02	-9.99424900e-02	-4.41450900e-09	2.26395484e+07	-6.99938300e-01	1.09909800e-07	-6.36829746e+06
1.21021859e+02	2023-02-13T20:24:40.755460	6.42080400e-05	-1.93426500e-07	-3.31950586e+02	-9.99455600e-02	-4.38456000e-09	2.27948893e+07	-6.49906400e-01	1.25484100e-07	-5.17919322e+06
1.22177970e+02	2023-02-13T20:24:41.911540	6.20326200e-05	-2.19212200e-07	-2.82979779e+02	-9.99477600e-02	-4.10750800e-09	2.43329435e+07	-5.99918000e-01	1.23114600e-07	-4.87284205e+06
1.23334234e+02	2023-02-13T20:24:43.067621	6.27856400e-05	-2.15552600e-07	-2.91277581e+02	-9.99452700e-02	-4.24213100e-09	2.35601564e+07	-5.49920700e-01	1.42802200e-07	-3.85092597e+06
1.24490448e+02	2023-02-13T20:24:44.224701	6.42917200e-05	-2.43419400e-07	-2.64119129e+02	-9.99430200e-02	-4.13079100e-09	2.41946446e+07	-4.99925100e-01	9.73900800e-08	-5.13322404e+06
1.26230098e+02	2023-02-13T20:24:45.963823	6.31203100e-05	-1.65016900e-07	-3.82508155e+02	-9.99446900e-02	-4.00439000e-09	2.49587802e+07	-4.49941200e-01	6.10788400e-08	-7.36656426e+06
1.27381306e+02	2023-02-13T20:24:47.114903	6.23672600e-05	-1.47636800e-07	-4.22437089e+02	-9.99439000e-02	-3.62779800e-09	2.75494666e+07	-3.99911100e-01	5.45030100e-08	-7.33741311e+06
1.28537364e+02	2023-02-13T20:24:48.270982	6.39569900e-05	-1.39340800e-07	-4.58996862e+02	-9.99450800e-02	-5.60401900e-09	1.78345362e+07	-3.49914900e-01	4.84289900e-08	-7.22531897e+06
1.29709356e+02	2023-02-13T20:24:49.443064	6.47099800e-05	-1.28746300e-07	-5.02616231e+02	-9.99488800e-02	-5.29244600e-09	1.88851960e+07	-2.99925900e-01	4.35505400e-08	-6.88684687e+06
1.30865616e+02	2023-02-13T20:24:50.599144	6.41243100e-05	-1.22829800e-07	-5.22058246e+02	-9.99431000e-02	-4.87075600e-09	2.05190118e+07	-2.49930400e-01	4.34088900e-08	-5.75758560e+06
1.32021856e+02	2023-02-13T20:24:51.756225	6.50446900e-05	-1.14859500e-07	-5.66297868e+02	-9.99440600e-02	-4.26531200e-09	2.34318287e+07	-1.99933400e-01	4.42875400e-08	-4.51443905e+06
1.33195301e+02	2023-02-13T20:24:52.929308	6.45426400e-05	-1.08362500e-07	-5.95617857e+02	-9.99444400e-02	-4.72768200e-09	2.11402628e+07	-1.49938700e-01	4.36079900e-08	-3.43833091e+06
1.34349994e+02	2023-02-13T20:24:54.084387	6.53793600e-05	-8.65273100e-08	-7.55592194e+02	-9.99441700e-02	-5.17924300e-09	1.92970614e+07	-9.99401900e-02	4.26337000e-08	-2.34415943e+06
