Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.82384826e-01	2023-02-22T18:56:30.224727	6.79754600e-05	1.11219100e-05	6.11185129e+00	-9.99351300e-02	6.13857000e-06	-1.62798714e+04	1	-7.99940100e-01	-1.53501400e-05	5.21128863e+04
1.87769901e+00	2023-02-22T18:56:31.420257	7.63418000e-05	9.15543600e-06	8.33841228e+00	-9.99478100e-02	2.06483900e-06	-4.84046504e+04	1	-7.49920000e-01	-1.06818800e-05	7.02048703e+04
2.54863313e+00	2023-02-22T18:56:32.096738	9.30783900e-05	8.23093000e-06	1.13083686e+01	-9.99093600e-02	-7.78297900e-07	1.28369047e+05	1	-6.99937100e-01	-7.57891200e-06	9.23532428e+04
3.09717820e+00	2023-02-22T18:56:32.638009	8.47104100e-05	7.99100600e-06	1.06007191e+01	-9.99086800e-02	-3.26439400e-06	3.06055825e+04	1	-6.49897000e-01	-5.14911700e-06	1.26215233e+05
3.61230471e+00	2023-02-22T18:56:33.158013	8.47096200e-05	7.68294400e-06	1.10256719e+01	-9.99344600e-02	-4.87951400e-06	2.04804126e+04	1	-5.99868200e-01	-3.07856900e-06	1.94852933e+05
4.28382593e+00	2023-02-22T18:56:33.831762	4.28726800e-05	7.44495900e-06	5.75861868e+00	-9.99401200e-02	-5.54944200e-06	1.80090395e+04	1	-5.49902000e-01	-2.08094900e-06	2.64255395e+05
5.08069147e+00	2023-02-22T18:56:34.625069	8.47112000e-05	7.15855700e-06	1.18335581e+01	-9.99290500e-02	-6.53204900e-06	1.52982701e+04	1	-4.99903300e-01	-1.06687900e-06	4.68566070e+05
5.75247108e+00	2023-02-22T18:56:35.300452	8.47104100e-05	7.01612900e-06	1.20736677e+01	-9.99177200e-02	-6.92363200e-06	1.44314025e+04	1	-4.49916600e-01	-4.24235000e-07	1.06053626e+06
6.40871150e+00	2023-02-22T18:56:35.956493	1.01446500e-04	6.86472500e-06	1.47779408e+01	-9.99484900e-02	-7.25316600e-06	1.37799810e+04	1	-3.99887900e-01	-5.36673800e-08	7.45122829e+06
7.08774375e+00	2023-02-22T18:56:36.635536	8.47088300e-05	5.75025700e-06	1.47313120e+01	-9.99772200e-02	-8.12303600e-06	1.23078637e+04	1	-3.49901600e-01	2.94925500e-07	-1.18640674e+06
7.91463192e+00	2023-02-22T18:56:37.462587	1.01444700e-04	3.50527000e-06	2.89406237e+01	-9.99478100e-02	-4.20119300e-06	2.37903400e+04	1	-2.99902500e-01	4.52917800e-07	-6.62156577e+05
8.70554939e+00	2023-02-22T18:56:38.253637	-3.00185500e-04	4.12648700e-06	-7.27460186e+01	-9.99414700e-02	-6.64848400e-06	1.50322194e+04	1	-2.49908200e-01	5.80523100e-07	-4.30487951e+05
9.67489188e+00	2023-02-22T18:56:39.222698	1.01446500e-04	4.06849100e-06	2.49346748e+01	-9.99518700e-02	-6.31683600e-06	1.58230909e+04	1	-1.99895700e-01	9.76403300e-07	-2.04726571e+05
1.03305677e+01	2023-02-22T18:56:39.878739	8.47104100e-05	3.27228200e-06	2.58872585e+01	-9.99086800e-02	-5.62291900e-06	1.77681165e+04	1	-1.49911400e-01	1.13356900e-06	-1.32247265e+05
1.10024777e+01	2023-02-22T18:56:40.550781	5.12418500e-05	2.06271400e-06	2.48419558e+01	-9.99679200e-02	-4.07585500e-06	2.45268588e+04	1	-9.99237600e-02	9.81888500e-07	-1.01766911e+05
1.18369483e+01	2023-02-22T18:56:41.384834	4.28742100e-05	9.77228900e-07	4.38732522e+01	-9.99568600e-02	-2.28494500e-06	4.37458495e+04	1	-4.99347500e-02	8.87547800e-07	-5.62614768e+04
1.25023579e+01	2023-02-22T18:56:42.050875	5.96083700e-05	-8.90133100e-08	-6.69656819e+02	-9.99475600e-02	-1.12024200e-06	8.92196150e+04	1	2.85095900e-05	8.72003400e-07	3.26943565e+01
1.33362878e+01	2023-02-22T18:56:42.884928	1.77729600e-05	-1.00800800e-06	-1.76317648e+01	-9.99708900e-02	-5.74937800e-07	1.73881227e+05	1	5.01002100e-02	8.59109900e-07	5.83164156e+04
1.41430554e+01	2023-02-22T18:56:43.690979	3.45071300e-05	-6.58907500e-07	-5.23702189e+01	-9.99344600e-02	-4.55245000e-07	2.19517974e+05	1	1.00113400e-01	8.46034400e-07	1.18332541e+05
