Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.88204434e+02	2023-02-23T16:20:20.932336	2.10214200e-04	1.74922200e-08	1.20175827e+04	-9.99177200e-02	1.88795600e-06	-5.29237546e+04	3	-1.19990800e+00	-1.88564600e-06	6.36337892e+05
3.88377411e+02	2023-02-23T16:20:21.105346	-3.00183700e-04	3.55743400e-09	-8.43820855e+04	-9.99267700e-02	1.53113700e-06	-6.52631149e+04	3	-1.14998100e+00	-1.51601300e-06	7.58556160e+05
3.89070990e+02	2023-02-23T16:20:21.799390	2.85519600e-04	1.23953800e-08	2.30343563e+04	-9.99568600e-02	1.21766500e-06	-8.20889654e+04	3	-1.09992700e+00	-1.25529000e-06	8.76233380e+05
3.89753626e+02	2023-02-23T16:20:22.481433	3.02251500e-04	-1.65773700e-08	-1.82327776e+04	-9.99003200e-02	8.97304600e-07	-1.11333788e+05	3	-1.04994800e+00	-9.93945600e-07	1.05634353e+06
3.90439628e+02	2023-02-23T16:20:23.167476	-1.99773600e-04	2.30766000e-08	-8.65697720e+03	-9.99491700e-02	5.77128700e-07	-1.73183503e+05	3	-9.99908300e-01	-6.79477700e-07	1.47158369e+06
3.91131812e+02	2023-02-23T16:20:23.859520	2.68787400e-04	2.19546000e-08	1.22428739e+04	-9.99568600e-02	4.12414000e-07	-2.42370191e+05	3	-9.49948200e-01	-4.80170700e-07	1.97835520e+06
3.91986558e+02	2023-02-23T16:20:24.714573	2.26950000e-04	2.53984100e-08	8.93559872e+03	-9.99331100e-02	1.59971200e-07	-6.24694382e+05	3	-8.99899000e-01	-2.34776800e-07	3.83299798e+06
3.92721004e+02	2023-02-23T16:20:25.448619	-2.41613900e-04	9.23343300e-09	-2.61672879e+04	-9.99157000e-02	4.53438200e-08	-2.20351307e+06	3	-8.49893700e-01	-6.28757400e-08	1.35170369e+07
3.93643257e+02	2023-02-23T16:20:26.371677	-1.49571200e-04	1.53445200e-08	-9.74753202e+03	-9.98842600e-02	-1.15901300e-09	8.61804484e+07	3	-7.99942600e-01	-4.78752800e-08	1.67088861e+07
3.95111766e+02	2023-02-23T16:20:27.839770	4.69595400e-04	-5.96410200e-09	-7.87369834e+04	-9.99233900e-02	-8.98123600e-09	1.11257949e+07	3	-7.49821300e-01	-2.24606200e-08	3.33838202e+07
3.96424285e+02	2023-02-23T16:20:29.151851	-3.50381200e-04	1.29327700e-08	-2.70925100e+04	-9.99344600e-02	-8.28151600e-10	1.20671698e+08	3	-6.99925000e-01	-1.31616500e-08	5.31791227e+07
3.97549329e+02	2023-02-23T16:20:30.276922	3.45071300e-05	1.51153900e-08	2.28291364e+03	-9.99729000e-02	-3.17305100e-08	3.15068683e+06	3	-6.49842400e-01	1.05006400e-09	-6.18859803e+08
3.98502557e+02	2023-02-23T16:20:31.230982	-1.57939300e-04	-3.15346000e-09	5.00844469e+04	-9.99518700e-02	-6.43180200e-09	1.55402592e+07	3	-5.99935100e-01	5.87997900e-09	-1.02030143e+08
3.99627374e+02	2023-02-23T16:20:32.355052	-2.08142000e-04	1.73754100e-08	-1.19791130e+04	-9.99254200e-02	-4.21338700e-08	2.37161742e+06	3	-5.50049800e-01	7.14596700e-09	-7.69734593e+07
4.00736648e+02	2023-02-23T16:20:33.465122	5.61633300e-04	-1.21602100e-08	-4.61861514e+04	-9.99833000e-02	7.19080400e-08	-1.39043284e+06	3	-4.99863100e-01	2.09751700e-08	-2.38311823e+07
4.01816409e+02	2023-02-23T16:20:34.544190	4.86333000e-04	-7.01391200e-09	-6.93383379e+04	-9.99491700e-02	-5.18376800e-08	1.92811812e+06	3	-4.50009300e-01	3.40354500e-08	-1.32217820e+07
4.02736606e+02	2023-02-23T16:20:35.464248	4.44487700e-04	-7.01082700e-09	-6.34001809e+04	-9.99555000e-02	-6.96543700e-08	1.43502123e+06	3	-3.99896500e-01	4.08466600e-08	-9.79018848e+06
4.03471205e+02	2023-02-23T16:20:36.199295	-1.57938400e-04	1.90910100e-08	-8.27292008e+03	-9.99331100e-02	-7.90880200e-08	1.26356824e+06	3	-3.49931600e-01	4.09140000e-08	-8.55285721e+06
4.04205649e+02	2023-02-23T16:20:36.933340	-1.24470600e-04	-5.54085000e-09	2.24641707e+04	-9.99491700e-02	-9.14666600e-08	1.09273882e+06	3	-2.99911200e-01	4.88230000e-08	-6.14282613e+06
