Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

3.68014636e+01	2023-03-02T18:23:45.465955	-3.99874100e-01	2.43170900e-08	-1.64441592e+07	-5.99948700e-01	-1.04794000e-04	5.72502910e+03
3.76291661e+01	2023-03-02T18:23:46.293007	-3.99824200e-01	-1.55489500e-10	2.57139035e+09	-5.74928600e-01	-1.04782100e-04	5.48689709e+03
3.81498657e+01	2023-03-02T18:23:46.814041	-3.99829300e-01	-8.60438400e-09	4.64680911e+07	-5.49993500e-01	-1.04798900e-04	5.24808467e+03
3.86447800e+01	2023-03-02T18:23:47.309071	-3.99883100e-01	-1.83988900e-08	2.17340883e+07	-5.24982600e-01	-1.04821300e-04	5.00835803e+03
3.91450249e+01	2023-03-02T18:23:47.809103	-3.99916300e-01	-2.85671200e-08	1.39991816e+07	-4.99921600e-01	-1.04827000e-04	4.76901562e+03
3.96449466e+01	2023-03-02T18:23:48.309135	-3.99963200e-01	-2.98904400e-08	1.33809740e+07	-4.74936900e-01	-1.04824800e-04	4.53076848e+03
4.01448942e+01	2023-03-02T18:23:48.809166	-3.99988600e-01	-1.59980500e-08	2.50023347e+07	-4.49911100e-01	-1.04808000e-04	4.29271716e+03
4.06602008e+01	2023-03-02T18:23:49.324198	-3.99963500e-01	8.17191500e-09	-4.89436687e+07	-4.24950200e-01	-1.04823400e-04	4.05396314e+03
4.11604812e+01	2023-03-02T18:23:49.824230	-3.99823900e-01	2.42803500e-08	-1.64669743e+07	-3.99919700e-01	-1.04831800e-04	3.81487011e+03
4.16800893e+01	2023-03-02T18:23:50.344263	-3.99835300e-01	2.81689800e-08	-1.41941703e+07	-3.74933900e-01	-1.04782800e-04	3.57820081e+03
4.21760317e+01	2023-03-02T18:23:50.840294	-3.99773200e-01	2.94737500e-08	-1.35637033e+07	-3.49956400e-01	-1.04837500e-04	3.33808418e+03
4.26914461e+01	2023-03-02T18:23:51.355876	-3.99779500e-01	2.41176900e-08	-1.65761937e+07	-3.24924800e-01	-1.04822000e-04	3.09977676e+03
4.31916156e+01	2023-03-02T18:23:51.855908	-3.99779500e-01	5.71399700e-09	-6.99649475e+07	-2.99965800e-01	-1.04749200e-04	2.86365719e+03
4.36916526e+01	2023-03-02T18:23:52.355939	-3.99902200e-01	-2.24337100e-08	1.78259503e+07	-2.74940400e-01	-1.04784200e-04	2.62387268e+03
4.42118037e+01	2023-03-02T18:23:52.875973	-3.99913300e-01	-4.79343400e-08	8.34293953e+06	-2.49973000e-01	-1.04778600e-04	2.38572571e+03
4.47319678e+01	2023-03-02T18:23:53.396130	-3.99963500e-01	-2.90395100e-08	1.37730802e+07	-2.24888200e-01	-1.04817800e-04	2.14551536e+03
4.56354958e+01	2023-03-02T18:23:54.299061	-3.99946700e-01	-2.56489200e-08	1.55931205e+07	-1.99921400e-01	-1.04770200e-04	1.90818954e+03
