Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

1.83575859e+02	2023-03-02T18:26:12.241029	4.00094000e-01	4.08282400e-07	9.79944274e+05	-5.99922800e-01	-3.62858700e-07	1.65332346e+06
1.84066542e+02	2023-03-02T18:26:12.731059	4.00116100e-01	4.01181200e-07	9.97345090e+05	-5.74907300e-01	-3.08289500e-07	1.86482932e+06
1.84882495e+02	2023-03-02T18:26:13.547111	4.00210800e-01	3.70447900e-07	1.08034301e+06	-5.50044700e-01	-3.11159200e-07	1.76772758e+06
1.85519681e+02	2023-03-02T18:26:14.185151	4.00146900e-01	3.82979900e-07	1.04482481e+06	-5.25011200e-01	-3.28937100e-07	1.59608387e+06
1.86175750e+02	2023-03-02T18:26:14.841192	4.00041100e-01	3.24610900e-07	1.23237112e+06	-4.99936600e-01	-2.90525800e-07	1.72079932e+06
1.86832113e+02	2023-03-02T18:26:15.497233	4.00043500e-01	2.64179900e-07	1.51428439e+06	-4.74890700e-01	-2.64020800e-07	1.79868669e+06
1.87489925e+02	2023-03-02T18:26:16.155275	4.00133100e-01	2.62000100e-07	1.52722499e+06	-4.49905000e-01	-2.57866100e-07	1.74472333e+06
1.88144592e+02	2023-03-02T18:26:16.809317	4.00180300e-01	3.24700100e-07	1.23246128e+06	-4.24994900e-01	-2.75043700e-07	1.54519046e+06
1.88863048e+02	2023-03-02T18:26:17.528362	4.00194400e-01	3.27791000e-07	1.22088282e+06	-4.00019800e-01	-2.68902900e-07	1.48759943e+06
1.89519576e+02	2023-03-02T18:26:18.184403	4.00094000e-01	2.97925400e-07	1.34293350e+06	-3.74974900e-01	-2.62412700e-07	1.42895104e+06
1.90180290e+02	2023-03-02T18:26:18.845446	4.00071300e-01	2.39112200e-07	1.67315302e+06	-3.49863100e-01	-2.27651000e-07	1.53683972e+06
1.90832110e+02	2023-03-02T18:26:19.497486	4.00040800e-01	2.10326900e-07	1.90199542e+06	-3.24914300e-01	-2.04932700e-07	1.58546830e+06
1.91489657e+02	2023-03-02T18:26:20.154527	4.00169000e-01	2.23170800e-07	1.79310645e+06	-2.99951400e-01	-2.20038300e-07	1.36317814e+06
1.92144624e+02	2023-03-02T18:26:20.809569	4.00188400e-01	2.70784800e-07	1.47788354e+06	-2.74975700e-01	-2.15450200e-07	1.27628426e+06
1.92800864e+02	2023-03-02T18:26:21.465610	4.00180100e-01	2.45599700e-07	1.62939979e+06	-2.50016500e-01	-2.10632600e-07	1.18697913e+06
1.93457359e+02	2023-03-02T18:26:22.122652	4.00022000e-01	1.88424900e-07	2.12297844e+06	-2.24866900e-01	-1.59020300e-07	1.41407669e+06
1.93972713e+02	2023-03-02T18:26:22.637684	4.00127500e-01	1.44391300e-07	2.77113303e+06	-1.99953500e-01	-1.68647600e-07	1.18562909e+06
1.94650539e+02	2023-03-02T18:26:23.315728	4.00191400e-01	2.15082600e-07	1.86064052e+06	-1.74926300e-01	-1.64097000e-07	1.06599328e+06
