Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

1.06398812e+02	2023-03-02T16:11:08.324000	4.00080300e-01	2.77733500e-07	1.44051870e+06	-5.99998400e-01	-2.15130400e-07	2.78899867e+06
1.07072484e+02	2023-03-02T16:11:08.998043	4.00205100e-01	2.50036800e-07	1.60058479e+06	-5.49974100e-01	-1.76377800e-07	3.11815943e+06
1.07727094e+02	2023-03-02T16:11:09.653084	4.00099400e-01	2.18597500e-07	1.83030181e+06	-5.00013500e-01	-1.67258200e-07	2.98947077e+06
1.08242861e+02	2023-03-02T16:11:10.168117	4.00066200e-01	1.57242800e-07	2.54425767e+06	-4.49846500e-01	-1.60026700e-07	2.81107153e+06
1.08898835e+02	2023-03-02T16:11:10.824158	4.00046500e-01	1.25438200e-07	3.18919197e+06	-3.99877900e-01	-1.24699200e-07	3.20673990e+06
1.09555079e+02	2023-03-02T16:11:11.481199	4.00169000e-01	1.44413200e-07	2.77100016e+06	-3.49866800e-01	-1.31768000e-07	2.65517273e+06
1.10211223e+02	2023-03-02T16:11:12.137241	4.00194400e-01	1.79583900e-07	2.22845366e+06	-2.99909500e-01	-1.23714200e-07	2.42421242e+06
1.10867659e+02	2023-03-02T16:11:12.793283	4.00116100e-01	1.56447100e-07	2.55751689e+06	-2.50033200e-01	-1.28090200e-07	1.95200882e+06
1.11523706e+02	2023-03-02T16:11:13.449324	4.00071600e-01	1.17281200e-07	3.41121680e+06	-1.99868500e-01	-1.02425100e-07	1.95136251e+06
1.12188927e+02	2023-03-02T16:11:14.114365	4.00063200e-01	4.88657700e-08	8.18698242e+06	-1.49922700e-01	-6.07767100e-08	2.46677880e+06
1.12836479e+02	2023-03-02T16:11:14.762406	4.00046500e-01	4.27039100e-08	9.36791268e+06	-1.00039800e-01	-4.68920100e-08	2.13340823e+06
1.14023806e+02	2023-03-02T16:11:15.949481	4.00227800e-01	3.81802700e-08	1.04825817e+07	-4.98758700e-02	-2.94297000e-08	1.69474612e+06
1.15054955e+02	2023-03-02T16:11:16.980547	4.00230600e-01	2.12622400e-08	1.88235388e+07	9.00195200e-05	-1.63191300e-08	-5.51619602e+03
1.15914656e+02	2023-03-02T16:11:17.840601	4.00205400e-01	1.51585800e-08	2.64012460e+07	5.00471100e-02	-1.04559400e-08	-4.78647640e+06
1.16774011e+02	2023-03-02T16:11:18.699655	4.00188700e-01	1.51087600e-08	2.64871968e+07	1.00019600e-01	-6.51089100e-09	-1.53618913e+07
1.17628952e+02	2023-03-02T16:11:19.554709	3.99954500e-01	1.58112900e-08	2.52955009e+07	9.99714100e-02	-3.04257800e-09	-3.28574682e+07
1.17773939e+02	2023-03-02T16:11:19.699718	4.00186000e-01	2.99184600e-08	1.33758890e+07	4.99801900e-02	-1.13556900e-08	-4.40133449e+06
1.18633328e+02	2023-03-02T16:11:20.558772	4.00144200e-01	3.82986200e-08	1.04480057e+07	-5.21904400e-05	-1.62179000e-08	3.21807632e+03
1.19492671e+02	2023-03-02T16:11:21.418826	4.00180100e-01	4.68122300e-08	8.54862287e+06	-4.99414400e-02	-5.06913300e-08	9.85206740e+05
1.20555806e+02	2023-03-02T16:11:22.481893	4.00180300e-01	1.30985200e-07	3.05515661e+06	-9.99973300e-02	-6.92325000e-08	1.44436977e+06
1.21211309e+02	2023-03-02T16:11:23.136935	4.00160300e-01	1.90092600e-07	2.10508089e+06	-1.49983300e-01	-1.33421700e-07	1.12412973e+06
1.21867576e+02	2023-03-02T16:11:23.792976	4.00091000e-01	1.80946700e-07	2.21109863e+06	-1.99875300e-01	-1.32774500e-07	1.50537415e+06
1.22523943e+02	2023-03-02T16:11:24.450017	4.00027100e-01	1.48305900e-07	2.69731076e+06	-2.49988000e-01	-1.36407800e-07	1.83265180e+06
1.23181568e+02	2023-03-02T16:11:25.107059	4.00149300e-01	1.43372900e-07	2.79096887e+06	-2.99894500e-01	-1.31717100e-07	2.27680764e+06
1.23836305e+02	2023-03-02T16:11:25.762101	4.00157900e-01	1.92079900e-07	2.08328878e+06	-3.49962200e-01	-1.39112600e-07	2.51567579e+06
1.24492793e+02	2023-03-02T16:11:26.418142	4.00175000e-01	2.11492500e-07	1.89214748e+06	-3.99947800e-01	-1.64391800e-07	2.43289385e+06
1.25154437e+02	2023-03-02T16:11:27.080184	4.00102100e-01	1.91358800e-07	2.09084766e+06	-4.49992500e-01	-1.52405000e-07	2.95260982e+06
1.25805347e+02	2023-03-02T16:11:27.731225	4.00051900e-01	1.47806400e-07	2.70659390e+06	-4.99963300e-01	-1.57592900e-07	3.17249889e+06
1.26326592e+02	2023-03-02T16:11:28.252258	4.00096700e-01	1.63200800e-07	2.45156090e+06	-5.49906200e-01	-1.66065100e-07	3.31138933e+06
1.26848391e+02	2023-03-02T16:11:28.774290	4.00146900e-01	2.26764800e-07	1.76459001e+06	-6.00023400e-01	-1.77077700e-07	3.38847523e+06
