Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

4.60189460e-01	2023-03-02T16:53:25.447331	-5.99780500e-01	-8.47517500e-08	7.07690992e+06	-5.99952500e-01	-1.04869000e-04	5.72097093e+03
1.25576845e+00	2023-03-02T16:53:26.237337	-5.99713600e-01	-2.17797900e-07	2.75353252e+06	-5.74978700e-01	-1.04681800e-04	5.49263291e+03
2.10028300e+00	2023-03-02T16:53:27.083013	-5.99922700e-01	-1.39484600e-07	4.30099595e+06	-5.49984200e-01	-1.04601300e-04	5.25790980e+03
2.60173111e+00	2023-03-02T16:53:27.590625	-6.00014700e-01	-2.66733300e-07	2.24949303e+06	-5.24945600e-01	-1.04649600e-04	5.01622175e+03
3.10213132e+00	2023-03-02T16:53:28.090676	-5.99771800e-01	-2.39493800e-07	2.50433122e+06	-4.99968400e-01	-1.04640500e-04	4.77796264e+03
3.60077401e+00	2023-03-02T16:53:28.590444	-5.99960100e-01	-2.13803600e-07	2.80612721e+06	-4.74927300e-01	-1.04783500e-04	4.53246265e+03
4.19268871e+00	2023-03-02T16:53:29.182480	-5.99926700e-01	-1.61874600e-07	3.70612005e+06	-4.49927800e-01	-9.96335400e-05	4.51582670e+03
4.69248989e+00	2023-03-02T16:53:29.682511	-5.99926700e-01	-1.55663400e-07	3.85399972e+06	-4.24944700e-01	-9.32628900e-05	4.55641788e+03
5.19454454e+00	2023-03-02T16:53:30.184544	-5.99927000e-01	-1.65314800e-07	3.62899752e+06	-3.99919700e-01	-8.77971800e-05	4.55504038e+03
5.69266601e+00	2023-03-02T16:53:30.682575	-5.99905900e-01	-1.64729200e-07	3.64177025e+06	-3.74877900e-01	-8.21686000e-05	4.56230117e+03
6.19466571e+00	2023-03-02T16:53:31.184607	-5.99901600e-01	-1.35875100e-07	4.41509592e+06	-3.49927700e-01	-7.66002200e-05	4.56823362e+03
6.69278070e+00	2023-03-02T16:53:31.682639	-5.99939400e-01	-1.72463700e-07	3.47864159e+06	-3.24962200e-01	-7.04478600e-05	4.61280442e+03
7.19288907e+00	2023-03-02T16:53:32.182670	-5.99918300e-01	-1.49689800e-07	4.00774335e+06	-2.99947000e-01	-6.54300500e-05	4.58423920e+03
7.69934420e+00	2023-03-02T16:53:32.688703	-5.99918600e-01	-1.49198800e-07	4.02093448e+06	-2.74961800e-01	-6.03631300e-05	4.55512827e+03
8.19248459e+00	2023-03-02T16:53:33.182733	-5.99939400e-01	-1.56578900e-07	3.83154691e+06	-2.49966300e-01	-5.51822200e-05	4.52983407e+03
8.69701972e+00	2023-03-02T16:53:33.686765	-5.99910000e-01	-1.57651300e-07	3.80529688e+06	-2.24928500e-01	-5.04215100e-05	4.46096319e+03
9.05260524e+00	2023-03-02T16:53:34.042787	-5.99897600e-01	-1.58787500e-07	3.77799008e+06	-1.99931200e-01	-4.42274700e-05	4.52052084e+03
