Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.02074145e+01	2023-03-02T17:16:24.212896	8.47104100e-05	2.63429800e-06	3.21567302e+01	-2.99949300e-01	-2.28419200e-06	1.31315275e+05	2	-7.99881000e-01	-2.73904000e-07	2.92029689e+06
6.04261504e+01	2023-03-02T17:16:24.430909	1.09812800e-04	2.42540600e-06	4.52760486e+01	-2.99953300e-01	-2.09630600e-06	1.43086601e+05	2	-7.49916800e-01	-1.95073800e-07	3.84427227e+06
6.10773157e+01	2023-03-02T17:16:25.081951	1.60017200e-04	2.17288400e-06	7.36427715e+01	-2.99989100e-01	-2.00875100e-06	1.49341108e+05	2	-6.99945400e-01	-1.40269600e-07	4.99000068e+06
6.17489443e+01	2023-03-02T17:16:25.753993	1.01445600e-04	2.15674300e-06	4.70364805e+01	-2.99943000e-01	-2.07490500e-06	1.44557462e+05	2	-6.49884300e-01	-1.00697800e-07	6.45380833e+06
6.24233647e+01	2023-03-02T17:16:26.428036	6.79747800e-05	2.00071400e-06	3.39752608e+01	-2.99961700e-01	-1.98185900e-06	1.51353704e+05	2	-5.99880600e-01	-4.50243900e-08	1.33234587e+07
6.30934130e+01	2023-03-02T17:16:27.098078	6.79761400e-05	1.84271500e-06	3.68891228e+01	-2.99984800e-01	-1.87950200e-06	1.59608662e+05	2	-5.49923300e-01	-2.72060500e-08	2.02132724e+07
6.39525171e+01	2023-03-02T17:16:27.957131	1.34914400e-04	1.70064300e-06	7.93314058e+01	-2.99972100e-01	-1.67608700e-06	1.78971676e+05	2	-4.99906500e-01	-1.28575500e-08	3.88803855e+07
6.48485955e+01	2023-03-02T17:16:28.853188	1.09812800e-04	1.26721900e-06	8.66565290e+01	-2.99928300e-01	-1.49385500e-06	2.00774707e+05	2	-4.49903600e-01	-6.46232600e-09	6.96194528e+07
6.57025671e+01	2023-03-02T17:16:29.707242	4.28737000e-05	1.06516300e-06	4.02508348e+01	-2.99963700e-01	-1.16150600e-06	2.58254111e+05	2	-3.99874700e-01	-2.17465300e-09	1.83879773e+08
6.65621962e+01	2023-03-02T17:16:30.567297	1.77729600e-05	7.82992200e-07	2.26987702e+01	-2.99919900e-01	-8.88131200e-07	3.37697741e+05	2	-3.49872800e-01	1.10810100e-09	-3.15740894e+08
6.74215424e+01	2023-03-02T17:16:31.426351	6.79754600e-05	6.54645600e-07	1.03835510e+02	-2.99970100e-01	-6.57437100e-07	4.56271938e+05	2	-2.99936000e-01	2.71480000e-09	-1.10481803e+08
6.82809377e+01	2023-03-02T17:16:32.286406	1.43280400e-04	3.00591100e-07	4.76662150e+02	-2.99923900e-01	-4.26085800e-07	7.03904941e+05	2	-2.49966800e-01	5.21116700e-09	-4.79675282e+07
6.94842272e+01	2023-03-02T17:16:33.489481	1.01442900e-04	1.58639800e-07	6.39454286e+02	-2.99964000e-01	-1.93838500e-07	1.54749443e+06	2	-1.99933200e-01	6.34888200e-09	-3.14910877e+07
7.03901943e+01	2023-03-02T17:16:34.395538	8.47104100e-05	6.43623700e-08	1.31614808e+03	-2.99938700e-01	-9.18781400e-08	3.26452734e+06	2	-1.49943900e-01	9.31361200e-09	-1.60994360e+07
7.12966752e+01	2023-03-02T17:16:35.301596	5.12396000e-05	3.34176400e-08	1.53330995e+03	-2.99945000e-01	-4.94967700e-08	6.05989037e+06	2	-9.99133700e-02	1.23346100e-08	-8.10024557e+06
7.23903285e+01	2023-03-02T17:16:36.395664	5.96096200e-05	5.12344500e-09	1.16346755e+04	-2.99934600e-01	-2.07250000e-08	1.44721158e+07	2	-4.98671500e-02	1.20915600e-08	-4.12412873e+06
7.34993083e+01	2023-03-02T17:16:37.504734	9.30758600e-05	-6.95324900e-09	-1.33859524e+04	-2.99938700e-01	-1.85866000e-08	1.61373624e+07	2	3.04538600e-04	1.71051000e-08	1.78039649e+04
7.44215703e+01	2023-03-02T17:16:38.426793	8.47112000e-05	-1.12324400e-08	-7.54165613e+03	-2.99993200e-01	-2.03201800e-08	1.47633141e+07	2	5.01674600e-02	2.74586200e-08	1.82702044e+06
7.53431586e+01	2023-03-02T17:16:39.347851	5.12407300e-05	-1.19657900e-08	-4.28226887e+03	-2.99957700e-01	-2.64243800e-08	1.13515511e+07	2	1.00024700e-01	3.66410000e-08	2.72985726e+06
