Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

5.96706531e+01	2023-03-06T16:32:53.303707	2.85095900e-05	7.04418200e-10	4.04725346e+04	-5.99898500e-01	-1.04819900e-04	5.72313559e+03
6.03423681e+01	2023-03-06T16:32:53.975754	3.68710300e-05	1.36081000e-09	2.70949141e+04	-5.74940100e-01	-1.04820600e-04	5.48499150e+03
6.08806890e+01	2023-03-06T16:32:54.513791	7.03332500e-05	-1.40098900e-09	-5.02025712e+04	-5.49975900e-01	-1.04849400e-04	5.24538910e+03
6.13906828e+01	2023-03-06T16:32:55.023828	5.36100700e-05	-3.02243300e-10	-1.77373891e+05	-5.24968100e-01	-1.04829700e-04	5.00781839e+03
6.18906020e+01	2023-03-06T16:32:55.523862	6.19747200e-05	-5.85641400e-10	-1.05823666e+05	-4.99978500e-01	-1.04836700e-04	4.76911711e+03
6.23906111e+01	2023-03-06T16:32:56.023896	6.19716000e-05	-5.31823000e-10	-1.16526739e+05	-4.74921000e-01	-1.04833200e-04	4.53025377e+03
6.29046360e+01	2023-03-06T16:32:56.537932	7.03302200e-05	1.25528300e-09	5.60273819e+04	-4.49939200e-01	-1.04859200e-04	4.29088912e+03
6.34300921e+01	2023-03-06T16:32:57.062969	2.01414800e-05	3.90303000e-10	5.16047276e+04	-4.24941600e-01	-1.04831800e-04	4.05355627e+03
6.39405357e+01	2023-03-06T16:32:57.574005	5.35911600e-05	-1.03429400e-09	-5.18142424e+04	-3.99939400e-01	-1.04815700e-04	3.81564403e+03
6.44362238e+01	2023-03-06T16:32:58.069039	4.52454800e-05	-8.80404000e-10	-5.13917247e+04	-3.74897900e-01	-1.04833200e-04	3.57613714e+03
6.49513699e+01	2023-03-06T16:32:58.585074	8.70510400e-05	-5.07011500e-10	-1.71694409e+05	-3.49983900e-01	-1.04798900e-04	3.33957608e+03
6.54731946e+01	2023-03-06T16:32:59.106111	7.03271600e-05	7.59923500e-10	9.25450522e+04	-3.24931000e-01	-1.04797500e-04	3.10056060e+03
6.59826705e+01	2023-03-06T16:32:59.616147	2.01347300e-05	7.77567000e-10	2.58945274e+04	-2.99915600e-01	-1.04807300e-04	2.86159075e+03
6.64986031e+01	2023-03-06T16:33:00.132182	2.01482300e-05	-3.98954400e-10	-5.05025888e+04	-2.74901400e-01	-1.04803100e-04	2.62302737e+03
6.70140380e+01	2023-03-06T16:33:00.647218	1.03792200e-04	-1.26133000e-09	-8.22879025e+04	-2.49921100e-01	-1.04811500e-04	2.38448166e+03
6.75142498e+01	2023-03-06T16:33:01.147253	7.03302200e-05	-1.32028000e-09	-5.32691702e+04	-2.24907900e-01	-1.04788400e-04	2.14630532e+03
6.80326898e+01	2023-03-06T16:33:01.666289	6.19685500e-05	-1.73570800e-10	-3.57021746e+05	-1.99917100e-01	-1.04783500e-04	1.90790630e+03
