Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

8.87488419e+01	2023-03-06T16:04:39.309133	-1.99890000e-01	-2.46738400e-10	8.10129271e+08	-5.99923100e-01	-5.03371300e-09	1.19181030e+08
8.94527375e+01	2023-03-06T16:04:40.013178	-1.99892800e-01	8.75569100e-11	-2.28300428e+09	-5.74891200e-01	-3.51775800e-09	1.63425455e+08
9.01545645e+01	2023-03-06T16:04:40.715223	-1.99909500e-01	2.88972700e-10	-6.91793723e+08	-5.49976800e-01	-3.86590300e-09	1.42263476e+08
9.08574204e+01	2023-03-06T16:04:41.418266	-1.99915100e-01	2.72166900e-10	-7.34531275e+08	-5.24987500e-01	-4.56407400e-09	1.15026071e+08
9.15607462e+01	2023-03-06T16:04:42.121311	-1.99930500e-01	-1.09657700e-10	1.82322354e+09	-4.99924900e-01	-5.76783200e-09	8.66746639e+07
9.22636280e+01	2023-03-06T16:04:42.824355	-1.99909500e-01	-4.10730300e-10	4.86717196e+08	-4.74895900e-01	-3.73607000e-09	1.27111082e+08
9.29668613e+01	2023-03-06T16:04:43.527400	-1.99910800e-01	-2.19404500e-10	9.11151777e+08	-4.49867000e-01	-2.85847800e-09	1.57379906e+08
9.36700240e+01	2023-03-06T16:04:44.230444	-1.99916500e-01	1.38853900e-10	-1.43976150e+09	-4.24936300e-01	-1.39636600e-09	3.04315846e+08
9.43730072e+01	2023-03-06T16:04:44.933489	-1.99929200e-01	3.71396100e-10	-5.38317984e+08	-3.99944800e-01	-2.38245100e-09	1.67871155e+08
9.50762504e+01	2023-03-06T16:04:45.636533	-1.99901100e-01	6.02150400e-11	-3.31978688e+09	-3.74948100e-01	-3.12623500e-09	1.19935993e+08
9.57792360e+01	2023-03-06T16:04:46.339577	-1.99913800e-01	-2.27816300e-10	8.77521933e+08	-3.49885900e-01	-3.07709900e-09	1.13706416e+08
9.65050055e+01	2023-03-06T16:04:47.065623	-1.99873300e-01	-1.67264200e-10	1.19495565e+09	-3.24878600e-01	-2.89920900e-09	1.12057668e+08
9.72027464e+01	2023-03-06T16:04:47.763667	-1.99906800e-01	-2.67756600e-10	7.46598963e+08	-2.99901400e-01	-1.30302400e-09	2.30158002e+08
9.79043840e+01	2023-03-06T16:04:48.464712	-1.99924800e-01	-6.38242500e-11	3.13242694e+09	-2.74910600e-01	2.36855500e-10	-1.16066800e+09
9.86073969e+01	2023-03-06T16:04:49.167756	-1.99909500e-01	2.54067000e-10	-7.86837724e+08	-2.50021500e-01	2.11203000e-10	-1.18379711e+09
9.93106203e+01	2023-03-06T16:04:49.870800	-1.99926200e-01	2.54901300e-10	-7.84327895e+08	-2.24953600e-01	1.68311800e-10	-1.33652899e+09
1.00169862e+02	2023-03-06T16:04:50.729854	-1.99901100e-01	1.01008200e-10	-1.97905814e+09	-1.99924100e-01	4.07574700e-10	-4.90521369e+08
