Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.47297442e+02	2023-03-10T19:32:22.680248	6.79747800e-05	-7.45134100e-08	-9.12248950e+02	-4.99918200e-01	-4.21710900e-07	1.18545240e+06	3	8.00127000e-01	4.19220300e-07	1.90860748e+06
1.47501615e+02	2023-03-10T19:32:22.884260	4.28742100e-05	-5.93077000e-08	-7.22911359e+02	-4.99918200e-01	-3.12340500e-07	1.60055516e+06	3	7.50206700e-01	3.89240600e-07	1.92735984e+06
1.48223778e+02	2023-03-10T19:32:23.606306	5.12418500e-05	-4.62468900e-08	-1.10800640e+03	-4.99943300e-01	-2.56044800e-07	1.95256182e+06	3	7.00300000e-01	3.63706000e-07	1.92545628e+06
1.48939867e+02	2023-03-10T19:32:24.322352	9.30775400e-05	-3.71244400e-08	-2.50717694e+03	-4.99981800e-01	-2.23372500e-07	2.23833193e+06	3	6.49947400e-01	2.06104600e-07	3.15348323e+06
1.49845725e+02	2023-03-10T19:32:25.228409	6.79741100e-05	-2.61043500e-08	-2.60393804e+03	-4.99963300e-01	-2.04142500e-07	2.44908973e+06	3	6.00263800e-01	2.76877800e-07	2.16797374e+06
1.50579935e+02	2023-03-10T19:32:25.962454	4.28752200e-05	-1.73785000e-08	-2.46714158e+03	-4.99938300e-01	-1.84114700e-07	2.71536330e+06	3	5.49974800e-01	1.56108700e-07	3.52302466e+06
1.51329915e+02	2023-03-10T19:32:26.712502	1.18182000e-04	-1.13107400e-08	-1.04486532e+04	-4.99941600e-01	-1.72035500e-07	2.90603742e+06	3	5.00257700e-01	2.43948200e-07	2.05067182e+06
1.52079960e+02	2023-03-10T19:32:27.462549	3.45057800e-05	-6.05659700e-09	-5.69722238e+03	-4.99956600e-01	-1.54347800e-07	3.23915598e+06	3	4.50006900e-01	9.02641800e-08	4.98544273e+06
1.52829926e+02	2023-03-10T19:32:28.212597	9.30750000e-05	-2.82106800e-09	-3.29928240e+04	-4.99968400e-01	-1.44010200e-07	3.47175686e+06	3	4.00197400e-01	2.27995700e-07	1.75528486e+06
1.53580083e+02	2023-03-10T19:32:28.962644	4.28732000e-05	3.41357900e-10	1.25596039e+05	-4.99956600e-01	-1.26072800e-07	3.96561828e+06	3	3.49946900e-01	4.68919000e-08	7.46284326e+06
1.54330021e+02	2023-03-10T19:32:29.712691	7.63425300e-05	2.81383100e-09	2.71311710e+04	-4.99971700e-01	-1.16770900e-07	4.28164637e+06	3	3.00180300e-01	1.19837600e-07	2.50489245e+06
1.55066059e+02	2023-03-10T19:32:30.448738	5.96096200e-05	1.26255400e-08	4.72135212e+03	-4.99946700e-01	-9.73998900e-08	5.13292879e+06	3	2.50027500e-01	8.37734100e-08	2.98456873e+06
1.55803687e+02	2023-03-10T19:32:31.186784	1.43274500e-04	2.50123500e-09	5.72815029e+04	-4.99871300e-01	-1.18381300e-07	4.22255289e+06	3	2.50020800e-01	9.89659300e-08	2.52633204e+06
1.56032516e+02	2023-03-10T19:32:31.415798	7.63425300e-05	6.89633200e-09	1.10700195e+04	-4.99955000e-01	-9.86434400e-08	5.06830459e+06	3	2.40245600e-01	1.41847200e-07	1.69369293e+06
1.56783083e+02	2023-03-10T19:32:32.165846	4.28721800e-05	5.75434300e-09	7.45040398e+03	-4.99955000e-01	-9.29392600e-08	5.37937358e+06	3	2.30231200e-01	1.25854000e-07	1.82935147e+06
1.57517515e+02	2023-03-10T19:32:32.900893	7.63440100e-05	-2.15498800e-09	-3.54266520e+04	-4.99928200e-01	-8.81015800e-08	5.67445215e+06	3	2.20027500e-01	6.20376100e-08	3.54667918e+06
1.58611315e+02	2023-03-10T19:32:33.993961	5.96102300e-05	-7.31249800e-09	-8.15182855e+03	-4.99916600e-01	-8.66519900e-08	5.76924546e+06	3	2.10238900e-01	1.71630400e-07	1.22495141e+06
1.59361209e+02	2023-03-10T19:32:34.744008	6.79741100e-05	1.15030600e-08	5.90921981e+03	-4.99928300e-01	-8.11485200e-08	6.16065826e+06	3	2.00222000e-01	1.70722300e-07	1.17279348e+06
1.60502034e+02	2023-03-10T19:32:35.885081	5.96083700e-05	8.86106600e-08	6.72699763e+02	-4.99953300e-01	-1.64076900e-07	3.04706695e+06	3	1.90038800e-01	6.96122700e-08	2.72996126e+06
