Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.68985343e-01	2023-03-10T20:06:42.471377	9.30750000e-05	-4.89103100e-08	-1.90297301e+03	-9.99157000e-02	-1.16289200e-07	8.59200166e+05	1	1.00012900e+00	1.54695600e-07	6.46514187e+06
2.11454970e+00	2023-03-10T20:06:43.917078	6.79747800e-05	-1.27639400e-08	-5.32553271e+03	-9.99407900e-02	-6.05993600e-08	1.64920537e+06	1	9.50108200e-01	6.16183400e-08	1.54192437e+07
3.01971438e+00	2023-03-10T20:06:44.816636	6.79734300e-05	-8.39612900e-09	-8.09580582e+03	-9.99896400e-02	-3.36053700e-08	2.97540661e+06	1	9.00144200e-01	5.06986200e-08	1.77548067e+07
3.94334484e+00	2023-03-10T20:06:45.742342	9.30750000e-05	-5.51599700e-09	-1.68736495e+04	-9.99484900e-02	-1.76538000e-08	5.66158504e+06	1	8.50215400e-01	2.56848800e-08	3.31017860e+07
4.74089434e+00	2023-03-10T20:06:46.542784	5.96071300e-05	-2.09186800e-09	-2.84946899e+04	-9.99846500e-02	-1.26887700e-08	7.87977479e+06	1	8.00004500e-01	2.47586900e-08	3.23120690e+07
5.69208506e+00	2023-03-10T20:06:47.493850	4.28737000e-05	-1.85762700e-09	-2.30798217e+04	-9.99568600e-02	-8.28876000e-09	1.20593261e+07	1	7.50024400e-01	1.61784000e-08	4.63596153e+07
6.61400101e+00	2023-03-10T20:06:48.415914	4.28742100e-05	-1.43320600e-08	-2.99148971e+03	-9.99297300e-02	-6.19795800e-09	1.61230086e+07	1	7.00044300e-01	1.11717000e-08	6.26622895e+07
7.53532781e+00	2023-03-10T20:06:49.337978	1.01443800e-04	1.66525000e-08	6.09180604e+03	-9.99665700e-02	-5.84616100e-09	1.70995239e+07	1	6.50239800e-01	1.49227800e-08	4.35736371e+07
8.86405519e+00	2023-03-10T20:06:50.666071	5.96083700e-05	1.23232300e-07	4.83707356e+02	-9.99631900e-02	-1.87502300e-07	5.33130474e+05	1	6.00179800e-01	5.05733800e-09	1.18675042e+08
1.01140186e+01	2023-03-10T20:06:51.916158	9.30800700e-05	1.15255100e-06	8.07600445e+01	-9.99157000e-02	-1.36631200e-06	7.31280264e+04	1	5.50084500e-01	6.27979100e-09	8.75959885e+07
1.12858873e+01	2023-03-10T20:06:53.088240	7.63418000e-05	5.75060100e-06	1.32754472e+01	-9.99261000e-02	-5.67123900e-06	1.76198005e+04	1	5.00115400e-01	3.48516900e-09	1.43498178e+08
1.22854306e+01	2023-03-10T20:06:54.087308	8.47072500e-05	1.60520200e-05	5.27704613e+00	-9.99227100e-02	-1.59110900e-05	6.28006692e+03	1	4.50147500e-01	-2.71916200e-09	-1.65546407e+08
1.30360502e+01	2023-03-10T20:06:54.838361	7.63418000e-05	3.30648100e-05	2.30885343e+00	-9.99297300e-02	-3.29271200e-05	3.03487611e+03	1	4.00110400e-01	-4.61132500e-09	-8.67669054e+07
1.38952397e+01	2023-03-10T20:06:55.697421	5.96077600e-05	6.32786600e-05	9.41988342e-01	-9.99157000e-02	-6.27138700e-05	1.59319940e+03	1	3.50129600e-01	-5.93453900e-09	-5.89986181e+07
1.50681506e+01	2023-03-10T20:06:56.870503	9.30775400e-05	1.05845900e-04	8.79368403e-01	-9.99407900e-02	-1.05586000e-04	9.46534484e+02	1	3.00071600e-01	-9.19313000e-09	-3.26408525e+07
1.59420949e+01	2023-03-10T20:06:57.744563	5.96065100e-05	1.57826300e-04	3.77671592e-01	-9.99227100e-02	-1.57602800e-04	6.34016083e+02	1	2.50084400e-01	-1.14843200e-08	-2.17761609e+07
1.68641600e+01	2023-03-10T20:06:58.666627	8.47112000e-05	2.10368800e-04	4.02679485e-01	-9.99435000e-02	-2.12580300e-04	4.70144694e+02	1	2.00057300e-01	-1.42337000e-08	-1.40551859e+07
1.77707460e+01	2023-03-10T20:06:59.572690	7.63425300e-05	2.65559900e-04	2.87477627e-01	-9.99157000e-02	-2.64990200e-04	3.77054321e+02	1	1.50041900e-01	-1.68391900e-08	-8.91028013e+06
1.86296423e+01	2023-03-10T20:07:00.431751	5.12418500e-05	3.12303500e-04	1.64077092e-01	-9.99505100e-02	-3.11737900e-04	3.20623543e+02	1	1.00079200e-01	-1.81031200e-08	-5.52828463e+06
