Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.22556338e+02	2023-03-10T18:34:18.606345	1.03880300e-06	-2.16644600e-07	-4.79496373e+00	-2.99934600e-01	-3.64840800e-07	8.22097200e+05	3	8.00107300e-01	5.12382300e-07	1.56154360e+06
4.22885206e+02	2023-03-10T18:34:18.935367	7.63418000e-05	-1.85186100e-07	-4.12243684e+02	-3.00172900e-01	-2.92810600e-07	1.02514356e+06	3	7.50089700e-01	4.98225500e-07	1.50552250e+06
4.23468315e+02	2023-03-10T18:34:19.518408	8.47096200e-05	-1.56428500e-07	-5.41522932e+02	-2.99963700e-01	-2.86967500e-07	1.04528806e+06	3	7.00207900e-01	4.17898000e-07	1.67554738e+06
4.24199659e+02	2023-03-10T18:34:20.250459	8.47127700e-05	-1.28185900e-07	-6.60858722e+02	-3.00913300e-01	-2.68641100e-07	1.12013128e+06	3	6.50294100e-01	4.68445500e-07	1.38819585e+06
4.24933402e+02	2023-03-10T18:34:20.983510	5.96090000e-05	-9.86085400e-08	-6.04501395e+02	-2.99928300e-01	-1.92793700e-07	1.55569554e+06	3	5.99991800e-01	2.45416500e-07	2.44478998e+06
4.25668102e+02	2023-03-10T18:34:21.718561	1.09812800e-04	-5.99694700e-08	-1.83114508e+03	-3.00051500e-01	-1.37319200e-07	2.18506589e+06	3	5.49973800e-01	2.32725700e-07	2.36318464e+06
4.26401969e+02	2023-03-10T18:34:22.452612	5.96096200e-05	-3.34157800e-08	-1.78387636e+03	-2.99848900e-01	-1.60973800e-07	1.86271865e+06	3	5.00068700e-01	1.83657700e-07	2.72283003e+06
4.27167400e+02	2023-03-10T18:34:23.217665	4.28752200e-05	-1.49054600e-08	-2.87647748e+03	-2.99993200e-01	-2.04614500e-07	1.46613852e+06	3	4.50381000e-01	1.92214000e-07	2.34312277e+06
4.27902821e+02	2023-03-10T18:34:23.953717	5.12418500e-05	-6.05785800e-09	-8.45874070e+03	-2.99857300e-01	-1.16692200e-07	2.56964304e+06	3	4.00286400e-01	2.07587000e-07	1.92828260e+06
4.28635926e+02	2023-03-10T18:34:24.686768	5.96090000e-05	-1.40035200e-09	-4.25671545e+04	-3.00041300e-01	-9.97512700e-08	3.00789454e+06	3	3.50055400e-01	1.04391300e-07	3.35330051e+06
4.29370961e+02	2023-03-10T18:34:25.421819	6.79747800e-05	2.75283900e-09	2.46926101e+04	-2.99961700e-01	-1.14480200e-07	2.62020594e+06	3	3.00261900e-01	5.89962200e-08	5.08951082e+06
4.30104663e+02	2023-03-10T18:34:26.154870	6.79761400e-05	-1.83952900e-09	-3.69530135e+04	-2.99982800e-01	-4.47372400e-08	6.70543824e+06	3	2.50358800e-01	1.30192600e-07	1.92298794e+06
4.30839126e+02	2023-03-10T18:34:26.889921	1.09809900e-04	2.67990800e-08	4.09752499e+03	-2.99829900e-01	-3.74497600e-08	8.00619016e+06	3	2.00209200e-01	7.57998100e-08	2.64128894e+06
4.31760980e+02	2023-03-10T18:34:27.811985	5.96065100e-05	6.53055000e-08	9.12733384e+02	-3.00039000e-01	-6.33936200e-08	4.73295262e+06	3	1.50263400e-01	8.49508300e-09	1.76882792e+07
4.32995157e+02	2023-03-10T18:34:29.046071	5.96090000e-05	5.77203900e-07	1.03271998e+02	-2.99926500e-01	-6.57828300e-07	4.55934322e+05	3	1.00107700e-01	-2.87769800e-08	-3.47874238e+06
4.34167172e+02	2023-03-10T18:34:30.218152	1.01446500e-04	1.31832800e-06	7.69508802e+01	-2.99898800e-01	-9.27045500e-07	3.23499548e+05	3	5.01253100e-02	-4.39541900e-08	-1.14039890e+06
4.35041923e+02	2023-03-10T18:34:31.092214	4.28742100e-05	1.83503400e-06	2.33642592e+01	-3.00026600e-01	-1.41280000e-06	2.12363109e+05	3	8.70539600e-05	-4.16554500e-08	-2.08985763e+03
4.35921451e+02	2023-03-10T18:34:31.972275	1.34913200e-04	2.69951900e-06	4.99767551e+01	-2.99876100e-01	-2.18863600e-06	1.37015063e+05	3	-4.97845200e-02	-5.00867100e-08	9.93966663e+05
4.36932804e+02	2023-03-10T18:34:32.983345	7.63440100e-05	3.00081200e-06	2.54411173e+01	-2.99957700e-01	-2.71237200e-06	1.10588702e+05	3	-9.99174300e-02	-9.24092500e-08	1.08124923e+06
