Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.44392194e+02	2023-03-10T17:02:26.827711	7.63410700e-05	-2.16678300e-07	-3.52324483e+02	-6.99929900e-01	-5.53183800e-07	1.26527548e+06	3	8.00143700e-01	8.02617200e-07	9.96918207e+05
2.44550386e+02	2023-03-10T17:02:26.985721	9.30783900e-05	-1.69741600e-07	-5.48353438e+02	-6.99910500e-01	-4.77645800e-07	1.46533373e+06	3	7.50071300e-01	5.56364800e-07	1.34816455e+06
2.45222166e+02	2023-03-10T17:02:27.657764	6.79734300e-05	-1.37722100e-07	-4.93554992e+02	-6.99909500e-01	-4.36462300e-07	1.60359669e+06	3	7.00116000e-01	5.88102700e-07	1.19046554e+06
2.45878472e+02	2023-03-10T17:02:28.313804	6.79741100e-05	-1.07737000e-07	-6.30926330e+02	-6.99865200e-01	-4.06644000e-07	1.72107593e+06	3	6.50189600e-01	5.96330100e-07	1.09031827e+06
2.46534804e+02	2023-03-10T17:02:28.970846	8.47088300e-05	-7.71924100e-08	-1.09737253e+03	-6.99914300e-01	-3.80974600e-07	1.83716788e+06	3	6.00251100e-01	4.59282400e-07	1.30693251e+06
2.47394041e+02	2023-03-10T17:02:29.829901	5.12412900e-05	-4.69256400e-08	-1.09196785e+03	-6.99917900e-01	-3.51175700e-07	1.99307042e+06	3	5.49934900e-01	3.22501800e-07	1.70521498e+06
2.48112786e+02	2023-03-10T17:02:30.548946	4.28737000e-05	-2.69007500e-08	-1.59377341e+03	-6.99927800e-01	-3.31969900e-07	2.10840742e+06	3	4.99964900e-01	4.42627500e-07	1.12953872e+06
2.49019412e+02	2023-03-10T17:02:31.455003	5.96071300e-05	-1.17354800e-08	-5.07922386e+03	-6.99934600e-01	-3.11201600e-07	2.24913561e+06	3	4.50016000e-01	2.48402200e-07	1.81164257e+06
2.49754800e+02	2023-03-10T17:02:32.191049	1.01443800e-04	-4.36017500e-09	-2.32659928e+04	-6.99890200e-01	-2.95261900e-07	2.37040472e+06	3	4.00046500e-01	2.76829300e-07	1.44510173e+06
2.50492170e+02	2023-03-10T17:02:32.928096	3.45057800e-05	-3.54766400e-10	-9.72633823e+04	-6.99891700e-01	-2.72449200e-07	2.56888881e+06	3	3.50214600e-01	3.55294100e-07	9.85703393e+05
2.51227247e+02	2023-03-10T17:02:33.663142	5.12407300e-05	1.10019000e-09	4.65744371e+04	-6.99883400e-01	-2.43776800e-07	2.87100085e+06	3	3.00065500e-01	2.76572300e-07	1.08494415e+06
2.51957836e+02	2023-03-10T17:02:34.393188	5.96083700e-05	1.49721700e-09	3.98127793e+04	-6.99919400e-01	-2.19119100e-07	3.19424185e+06	3	2.50017500e-01	1.43973500e-07	1.73655221e+06
2.52695304e+02	2023-03-10T17:02:35.131235	1.01444700e-04	3.10276300e-09	3.26949561e+04	-6.99912100e-01	-1.99951500e-07	3.50040935e+06	3	2.00065700e-01	1.69034500e-07	1.18357909e+06
2.53425993e+02	2023-03-10T17:02:35.862281	5.96071300e-05	6.00848000e-09	9.92050069e+03	-6.99921500e-01	-1.76885300e-07	3.95692293e+06	3	1.50202800e-01	2.49931600e-07	6.00975627e+05
2.54160029e+02	2023-03-10T17:02:36.596328	6.79727500e-05	6.81636900e-09	9.97198802e+03	-6.99928800e-01	-1.52586300e-07	4.58710120e+06	3	1.00199000e-01	1.83448500e-07	5.46196889e+05
2.54894379e+02	2023-03-10T17:02:37.330374	6.79747800e-05	8.11745300e-09	8.37390497e+03	-6.99937200e-01	-1.31781800e-07	5.31133434e+06	3	4.98723600e-02	5.43491200e-08	9.17629577e+05
2.55632503e+02	2023-03-10T17:02:38.068420	9.30783900e-05	1.50382100e-08	6.18945938e+03	-6.99861900e-01	-1.23244300e-07	5.67865532e+06	3	-7.18633000e-05	8.46385200e-08	-8.49061397e+02
2.56711760e+02	2023-03-10T17:02:39.147491	7.63403400e-05	2.73683800e-08	2.78936276e+03	-6.99929900e-01	-1.24278400e-07	5.63195133e+06	3	-5.00253900e-02	8.85552700e-08	-5.64905849e+05
2.57790641e+02	2023-03-10T17:02:40.226556	5.96065100e-05	6.27884400e-08	9.49322996e+02	-6.99920500e-01	-1.50202200e-07	4.65985518e+06	3	-9.98477900e-02	1.84308700e-07	-5.41742142e+05
