Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.83578593e-01	2023-03-13T16:51:02.232722	1.09812800e-04	-1.03137800e-07	-1.06471924e+03	-4.99948300e-01	-6.17770400e-07	8.09278496e+05	1	1.20021200e+00	5.71484600e-07	2.10016508e+06
2.22219158e+00	2023-03-13T16:51:03.763687	1.18177900e-04	-1.21679400e-08	-9.71223560e+03	-4.99965000e-01	-4.52012800e-07	1.10608593e+06	1	1.15016600e+00	4.50026700e-07	2.55577280e+06
2.94582973e+00	2023-03-13T16:51:04.489325	5.12412900e-05	-5.32472900e-09	-9.62326721e+03	-4.99995200e-01	-3.90595600e-07	1.28008406e+06	1	1.10017100e+00	4.11125200e-07	2.67599991e+06
3.82247325e+00	2023-03-13T16:51:05.372315	8.47080500e-05	-3.11651000e-09	-2.71804198e+04	-4.99951700e-01	-3.31259700e-07	1.50924396e+06	1	1.05014400e+00	3.21528000e-07	3.26610435e+06
4.55053951e+00	2023-03-13T16:51:06.100533	5.12396000e-05	7.62090000e-09	6.72356283e+03	-4.99958300e-01	-3.17036500e-07	1.57697394e+06	1	1.00016900e+00	3.12321700e-07	3.20236794e+06
5.28634551e+00	2023-03-13T16:51:06.836598	6.79747800e-05	2.33413900e-08	2.91219932e+03	-4.99981700e-01	-2.84397300e-07	1.75803955e+06	1	9.50135800e-01	2.80264200e-07	3.39014330e+06
6.01947614e+00	2023-03-13T16:51:07.569664	5.96077600e-05	1.62379400e-07	3.67089421e+02	-4.99911600e-01	-4.41867900e-07	1.13135985e+06	1	9.00201300e-01	2.47566300e-07	3.63620291e+06
6.90989109e+00	2023-03-13T16:51:08.459743	1.09812800e-04	8.36720800e-07	1.31241867e+02	-4.99926500e-01	-1.17221800e-06	4.26479119e+05	1	8.50101700e-01	2.23309300e-07	3.80683518e+06
7.89424369e+00	2023-03-13T16:51:09.443830	6.79754600e-05	2.51854000e-06	2.69900260e+01	-4.99946600e-01	-2.93444100e-06	1.70372006e+05	1	8.00140800e-01	2.01409600e-07	3.97270438e+06
8.61288130e+00	2023-03-13T16:51:10.162895	9.30783900e-05	6.74238400e-06	1.38049672e+01	-4.99961700e-01	-7.11912100e-06	7.02280099e+04	1	7.50109800e-01	1.76612300e-07	4.24721155e+06
9.56747442e+00	2023-03-13T16:51:11.116979	4.28737000e-05	1.24534900e-05	3.44270562e+00	-4.99956700e-01	-1.27831100e-05	3.91107250e+04	1	7.00131600e-01	1.49893100e-07	4.67087278e+06
1.02536024e+01	2023-03-13T16:51:11.804041	9.30767000e-05	2.11016500e-05	4.41087308e+00	-4.99949900e-01	-2.14614800e-05	2.32952201e+04	1	6.50131000e-01	1.06196200e-07	6.12197988e+06
1.09411378e+01	2023-03-13T16:51:12.491101	9.30783900e-05	3.33829700e-05	2.78819979e+00	-4.99929900e-01	-3.37290500e-05	1.48219384e+04	1	6.00180400e-01	9.03539100e-08	6.64255039e+06
1.16130096e+01	2023-03-13T16:51:13.163162	4.28732000e-05	5.17379400e-05	8.28660747e-01	-4.99963300e-01	-5.20748700e-05	9.60085546e+03	1	5.50103000e-01	4.87094200e-08	1.12935650e+07
1.25678728e+01	2023-03-13T16:51:14.118247	5.96065100e-05	7.21453000e-05	8.26200875e-01	-4.99951700e-01	-7.21878900e-05	6.92570042e+03	1	5.00122200e-01	4.21149300e-08	1.18751759e+07
1.32536850e+01	2023-03-13T16:51:14.803308	8.47096200e-05	9.78366500e-05	8.65827070e-01	-5.00010100e-01	-9.83044700e-05	5.08634145e+03	1	4.50115600e-01	2.09852700e-08	2.14491212e+07
1.41129844e+01	2023-03-13T16:51:15.663409	9.30758600e-05	1.27316900e-04	7.31056600e-01	-4.99973500e-01	-1.28213600e-04	3.89953562e+03	1	4.00110700e-01	9.92585200e-09	4.03099603e+07
1.49726210e+01	2023-03-13T16:51:16.522486	7.63440100e-05	1.60542400e-04	4.75537989e-01	-4.99931600e-01	-1.61602900e-04	3.09358062e+03	1	3.50120200e-01	6.50480100e-09	5.38248903e+07
1.56912241e+01	2023-03-13T16:51:17.241550	9.30767000e-05	1.98777900e-04	4.68244709e-01	-4.99953300e-01	-1.99879000e-04	2.50127977e+03	1	3.00107000e-01	3.17311700e-09	9.45779812e+07
