Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.56573302e+02	2023-03-16T20:44:20.880079	-4.07966800e-05	-2.11199100e-07	1.93166922e+02	-2.99964000e-01	-4.22141100e-07	7.10577577e+05	1	1.00003400e+00	7.15626300e-07	1.39742489e+06
3.57119901e+02	2023-03-16T20:44:21.426115	3.45066800e-05	-2.75080400e-07	-1.25442162e+02	-2.99949600e-01	-4.02447800e-07	7.45313057e+05	1	9.50262800e-01	7.01323200e-07	1.35495703e+06
3.57854229e+02	2023-03-16T20:44:22.160645	1.68380400e-04	-1.59388500e-07	-1.05641499e+03	-2.99940700e-01	-3.77749000e-07	7.94021162e+05	1	9.00040000e-01	4.09466000e-07	2.19808238e+06
3.58854191e+02	2023-03-16T20:44:23.160709	1.26544000e-04	-1.41623400e-07	-8.93524658e+02	-2.99980800e-01	-3.62151500e-07	8.28329580e+05	1	8.49987200e-01	5.12704700e-07	1.65784944e+06
3.59572600e+02	2023-03-16T20:44:23.878755	1.76741900e-04	-9.90320900e-08	-1.78469322e+03	-2.99943300e-01	-3.38010900e-07	8.87377596e+05	1	8.00579200e-01	4.77796700e-07	1.67556452e+06
3.60291934e+02	2023-03-16T20:44:24.598801	5.12412900e-05	-6.96499500e-08	-7.35697441e+02	-2.99978700e-01	-3.20911500e-07	9.34770801e+05	1	7.50067700e-01	4.06750600e-07	1.84404817e+06
3.61510411e+02	2023-03-16T20:44:25.816879	1.93481700e-04	-4.77398100e-08	-4.05283766e+03	-2.99945300e-01	-2.96117300e-07	1.01292731e+06	1	6.99969100e-01	3.61150200e-07	1.93816617e+06
3.62229356e+02	2023-03-16T20:44:26.535926	7.63418000e-05	-1.26962500e-07	-6.01294083e+02	-2.99976700e-01	-2.72354100e-07	1.10142164e+06	1	6.49917200e-01	1.63247400e-07	3.98117949e+06
3.63652513e+02	2023-03-16T20:44:27.959017	1.76746100e-04	-6.13150400e-08	-2.88258966e+03	-2.99943300e-01	-2.50973000e-07	1.19512179e+06	1	6.00242700e-01	2.04683100e-07	2.93254646e+06
3.64370174e+02	2023-03-16T20:44:28.677063	-9.09980000e-05	-4.48135100e-08	2.03059301e+03	-2.99965800e-01	-2.30601100e-07	1.30079952e+06	1	5.50066800e-01	2.13786700e-07	2.57297016e+06
3.65448018e+02	2023-03-16T20:44:29.754132	-2.83447400e-04	-1.04517900e-08	2.71195078e+04	-2.99969800e-01	-2.06001800e-07	1.45615135e+06	1	4.99936500e-01	5.12927500e-07	9.74672834e+05
3.66370826e+02	2023-03-16T20:44:30.677192	3.10616200e-04	-2.54397000e-08	-1.22099003e+04	-2.99938900e-01	-1.85794500e-07	1.61435834e+06	1	4.49787100e-01	1.93029100e-07	2.33015178e+06
3.67447495e+02	2023-03-16T20:44:31.754260	2.68777300e-04	4.76724000e-09	5.63800648e+04	-2.99988800e-01	-1.63177400e-07	1.83842125e+06	1	4.00537400e-01	4.13618000e-07	9.68375167e+05
3.68197412e+02	2023-03-16T20:44:32.504308	-4.91639400e-05	-2.72190200e-09	1.80623476e+04	-2.99932600e-01	-1.34635600e-07	2.22773620e+06	1	3.50083100e-01	-1.03114400e-07	-3.39509419e+06
3.69292120e+02	2023-03-16T20:44:33.598379	2.01848800e-04	-6.36986900e-10	-3.16880614e+05	-2.99905200e-01	-1.11075100e-07	2.70002188e+06	1	2.99854100e-01	-1.30577000e-07	-2.29637762e+06
3.70026502e+02	2023-03-16T20:44:34.333426	1.26544000e-04	1.46629900e-08	8.63016343e+03	-2.99932300e-01	-8.53927200e-08	3.51238724e+06	1	2.50435700e-01	1.32442500e-07	1.89090133e+06
3.71152610e+02	2023-03-16T20:44:35.459498	1.01442000e-04	6.66617400e-08	1.52174246e+03	-2.99932600e-01	-7.42431900e-08	4.03986682e+06	1	2.00290200e-01	9.19797800e-08	2.17754598e+06
3.72432462e+02	2023-03-16T20:44:36.738580	9.30767000e-05	4.60130300e-07	2.02283353e+02	-2.99972100e-01	-4.71141500e-07	6.36692161e+05	1	1.50151600e-01	-5.48091900e-08	-2.73953328e+06
3.73354327e+02	2023-03-16T20:44:37.660639	9.30750000e-05	1.99890100e-06	4.65630864e+01	-2.99951400e-01	-3.30910700e-06	9.06442131e+04	1	1.00078600e-01	5.58471000e-08	1.79201069e+06
