Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.21106535e+02	2023-03-16T20:16:58.239684	-6.58988000e-05	-2.15223400e-07	3.06187896e+02	-6.99961200e-01	-1.21745600e-06	5.74937575e+05	3	1.00016200e+00	1.64903000e-06	6.06515345e+05
1.21299826e+02	2023-03-16T20:16:58.432697	6.79774800e-05	-2.77385300e-07	-2.45065186e+02	-6.99908500e-01	-8.95064000e-07	7.81964753e+05	3	9.49999000e-01	1.19064300e-06	7.97887360e+05
1.22062638e+02	2023-03-16T20:16:59.195745	-6.58985700e-05	-1.34902000e-07	4.88492165e+02	-6.99936100e-01	-7.03828900e-07	9.94469110e+05	3	9.00079600e-01	8.38032600e-07	1.07403889e+06
1.22763172e+02	2023-03-16T20:16:59.895792	1.26546100e-04	-1.92850400e-07	-6.56187905e+02	-6.99887000e-01	-5.99453700e-07	1.16754138e+06	3	8.50029600e-01	8.54995800e-07	9.94191550e+05
1.23442493e+02	2023-03-16T20:17:00.575834	3.45071300e-05	-2.00316600e-07	-1.72262958e+02	-6.99870400e-01	-5.35476900e-07	1.30700391e+06	3	8.00182100e-01	6.98057700e-07	1.14629793e+06
1.24124011e+02	2023-03-16T20:17:01.256877	2.61404400e-05	-7.25435600e-08	-3.60341290e+02	-6.99933500e-01	-4.91274900e-07	1.42472880e+06	3	7.50036100e-01	6.91526400e-07	1.08460950e+06
1.24671250e+02	2023-03-16T20:17:01.803913	2.35318900e-04	-1.65739000e-07	-1.41981610e+03	-6.99896500e-01	-4.64264900e-07	1.50753697e+06	3	7.00181800e-01	6.62292100e-07	1.05720995e+06
1.25379473e+02	2023-03-16T20:17:02.512095	-1.56952500e-05	-1.13590400e-07	1.38174089e+02	-6.99896500e-01	-4.15569400e-07	1.68418680e+06	3	6.50206800e-01	7.52028800e-07	8.64603590e+05
1.26065693e+02	2023-03-16T20:17:03.199003	-6.58985700e-05	-4.48127400e-08	1.47053204e+03	-6.99937200e-01	-3.77896600e-07	1.85219237e+06	3	6.00255700e-01	7.40042000e-07	8.11110315e+05
1.26925678e+02	2023-03-16T20:17:04.058058	2.01848800e-04	-1.28382700e-07	-1.57224299e+03	-6.99873900e-01	-3.63765800e-07	1.92396839e+06	3	5.50050100e-01	5.06670300e-07	1.08561741e+06
1.28186818e+02	2023-03-16T20:17:05.320138	2.26948300e-04	-3.51088500e-08	-6.46413369e+03	-6.99926300e-01	-3.55113500e-07	1.97099322e+06	3	5.00060200e-01	4.20375600e-07	1.18955572e+06
1.29484078e+02	2023-03-16T20:17:06.617221	-6.58974500e-05	1.26672600e-09	-5.20218658e+04	-6.99938200e-01	-3.39122300e-07	2.06396984e+06	3	4.49695100e-01	2.19954000e-07	2.04449612e+06
1.30405098e+02	2023-03-16T20:17:07.538281	1.85110200e-04	1.03240500e-08	1.79299984e+04	-6.99932400e-01	-3.23509600e-07	2.16355991e+06	3	3.99943500e-01	2.20840900e-07	1.81100285e+06
1.31655623e+02	2023-03-16T20:17:08.788361	9.40560200e-06	-1.15431100e-08	-8.14823908e+02	-6.99944500e-01	-2.98119500e-07	2.34786554e+06	3	3.49362700e-01	4.20035800e-07	8.31745056e+05
1.32738047e+02	2023-03-16T20:17:09.871430	1.43275700e-04	-7.74178500e-09	-1.85068043e+04	-6.99937200e-01	-2.80985900e-07	2.49100471e+06	3	2.99620200e-01	2.59049100e-07	1.15661548e+06
1.33812775e+02	2023-03-16T20:17:10.945499	1.51641300e-04	1.27060500e-08	1.19345745e+04	-6.99913100e-01	-2.62370300e-07	2.66765369e+06	3	2.50034200e-01	8.23009100e-08	3.03804903e+06
1.34551182e+02	2023-03-16T20:17:11.684547	1.03880300e-06	1.39722700e-08	7.43474754e+01	-6.99903700e-01	-2.62267100e-07	2.66866755e+06	3	2.00295900e-01	3.96314000e-07	5.05396983e+05
1.35280276e+02	2023-03-16T20:17:12.413594	1.26541800e-04	4.04941000e-07	3.12494413e+02	-6.99909500e-01	-6.38619400e-07	1.09597281e+06	3	1.49917400e-01	3.27426500e-07	4.57865811e+05
1.36317842e+02	2023-03-16T20:17:13.450660	1.18179000e-04	2.58250200e-06	4.57614360e+01	-6.99912100e-01	-2.86555400e-06	2.44250187e+05	3	1.00231100e-01	2.26183400e-07	4.43140832e+05
