Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.10463794e+01	2023-03-16T19:07:50.761073	-6.58976700e-05	-9.83689900e-08	6.69902883e+02	-6.99919400e-01	-1.55808800e-05	4.49216861e+04	2	1.00016100e+00	1.56943400e-05	6.37274967e+04
5.12183640e+01	2023-03-16T19:07:50.933083	-1.56955900e-05	-1.09433100e-07	1.43426349e+02	-6.99900100e-01	-1.36385700e-05	5.13177041e+04	2	9.50105800e-01	1.37270100e-05	6.92143300e+04
5.17521001e+01	2023-03-16T19:07:51.466118	9.30716300e-05	-1.18782800e-07	-7.83544671e+02	-6.99903700e-01	-1.22213900e-05	5.72687477e+04	2	9.00146500e-01	1.24463900e-05	7.23218941e+04
5.22812622e+01	2023-03-16T19:07:51.995152	1.34911000e-04	-1.31980100e-07	-1.02220714e+03	-6.99956100e-01	-1.13137200e-05	6.18679002e+04	2	8.50087300e-01	1.13169600e-05	7.51162238e+04
5.32189067e+01	2023-03-16T19:07:52.933212	6.79747800e-05	-5.30598100e-08	-1.28109731e+03	-6.99904800e-01	-1.04950900e-05	6.66887849e+04	2	8.00088200e-01	1.03686200e-05	7.71643864e+04
5.39458932e+01	2023-03-16T19:07:53.660472	2.26951800e-04	-2.86551100e-08	-7.92011617e+03	-6.99906400e-01	-9.66704000e-06	7.24013142e+04	2	7.50176800e-01	9.91799900e-06	7.56379185e+04
5.46935276e+01	2023-03-16T19:07:54.408306	3.45066800e-05	-3.27768900e-08	-1.05277468e+03	-6.99911100e-01	-9.05123500e-06	7.73276906e+04	2	7.00131600e-01	9.17079300e-06	7.63436270e+04
5.54265420e+01	2023-03-16T19:07:55.140354	-1.24470000e-04	6.89960500e-09	-1.80401632e+04	-6.99923100e-01	-8.40618100e-06	8.32629109e+04	2	6.50164200e-01	8.61905500e-06	7.54333509e+04
5.59895883e+01	2023-03-16T19:07:55.703389	7.63410700e-05	8.31839900e-09	9.17737536e+03	-6.99950300e-01	-7.78441600e-06	8.99168672e+04	2	6.00126200e-01	8.06101800e-06	7.44479419e+04
5.65526370e+01	2023-03-16T19:07:56.266425	1.85121900e-04	4.90633600e-09	3.77311909e+04	-6.99903700e-01	-7.22855000e-06	9.68249096e+04	2	5.50137400e-01	7.15563900e-06	7.68816593e+04
5.70944057e+01	2023-03-16T19:07:56.808461	1.18181000e-04	-5.63250500e-09	-2.09819610e+04	-6.99861900e-01	-6.64656100e-06	1.05296844e+05	2	5.00169100e-01	6.63306100e-06	7.54054727e+04
5.76413346e+01	2023-03-16T19:07:57.355495	7.63432700e-05	6.76673500e-09	1.12821427e+04	-6.99917900e-01	-6.07820300e-06	1.15152110e+05	2	4.50152800e-01	6.33960800e-06	7.10064092e+04
5.81947007e+01	2023-03-16T19:07:57.908531	6.79768000e-05	4.22874700e-08	1.60749272e+03	-6.99895400e-01	-5.51733500e-06	1.26853889e+05	2	4.00077200e-01	5.64863700e-06	7.08272102e+04
5.87547478e+01	2023-03-16T19:07:58.468567	1.77729600e-05	2.31962100e-07	7.66201030e+01	-6.99924100e-01	-5.15559900e-06	1.35759996e+05	2	3.50099900e-01	4.86409400e-06	7.19763845e+04
5.94531960e+01	2023-03-16T19:07:59.167611	7.63432700e-05	1.26503600e-06	6.03486936e+01	-6.99913100e-01	-5.61408800e-06	1.24670846e+05	2	3.00107300e-01	4.47226600e-06	6.71040810e+04
6.01275280e+01	2023-03-16T19:07:59.841655	8.47072500e-05	5.22903000e-06	1.61994194e+01	-6.99896500e-01	-8.97079500e-06	7.80194509e+04	2	2.50084400e-01	3.72740300e-06	6.70934696e+04
6.09278728e+01	2023-03-16T19:08:00.641706	5.96071300e-05	1.55374700e-05	3.83634723e+00	-6.99933500e-01	-1.86334200e-05	3.75633405e+04	2	2.00054700e-01	2.94350800e-06	6.79647210e+04
6.15782883e+01	2023-03-16T19:08:01.292748	8.47088300e-05	3.65543100e-05	2.31734179e+00	-6.99925200e-01	-3.90992900e-05	1.79012253e+04	2	1.50096100e-01	2.42583400e-06	6.18740194e+04
6.22389717e+01	2023-03-16T19:08:01.952790	9.30775400e-05	7.24892300e-05	1.28401888e+00	-6.99903700e-01	-7.41443200e-05	9.43974805e+03	2	1.00096600e-01	2.02974200e-06	4.93149376e+04
