Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.98905804e+01	2023-03-16T19:35:42.964703	-3.24295200e-05	-3.20638400e-07	1.01140475e+02	-6.99903700e-01	-1.07424700e-06	6.51529583e+05	2	1.00018300e+00	1.38390300e-06	7.22726232e+05
6.00509433e+01	2023-03-16T19:35:43.125713	1.26545000e-04	-2.70229400e-07	-4.68287314e+02	-6.99912100e-01	-8.78650800e-07	7.96575955e+05	2	9.50175200e-01	1.27335200e-06	7.46199951e+05
6.07191474e+01	2023-03-16T19:35:43.793756	-8.26331000e-05	-3.85937900e-07	2.14109835e+02	-6.99916900e-01	-7.77952800e-07	8.99690701e+05	2	9.00132100e-01	1.01912900e-06	8.83236666e+05
6.13957571e+01	2023-03-16T19:35:44.470800	2.35318900e-04	-2.04758100e-07	-1.14925319e+03	-6.99943000e-01	-7.24204500e-07	9.66499103e+05	2	8.50070900e-01	8.37885400e-07	1.01454316e+06
6.20785036e+01	2023-03-16T19:35:45.152844	1.68381800e-04	-3.20667900e-07	-5.25097149e+02	-6.99912100e-01	-6.85209100e-07	1.02145768e+06	2	8.00121600e-01	1.11334500e-06	7.18664565e+05
6.27663262e+01	2023-03-16T19:35:45.840888	7.63432700e-05	-1.74315900e-07	-4.37959303e+02	-6.99914300e-01	-6.52866000e-07	1.07206425e+06	2	7.50141500e-01	8.49638700e-07	8.82894694e+05
6.34448378e+01	2023-03-16T19:35:46.518931	-4.91638200e-05	-2.73830300e-07	1.79541198e+02	-6.99900100e-01	-6.24989200e-07	1.11985951e+06	2	7.00179200e-01	7.43577100e-07	9.41636315e+05
6.41138972e+01	2023-03-16T19:35:47.187974	2.10212600e-04	-1.22821300e-07	-1.71153212e+03	-6.99925200e-01	-6.02266100e-07	1.16215274e+06	2	6.49892500e-01	8.91552100e-07	7.28945061e+05
6.47843441e+01	2023-03-16T19:35:47.859018	-5.75309800e-05	-1.68538800e-07	3.41351546e+02	-6.99912100e-01	-5.79012900e-07	1.20880226e+06	2	6.00172100e-01	7.21742100e-07	8.31560332e+05
6.54544682e+01	2023-03-16T19:35:48.529061	5.12384800e-05	-1.17899700e-07	-4.34593812e+02	-6.99905900e-01	-5.53697300e-07	1.26405872e+06	2	5.50166200e-01	8.33924300e-07	6.59731585e+05
6.61258466e+01	2023-03-16T19:35:49.200104	2.01850300e-04	-5.48415100e-08	-3.68061164e+03	-6.99901200e-01	-5.38812000e-07	1.29897107e+06	2	5.00231000e-01	7.08198800e-07	7.06342626e+05
6.75005315e+01	2023-03-16T19:35:50.575191	1.77726200e-05	-7.85806400e-08	-2.26170466e+02	-6.99934600e-01	-5.07777300e-07	1.37842830e+06	2	4.50065400e-01	7.12597400e-07	6.31584398e+05
6.83641459e+01	2023-03-16T19:35:51.438247	-4.91639400e-05	-2.52313400e-08	1.94852671e+03	-6.99958600e-01	-4.78355300e-07	1.46326089e+06	2	4.00097300e-01	7.39627300e-07	5.40944473e+05
6.90630433e+01	2023-03-16T19:35:52.137291	-3.24295200e-05	-2.18492100e-08	1.48424222e+03	-6.99896500e-01	-4.50198000e-07	1.55464151e+06	2	3.50024500e-01	3.00062000e-07	1.16650726e+06
6.97722142e+01	2023-03-16T19:35:52.846338	7.63432700e-05	1.16241200e-08	6.56766018e+03	-6.99916900e-01	-4.27415300e-07	1.63755696e+06	2	3.00498400e-01	5.39295200e-07	5.57205775e+05
7.04720690e+01	2023-03-16T19:35:53.546382	1.01443800e-04	-2.11169300e-08	-4.80390852e+03	-6.99912100e-01	-4.05610700e-07	1.72557603e+06	2	2.50067700e-01	5.34241100e-07	4.68080236e+05
7.10165994e+01	2023-03-16T19:35:54.091417	5.96077600e-05	1.07484800e-07	5.54569204e+02	-6.99895400e-01	-5.11067500e-07	1.36947742e+06	2	2.00128600e-01	5.62704500e-07	3.55654877e+05
7.17195147e+01	2023-03-16T19:35:54.794462	8.47104100e-05	1.08166500e-06	7.83148295e+01	-6.99841600e-01	-1.37742600e-06	5.08079272e+05	2	1.50176700e-01	3.55034700e-07	4.22991612e+05
7.25523787e+01	2023-03-16T19:35:55.626516	5.12390400e-05	4.65636200e-06	1.10040929e+01	-6.99899000e-01	-4.98014500e-06	1.40537876e+05	2	1.00115400e-01	3.47776000e-07	2.87873229e+05
