Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.43665643e+02	2023-03-16T16:50:00.385039	1.03925400e-06	-3.22596300e-07	-3.22153106e+00	-4.99874700e-01	-3.12923800e-07	1.59743267e+06	3	1.00005200e+00	5.55576700e-07	1.80002509e+06
3.43839404e+02	2023-03-16T16:50:00.559051	2.10212600e-04	-2.08494000e-07	-1.00824292e+03	-4.99948300e-01	-2.88965100e-07	1.73013385e+06	3	9.50317400e-01	4.38219800e-07	2.16858618e+06
3.44558304e+02	2023-03-16T16:50:01.278097	1.60013400e-04	-1.74226300e-07	-9.18422764e+02	-5.00005200e-01	-2.64878000e-07	1.88768112e+06	3	8.99841600e-01	4.15629200e-07	2.16501054e+06
3.45277132e+02	2023-03-16T16:50:01.997143	9.30792300e-05	-1.41909000e-07	-6.55907871e+02	-4.99961700e-01	-2.39951600e-07	2.08359394e+06	3	8.50199500e-01	4.12504400e-07	2.06106771e+06
3.45998876e+02	2023-03-16T16:50:02.718190	5.96096200e-05	-1.15006500e-07	-5.18315226e+02	-4.99966700e-01	-2.15263200e-07	2.32258324e+06	3	8.00035000e-01	4.22083000e-07	1.89544473e+06
3.47027003e+02	2023-03-16T16:50:03.746255	5.96077600e-05	-1.72891200e-07	-3.44770353e+02	-4.99929900e-01	-1.93891100e-07	2.57840561e+06	3	7.49753400e-01	4.17399700e-07	1.79624806e+06
3.47745712e+02	2023-03-16T16:50:04.465302	1.01446500e-04	-1.37485400e-07	-7.37871076e+02	-4.99963300e-01	-1.75056900e-07	2.85600453e+06	3	7.00303600e-01	4.39487700e-07	1.59345438e+06
3.48464591e+02	2023-03-16T16:50:05.184347	6.79747800e-05	-9.35323600e-08	-7.26751469e+02	-4.99976700e-01	-1.61651300e-07	3.09293337e+06	3	6.49800100e-01	8.84206800e-08	7.34896067e+06
3.49183154e+02	2023-03-16T16:50:05.902393	1.76747500e-04	-1.03888700e-07	-1.70131593e+03	-5.00030300e-01	-1.44869000e-07	3.45160317e+06	3	5.99544400e-01	1.54619200e-07	3.87755466e+06
3.50610745e+02	2023-03-16T16:50:07.330485	6.79761400e-05	-7.50656100e-08	-9.05556353e+02	-4.99980100e-01	-1.28130200e-07	3.90212534e+06	3	5.48974700e-01	2.81359000e-07	1.95115386e+06
3.51670585e+02	2023-03-16T16:50:08.390553	1.01444700e-04	-7.08254900e-08	-1.43231907e+03	-4.99986700e-01	-1.15416100e-07	4.33203600e+06	3	4.98993000e-01	1.17655700e-07	4.24112899e+06
3.52386504e+02	2023-03-16T16:50:09.106599	9.30792300e-05	-4.63575000e-08	-2.00785698e+03	-4.99918300e-01	-9.83866600e-08	5.08115938e+06	3	4.50355900e-01	2.54910100e-07	1.76672443e+06
3.53449019e+02	2023-03-16T16:50:10.168668	5.12401700e-05	-5.83748300e-08	-8.77778488e+02	-4.99916600e-01	-8.58805500e-08	5.82106891e+06	3	3.99873500e-01	1.25595200e-07	3.18382789e+06
3.54167735e+02	2023-03-16T16:50:10.887713	7.63440100e-05	-4.62756500e-08	-1.64976635e+03	-4.99923300e-01	-7.39080900e-08	6.76412149e+06	3	3.50575300e-01	2.24411100e-07	1.56220125e+06
3.55230334e+02	2023-03-16T16:50:11.949781	3.45075800e-05	-5.35441400e-08	-6.44469778e+02	-4.99966700e-01	-6.45631200e-08	7.74384354e+06	3	2.98931900e-01	1.38471600e-07	2.15879574e+06
3.55948981e+02	2023-03-16T16:50:12.668827	7.63432700e-05	-4.85295000e-08	-1.57313119e+03	-4.99939900e-01	-5.33655000e-08	9.36822292e+06	3	2.50183100e-01	2.19371100e-07	1.14045606e+06
3.57011521e+02	2023-03-16T16:50:13.730896	-3.24295200e-05	-5.98642300e-08	5.41717817e+02	-4.99951600e-01	-4.46690700e-08	1.11923441e+07	3	2.00092100e-01	7.89633900e-08	2.53398569e+06
3.57730268e+02	2023-03-16T16:50:14.449942	6.79761400e-05	-3.74864100e-09	-1.81335423e+04	-4.99963300e-01	-3.77723600e-08	1.32362209e+07	3	1.49966600e-01	-2.21987700e-07	-6.75562655e+05
3.59167707e+02	2023-03-16T16:50:15.887034	1.68383100e-04	8.29826500e-09	2.02913621e+04	-4.99946600e-01	-2.97627500e-08	1.67977287e+07	3	9.95766800e-02	-8.78785600e-08	-1.13311688e+06
