Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.68514649e+02	2023-03-28T15:41:13.682978	1.09814700e-04	-2.30420300e-07	-4.76584311e+02	-4.99963300e-01	-2.99205700e-07	1.67096850e+06	1	1.00012600e+00	5.21202400e-07	1.91888218e+06
1.69216198e+02	2023-03-28T15:41:14.384023	5.96077600e-05	-1.88731300e-07	-3.15833993e+02	-4.99988400e-01	-2.73399400e-07	1.82878382e+06	1	9.50089100e-01	4.72618500e-07	2.01026642e+06
1.69776222e+02	2023-03-28T15:41:14.944058	8.47112000e-05	-1.61034500e-07	-5.26043798e+02	-4.99956700e-01	-2.56169500e-07	1.95166364e+06	1	9.00086500e-01	4.48230700e-07	2.00808758e+06
1.70336795e+02	2023-03-28T15:41:15.505094	7.63440100e-05	-1.38280600e-07	-5.52094871e+02	-4.99955000e-01	-2.39526400e-07	2.08726470e+06	1	8.50074000e-01	4.39235800e-07	1.93534771e+06
1.71056431e+02	2023-03-28T15:41:16.225140	6.79761400e-05	-1.18690300e-07	-5.72718579e+02	-4.99955000e-01	-2.26101500e-07	2.21119718e+06	1	8.00037400e-01	3.32815700e-07	2.40384513e+06
1.71776002e+02	2023-03-28T15:41:16.944186	8.47080500e-05	-1.00428400e-07	-8.43467087e+02	-4.99941600e-01	-2.11912200e-07	2.35919216e+06	1	7.50067900e-01	2.77323400e-07	2.70466863e+06
1.72493349e+02	2023-03-28T15:41:17.661230	5.12401700e-05	-8.20951800e-08	-6.24155645e+02	-4.99966700e-01	-1.95986600e-07	2.55102492e+06	1	7.00117000e-01	2.40516900e-07	2.91088485e+06
1.73213296e+02	2023-03-28T15:41:18.381276	6.79741100e-05	-6.55627700e-08	-1.03677910e+03	-4.99955000e-01	-1.78593400e-07	2.79940356e+06	1	6.50060200e-01	2.24934300e-07	2.89000032e+06
1.73930875e+02	2023-03-28T15:41:19.099321	1.09816600e-04	-5.19568400e-08	-2.11361199e+03	-4.99973400e-01	-1.62834900e-07	3.07043146e+06	1	6.00260000e-01	2.11228000e-07	2.84176340e+06
1.74651686e+02	2023-03-28T15:41:19.820367	6.79734300e-05	-4.00403400e-08	-1.69762370e+03	-4.99934900e-01	-1.47136500e-07	3.39776262e+06	1	5.50182900e-01	2.08729900e-07	2.63586051e+06
1.75368359e+02	2023-03-28T15:41:20.536412	1.01444700e-04	-3.31421800e-08	-3.06089400e+03	-4.99976700e-01	-1.32152400e-07	3.78333424e+06	1	5.00000000e-01	1.35948600e-07	3.67786060e+06
1.76275342e+02	2023-03-28T15:41:21.443470	9.30809300e-05	-2.67613400e-08	-3.47818644e+03	-4.99936600e-01	-1.19986500e-07	4.16660708e+06	1	4.50205300e-01	1.75327000e-07	2.56780359e+06
1.77024761e+02	2023-03-28T15:41:22.193518	5.96077600e-05	-2.20656800e-08	-2.70137879e+03	-4.99985100e-01	-1.05142800e-07	4.75529566e+06	1	4.00082700e-01	1.07138300e-07	3.73426403e+06
1.77768659e+02	2023-03-28T15:41:22.936566	9.30775400e-05	-1.43623800e-08	-6.48064875e+03	-4.99928300e-01	-9.30531700e-08	5.37250155e+06	1	3.50257500e-01	9.90932400e-08	3.53462557e+06
1.78494874e+02	2023-03-28T15:41:23.663611	5.96090000e-05	-6.72570100e-09	-8.86286797e+03	-4.99980100e-01	-7.77173400e-08	6.43331462e+06	1	3.00103000e-01	1.00706600e-07	2.97997351e+06
1.79243437e+02	2023-03-28T15:41:24.411659	6.79741100e-05	-5.78510600e-10	-1.17498469e+05	-4.99945000e-01	-7.02392900e-08	7.11773994e+06	1	2.50129500e-01	7.73189900e-08	3.23503320e+06
1.79994142e+02	2023-03-28T15:41:25.162706	1.01444700e-04	6.09697500e-09	1.66385298e+04	-4.99958300e-01	-5.96131900e-08	8.38670603e+06	1	2.00114600e-01	8.51712700e-08	2.34955520e+06
1.80728509e+02	2023-03-28T15:41:25.896754	9.30758600e-05	3.31723500e-08	2.80582654e+03	-4.99975100e-01	-5.29819400e-08	9.43670806e+06	1	1.49959200e-01	6.45392200e-08	2.32353598e+06
1.82040432e+02	2023-03-28T15:41:27.208836	9.30767000e-05	1.17309200e-07	7.93430524e+02	-4.99973500e-01	-1.09852900e-07	4.55129997e+06	1	1.00116000e-01	1.88705600e-08	5.30540694e+06
