Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.51064802e+02	2023-04-06T16:32:17.736262	1.01446500e-04	-1.61042900e-07	-6.29934632e+02	-9.98815700e-02	-1.66415400e-07	6.00194273e+05	1	9.99731000e-01	1.99619000e-07	5.00819561e+06
5.51922062e+02	2023-04-06T16:32:18.593316	6.79754600e-05	-1.42530200e-07	-4.76919698e+02	-9.99889600e-02	-1.55471800e-07	6.43132452e+05	1	9.49714700e-01	1.12326600e-07	8.45494033e+06
5.52641183e+02	2023-04-06T16:32:19.312362	4.28747200e-05	-1.27220400e-07	-3.37011360e+02	-9.99484900e-02	-1.46459500e-07	6.82430911e+05	1	8.99908600e-01	7.69163800e-08	1.16998304e+07
5.53359522e+02	2023-04-06T16:32:20.031407	8.47096200e-05	-1.15712300e-07	-7.32071007e+02	-9.99324300e-02	-1.39619300e-07	7.15749399e+05	1	8.49750900e-01	1.12263000e-07	7.56928730e+06
5.54078784e+02	2023-04-06T16:32:20.750452	8.47088300e-05	-1.06506800e-07	-7.95337293e+02	-9.98982900e-02	-1.34693400e-07	7.41671752e+05	1	8.00026600e-01	1.31263700e-07	6.09480458e+06
5.55140659e+02	2023-04-06T16:32:21.812519	5.96071300e-05	-1.00019200e-07	-5.95956876e+02	-9.99337800e-02	-1.28622200e-07	7.76955922e+05	1	7.50046200e-01	2.30265300e-07	3.25731319e+06
5.56203744e+02	2023-04-06T16:32:22.875587	1.01444700e-04	-9.25354800e-08	-1.09627896e+03	-9.99170500e-02	-1.23329000e-07	8.10166709e+05	1	6.99785000e-01	1.34358800e-07	5.20833023e+06
5.56922020e+02	2023-04-06T16:32:23.593631	6.79754600e-05	-7.01180000e-08	-9.69443795e+02	-9.99240600e-02	-1.14393100e-07	8.73514749e+05	1	6.49512500e-01	2.20060300e-07	2.95152056e+06
5.57984869e+02	2023-04-06T16:32:24.656699	6.79754600e-05	-5.16217100e-08	-1.31679985e+03	-9.99310800e-02	-1.05202200e-07	9.49895344e+05	1	5.99791300e-01	8.13667700e-08	7.37145274e+06
5.58703238e+02	2023-04-06T16:32:25.374744	6.79761400e-05	-2.91036800e-08	-2.33565446e+03	-9.99157000e-02	-9.57758700e-08	1.04322414e+06	1	5.50480300e-01	2.81388200e-07	1.95630201e+06
5.59609480e+02	2023-04-06T16:32:26.280801	5.96077600e-05	-9.00131000e-09	-6.62212056e+03	-9.99484900e-02	-6.91877500e-08	1.44459807e+06	1	4.99529900e-01	7.67482000e-08	6.50868555e+06
5.60343996e+02	2023-04-06T16:32:27.015848	7.63410700e-05	4.96991300e-10	1.53606451e+05	-9.99568600e-02	-4.55402000e-08	2.19491482e+06	1	4.50063100e-01	-1.00647100e-07	-4.47169466e+06
5.61081591e+02	2023-04-06T16:32:27.752895	5.12396000e-05	6.41972400e-09	7.98158924e+03	-9.99575300e-02	-2.60474300e-08	3.83751986e+06	1	4.00489800e-01	-5.73968400e-08	-6.97755835e+06
5.62344144e+02	2023-04-06T16:32:29.015974	9.30783900e-05	3.63653600e-09	2.55953440e+04	-9.99150200e-02	-4.05702400e-09	2.46276630e+07	1	3.50135700e-01	6.44814400e-08	5.43002296e+06
5.63265866e+02	2023-04-06T16:32:29.937544	7.63432700e-05	4.16397100e-09	1.83342463e+04	-9.99143500e-02	8.46001100e-09	-1.18101915e+07	1	3.00479700e-01	-7.07702000e-08	-4.24585065e+06
5.64189149e+02	2023-04-06T16:32:30.861153	6.79761400e-05	5.88974400e-09	1.15414422e+04	-9.99435000e-02	1.36150000e-08	-7.34069041e+06	1	2.49617600e-01	2.05734600e-08	1.21329908e+07
5.65109548e+02	2023-04-06T16:32:31.781210	7.63418000e-05	1.01911300e-08	7.49100443e+03	-9.99157000e-02	1.45466500e-08	-6.86863986e+06	1	2.00658300e-01	-1.11891100e-07	-1.79333566e+06
5.66047127e+02	2023-04-06T16:32:32.718270	7.63425300e-05	2.82596700e-08	2.70146573e+03	-9.99213600e-02	9.44676500e-09	-1.05773098e+07	1	1.50170300e-01	-4.90386000e-08	-3.06228767e+06
5.67172130e+02	2023-04-06T16:32:33.843341	6.79727500e-05	1.62002900e-07	4.19577366e+02	-9.99086800e-02	-1.15263400e-06	8.66785814e+04	1	9.98225900e-02	-1.92027600e-07	-5.19834597e+05
