Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.19154092e+02	2023-04-11T11:38:48.289967	5.12412900e-05	-6.45587800e-07	-7.93715278e+01	-9.99073300e-02	-6.95128200e-07	1.43725042e+05	3	1.00022400e+00	1.39641800e-06	7.16278364e+05
6.19279882e+02	2023-04-11T11:38:48.415974	7.63432700e-05	-5.46685400e-07	-1.39647538e+02	-9.99016700e-02	-6.25286600e-07	1.59769408e+05	3	9.50156500e-01	1.02130200e-06	9.30338431e+05
6.19936623e+02	2023-04-11T11:38:49.073016	8.47119800e-05	-4.41946400e-07	-1.91679308e+02	-9.99407900e-02	-5.65721600e-07	1.76660729e+05	3	9.00237600e-01	9.27555200e-07	9.70548815e+05
6.20594170e+02	2023-04-11T11:38:49.730058	6.79761400e-05	-3.49975300e-07	-1.94231250e+02	-9.99010000e-02	-5.15103900e-07	1.93943397e+05	3	8.50115400e-01	8.39003700e-07	1.01324392e+06
6.21422894e+02	2023-04-11T11:38:50.559109	5.96077600e-05	-2.64595800e-07	-2.25278557e+02	-9.99170500e-02	-4.54398300e-07	2.19888697e+05	3	8.00171200e-01	8.54358800e-07	9.36575125e+05
6.22113240e+02	2023-04-11T11:38:51.249154	5.96083700e-05	-1.79158600e-07	-3.32712859e+02	-9.99240600e-02	-3.90532000e-07	2.55866510e+05	3	7.50061200e-01	5.98763200e-07	1.25268420e+06
6.22952185e+02	2023-04-11T11:38:52.088206	5.96071300e-05	-1.04864400e-07	-5.68421028e+02	-9.99261000e-02	-3.22304900e-07	3.10035932e+05	3	7.00382600e-01	4.59696600e-07	1.52357577e+06
6.23671204e+02	2023-04-11T11:38:52.807251	9.30783900e-05	-5.12703100e-08	-1.81544426e+03	-9.99247400e-02	-2.47317300e-07	4.04034574e+05	3	6.50134700e-01	3.71706500e-07	1.74905389e+06
6.24394065e+02	2023-04-11T11:38:53.530298	5.12407300e-05	-2.74288400e-08	-1.86813332e+03	-9.99150200e-02	-1.70152400e-07	5.87208996e+05	3	6.00016900e-01	1.10200700e-07	5.44476487e+06
6.25297495e+02	2023-04-11T11:38:54.434354	1.09810900e-04	-1.11556200e-08	-9.84354971e+03	-9.99016700e-02	-1.01858200e-07	9.80791630e+05	3	5.50199700e-01	1.10968200e-07	4.95817450e+06
6.26030544e+02	2023-04-11T11:38:55.167401	6.79747800e-05	-2.25842900e-09	-3.00982586e+04	-9.99582100e-02	-4.79141800e-08	2.08619265e+06	3	5.00212500e-01	2.00295300e-07	2.49737513e+06
6.26765014e+02	2023-04-11T11:38:55.901447	5.96065100e-05	3.49139700e-09	1.70723954e+04	-9.99394500e-02	-1.89187600e-08	5.28255816e+06	3	4.49555100e-01	1.10708400e-07	4.06071355e+06
6.27874470e+02	2023-04-11T11:38:57.010517	7.63418000e-05	7.41921500e-09	1.02897409e+04	-9.98926200e-02	-3.29319100e-09	3.03330782e+07	3	4.00450700e-01	-2.60793300e-08	-1.53550992e+07
6.28797577e+02	2023-04-11T11:38:57.933575	5.96065100e-05	1.10259300e-08	5.40603015e+03	-9.99177200e-02	5.20348000e-09	-1.92020955e+07	3	3.50505000e-01	-2.01723200e-08	-1.73755423e+07
6.29718043e+02	2023-04-11T11:38:58.854633	8.47104100e-05	2.92286200e-08	2.89820080e+03	-9.99073300e-02	1.22274900e-08	-8.17071451e+06	3	3.00180300e-01	-4.39259500e-08	-6.83378049e+06
6.30452441e+02	2023-04-11T11:38:59.588680	1.09810900e-04	2.68477000e-08	4.09014180e+03	-9.99575300e-02	2.18745500e-08	-4.56958109e+06	3	2.50156300e-01	1.06762100e-07	2.34311895e+06
6.31530686e+02	2023-04-11T11:39:00.666747	9.30750000e-05	6.71487200e-08	1.38610237e+03	-9.99331100e-02	-1.12698300e-08	8.86731299e+06	3	1.99926500e-01	-3.48512800e-08	-5.73656118e+06
6.32453182e+02	2023-04-11T11:39:01.589806	1.43288600e-04	2.37609700e-07	6.03041879e+02	-9.99561800e-02	-2.49686900e-07	4.00326088e+05	3	1.50120100e-01	-9.67762700e-08	-1.55120775e+06
6.33718793e+02	2023-04-11T11:39:02.854886	1.01442900e-04	1.14266900e-06	8.87771524e+01	-9.99170500e-02	-1.10464800e-06	9.04514832e+04	3	1.00046400e-01	-9.18855300e-08	-1.08881562e+06
