Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.66129414e+02	2023-04-12T13:52:51.506534	1.77729600e-05	-5.93778300e-09	-2.99319797e+03	-2.99953600e-01	-4.09647200e-08	7.32224216e+06	3	1.50015300e+00	6.00753100e-08	2.49712070e+07
1.66372836e+02	2023-04-12T13:52:51.749550	1.09808000e-04	-2.30975900e-09	-4.75408906e+04	-2.99990900e-01	-3.11361400e-08	9.63481344e+06	3	1.45029500e+00	2.08230900e-08	6.96484047e+07
1.67492521e+02	2023-04-12T13:52:52.869620	5.96077600e-05	-2.27104700e-09	-2.62468192e+04	-2.99970100e-01	-1.54198900e-08	1.94534527e+07	3	1.40034500e+00	1.64373100e-08	8.51930760e+07
1.68412810e+02	2023-04-12T13:52:53.789678	5.12429800e-05	-1.27461900e-09	-4.02025860e+04	-2.99999500e-01	-1.09271100e-08	2.74546060e+07	3	1.35039800e+00	1.55898000e-08	8.66206109e+07
1.69334668e+02	2023-04-12T13:52:54.711737	3.45089300e-05	4.79748900e-10	7.19312332e+04	-3.00016200e-01	-8.99946300e-09	3.33371224e+07	3	1.30020700e+00	1.93684700e-08	6.71300831e+07
1.70257438e+02	2023-04-12T13:52:55.634795	3.45062200e-05	2.21060200e-09	1.56094222e+04	-2.99880100e-01	-9.05100600e-09	3.31322397e+07	3	1.25013500e+00	1.74820600e-08	7.15095933e+07
1.71178409e+02	2023-04-12T13:52:56.555854	1.01442900e-04	1.80726200e-09	5.61307104e+04	-2.99901400e-01	-7.60213600e-09	3.94496231e+07	3	1.20006200e+00	1.22390800e-08	9.80516509e+07
1.72100327e+02	2023-04-12T13:52:57.476912	8.47080500e-05	1.08501100e-09	7.80711440e+04	-2.99928800e-01	-4.79095600e-09	6.26031214e+07	3	1.15008200e+00	2.79591700e-09	4.11343398e+08
1.73044051e+02	2023-04-12T13:52:58.420973	1.09810900e-04	2.38098600e-09	4.61199268e+04	-2.99884200e-01	-5.71867200e-09	5.24394825e+07	3	1.09991100e+00	8.47436400e-09	1.29792749e+08
1.73959643e+02	2023-04-12T13:52:59.337030	9.30783900e-05	1.89387400e-09	4.91470869e+04	-2.99901100e-01	-3.29221900e-09	9.10939096e+07	3	1.05022300e+00	-7.15149800e-09	-1.46853568e+08
1.74725272e+02	2023-04-12T13:53:00.102079	5.12401700e-05	1.14978600e-09	4.45649625e+04	-2.99988800e-01	7.76784500e-10	-3.86193082e+08	3	1.00025500e+00	-4.66974100e-09	-2.14199246e+08
1.75647401e+02	2023-04-12T13:53:01.024137	5.96096200e-05	3.15662400e-09	1.88839786e+04	-2.99976400e-01	-8.18174800e-10	3.66640967e+08	3	9.50225800e-01	1.07374800e-08	8.84961648e+07
1.76412797e+02	2023-04-12T13:53:01.790186	7.63425300e-05	6.78860800e-09	1.12456825e+04	-2.99924500e-01	-5.87097000e-09	5.10860216e+07	3	9.00037700e-01	8.98791200e-09	1.00138686e+08
1.77334806e+02	2023-04-12T13:53:02.712245	7.63418000e-05	7.15043600e-09	1.06765238e+04	-2.99900800e-01	-5.14388400e-09	5.83024034e+07	3	8.49842400e-01	4.28291000e-09	1.98426397e+08
1.78257116e+02	2023-04-12T13:53:03.634304	7.63432700e-05	8.02733200e-09	9.51041641e+03	-2.99901400e-01	-4.12579500e-09	7.26893605e+07	3	8.00240600e-01	-9.68400700e-09	-8.26352769e+07
1.79037787e+02	2023-04-12T13:53:04.415353	7.63418000e-05	1.25926500e-08	6.06240942e+03	-2.99888500e-01	-8.40756600e-09	3.56688844e+07	3	7.50089600e-01	-9.39442200e-09	-7.98441458e+07
1.79959936e+02	2023-04-12T13:53:05.337412	9.30775400e-05	3.12490900e-08	2.97856802e+03	-2.99986800e-01	-2.74493400e-08	1.09287436e+07	3	7.00203200e-01	-8.76008100e-09	-7.99311331e+07
1.80881687e+02	2023-04-12T13:53:06.258470	7.63418000e-05	9.32905700e-08	8.18322795e+02	-2.99943000e-01	-1.02302900e-07	2.93191102e+06	3	6.50135000e-01	-7.64893100e-09	-8.49968447e+07
1.81959777e+02	2023-04-12T13:53:07.336538	7.63432700e-05	2.01200500e-07	3.79438769e+02	-2.99949300e-01	-2.00129400e-07	1.49877679e+06	3	6.00167400e-01	7.05350400e-09	8.50878372e+07
