Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.70199858e+02	2023-04-12T13:23:14.914514	1.85111700e-04	1.67231300e-08	1.10692018e+04	-1.00024500e-01	-7.04950300e-09	1.41888726e+07	1	9.99941700e-01	2.49648200e-08	4.00540320e+07
5.71121629e+02	2023-04-12T13:23:15.836573	1.34914400e-04	-3.51691000e-09	-3.83616300e+04	-9.98842600e-02	-5.23296100e-09	1.90875223e+07	1	9.49976400e-01	1.89534400e-08	5.01215822e+07
5.72059615e+02	2023-04-12T13:23:16.774632	9.30775400e-05	-1.18336400e-09	-7.86550377e+04	-9.99059800e-02	-5.65949500e-09	1.76528082e+07	1	8.99986700e-01	1.39956300e-08	6.43048366e+07
5.72981060e+02	2023-04-12T13:23:17.695691	1.51647500e-04	-1.49883200e-09	-1.01177117e+05	-9.99157000e-02	-3.82600700e-09	2.61148764e+07	1	8.50224500e-01	-9.08818300e-09	-9.35527487e+07
5.73747168e+02	2023-04-12T13:23:18.461740	9.30750000e-05	-3.43692500e-09	-2.70808935e+04	-9.99157000e-02	-5.24520500e-11	1.90489600e+09	1	8.00319400e-01	-4.84773200e-09	-1.65091511e+08
5.74689014e+02	2023-04-12T13:23:19.403799	1.18173900e-04	-2.11671300e-09	-5.58289669e+04	-9.98899300e-02	-7.93801300e-10	1.25837448e+08	1	7.50246900e-01	-1.03004300e-08	-7.28364641e+07
5.75606041e+02	2023-04-12T13:23:20.320857	1.09809000e-04	-1.21448100e-09	-9.04164001e+04	-9.99735800e-02	7.23790600e-10	-1.38125005e+08	1	7.00341700e-01	-5.43886800e-09	-1.28766078e+08
5.76527866e+02	2023-04-12T13:23:21.242916	4.28716700e-05	8.41488800e-10	5.09474042e+04	-9.99407900e-02	1.42244200e-10	-7.02600106e+08	1	6.50051400e-01	1.80844000e-08	3.59454226e+07
5.77293531e+02	2023-04-12T13:23:22.007964	4.28752200e-05	5.45987100e-09	7.85278993e+03	-9.99387700e-02	-3.09686300e-09	3.22709690e+07	1	5.99975300e-01	1.39894100e-08	4.28878201e+07
5.78215352e+02	2023-04-12T13:23:22.930023	7.63418000e-05	6.55155400e-09	1.16524721e+04	-9.98738700e-02	-3.68556100e-09	2.70986886e+07	1	5.49935700e-01	5.50317100e-09	9.99306945e+07
5.79140617e+02	2023-04-12T13:23:23.855083	1.09813700e-04	8.74754800e-09	1.25536550e+04	-9.98982900e-02	-5.99241700e-09	1.66707841e+07	1	4.99821100e-01	-1.35304200e-08	-3.69405458e+07
5.80059537e+02	2023-04-12T13:23:24.774140	9.30800700e-05	1.83140000e-08	5.08245441e+03	-9.98919600e-02	-1.46160000e-08	6.83442529e+06	1	4.50190900e-01	-1.58243900e-08	-2.84491788e+07
5.81002318e+02	2023-04-12T13:23:25.717200	5.12407300e-05	4.16986000e-08	1.22883574e+03	-9.99170500e-02	-3.73792800e-08	2.67305978e+06	1	4.00174700e-01	-1.30085900e-08	-3.07623424e+07
5.81934248e+02	2023-04-12T13:23:26.649258	5.12412900e-05	9.89867200e-08	5.17658227e+02	-9.98912800e-02	-1.05275700e-07	9.48854104e+05	1	3.50028200e-01	7.20203900e-09	4.86012642e+07
5.83012695e+02	2023-04-12T13:23:27.727328	7.63432700e-05	1.93683000e-07	3.94166086e+02	-9.99157000e-02	-1.93302700e-07	5.16887245e+05	1	3.00107300e-01	-1.39431500e-08	-2.15236371e+07
5.83934772e+02	2023-04-12T13:23:28.649386	8.47080500e-05	3.93305300e-07	2.15374799e+02	-9.98933000e-02	-3.96389100e-07	2.52008191e+05	1	2.50148000e-01	-1.63985700e-08	-1.52542569e+07
5.84840592e+02	2023-04-12T13:23:29.555443	5.12412900e-05	8.41509300e-07	6.08921256e+01	-9.98779300e-02	-9.06772300e-07	1.10146649e+05	1	1.99952900e-01	2.85866800e-09	6.99461777e+07
5.86012368e+02	2023-04-12T13:23:30.727517	5.96065100e-05	1.49579800e-06	3.98493045e+01	-9.99394500e-02	-1.52897300e-06	6.53637769e+04	1	1.49953200e-01	2.00586100e-09	7.47575231e+07
5.86871843e+02	2023-04-12T13:23:31.586573	1.01445600e-04	2.46307300e-06	4.11865990e+01	-9.99227100e-02	-2.51747400e-06	3.96916552e+04	1	9.99634600e-02	1.42767800e-09	7.00182114e+07
