Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.11234689e+02	2023-04-11T12:38:45.879213	9.30783900e-05	-5.84333600e-07	-1.59289813e+02	-9.99331100e-02	-7.57085700e-07	1.31997091e+05	3	1.00018300e+00	1.15825300e-06	8.63527226e+05
6.11391262e+02	2023-04-11T12:38:46.035223	7.63425300e-05	-4.66621000e-07	-1.63607146e+02	-9.99310800e-02	-6.70545800e-07	1.49029462e+05	3	9.50141700e-01	1.08149100e-06	8.78547949e+05
6.12052667e+02	2023-04-11T12:38:46.696270	5.96071300e-05	-3.80115100e-07	-1.56813370e+02	-9.99107100e-02	-5.88669600e-07	1.69722897e+05	3	9.00088900e-01	9.40600100e-07	9.56930474e+05
6.12876759e+02	2023-04-11T12:38:47.521326	6.79761400e-05	-3.06891600e-07	-2.21498861e+02	-9.99080100e-02	-5.12235400e-07	1.95043158e+05	3	8.50169100e-01	9.89873200e-07	8.58866671e+05
6.13563828e+02	2023-04-11T12:38:48.208374	4.28737000e-05	-2.41253200e-07	-1.77712461e+02	-9.99407900e-02	-4.42883900e-07	2.25659117e+05	3	8.00048800e-01	6.04343300e-07	1.32383167e+06
6.14241085e+02	2023-04-11T12:38:48.885422	5.12407300e-05	-1.94144300e-07	-2.63931158e+02	-9.99421500e-02	-3.71619400e-07	2.68936848e+05	3	7.49994300e-01	6.05469700e-07	1.23869832e+06
6.15079255e+02	2023-04-11T12:38:49.723481	7.63447300e-05	-1.48815900e-07	-5.13014604e+02	-9.98933000e-02	-2.99417100e-07	3.33625902e+05	3	7.00168700e-01	4.81067000e-07	1.45544945e+06
6.15642073e+02	2023-04-11T12:38:50.286519	6.79754600e-05	-1.02989300e-07	-6.60024488e+02	-9.99247400e-02	-2.36251000e-07	4.22960072e+05	3	6.50391200e-01	4.42534500e-07	1.46969603e+06
6.16360776e+02	2023-04-11T12:38:51.004569	6.79754600e-05	-6.30416100e-08	-1.07826339e+03	-9.99478100e-02	-1.81009000e-07	5.52170389e+05	3	6.00338700e-01	3.54312500e-07	1.69437629e+06
6.17080848e+02	2023-04-11T12:38:51.724620	6.79781600e-05	-3.80115900e-08	-1.78835350e+03	-9.99826300e-02	-1.43214700e-07	6.98131058e+05	3	5.50255500e-01	2.81990400e-07	1.95132707e+06
6.18001368e+02	2023-04-11T12:38:52.645683	8.47127700e-05	-1.35995100e-08	-6.22910458e+03	-9.99163700e-02	-9.74420000e-08	1.02539326e+06	3	5.00237700e-01	1.52681000e-07	3.27635855e+06
6.18735850e+02	2023-04-11T12:38:53.379734	6.79761400e-05	-4.75334400e-09	-1.43006986e+04	-9.99240600e-02	-6.33380500e-08	1.57763082e+06	3	4.49971100e-01	-4.73627900e-08	-9.50051929e+06
6.19813999e+02	2023-04-11T12:38:54.457809	9.30783900e-05	-1.67588800e-10	-5.55397437e+05	-9.99645400e-02	-4.23405000e-08	2.36096740e+06	3	3.99948500e-01	-7.35943600e-08	-5.43449933e+06
6.20548224e+02	2023-04-11T12:38:55.192861	8.47088300e-05	7.39491900e-09	1.14550044e+04	-9.99742500e-02	-3.42896900e-08	2.91557754e+06	3	3.50380600e-01	-7.92135800e-08	-4.42323905e+06
6.21814741e+02	2023-04-11T12:38:56.458949	9.30783900e-05	1.13322100e-08	8.21361323e+03	-9.99498300e-02	-2.40217800e-08	4.16080032e+06	3	2.99640900e-01	-8.06409600e-08	-3.71574074e+06
6.22548403e+02	2023-04-11T12:38:57.193000	7.63410700e-05	2.50230400e-08	3.05083115e+03	-9.99010000e-02	-1.83686600e-08	5.43866564e+06	3	2.50541100e-01	4.00177800e-08	6.26074460e+06
6.23298734e+02	2023-04-11T12:38:57.943053	8.47080500e-05	2.56718100e-08	3.29965242e+03	-9.99170500e-02	-1.93516300e-08	5.16323690e+06	3	2.00652600e-01	-2.22027400e-08	-9.03728999e+06
6.24630349e+02	2023-04-11T12:38:59.274145	5.12401700e-05	5.36348100e-08	9.55352876e+02	-9.99548200e-02	-3.96038700e-08	2.52386497e+06	3	1.50098100e-01	5.95514800e-10	2.52047640e+08
6.25704650e+02	2023-04-11T12:39:00.349220	6.79761400e-05	2.44408500e-07	2.78125106e+02	-9.98849400e-02	-3.16113800e-07	3.15977790e+05	3	1.00036700e-01	-5.28996900e-08	-1.89106401e+06
