Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.46695147e+02	2023-04-13T14:05:42.364250	9.30767000e-05	-2.45279100e-08	-3.79472609e+03	-9.99254200e-02	-4.52953600e-08	2.20608513e+06	1	1.50021000e+00	7.89262400e-08	1.90077470e+07
2.47434697e+02	2023-04-13T14:05:43.104297	9.30792300e-05	-7.87569500e-09	-1.18185417e+04	-9.97972300e-02	-4.63867600e-08	2.15141627e+06	1	1.45025900e+00	5.18613400e-08	2.79641637e+07
2.48352526e+02	2023-04-13T14:05:44.021355	1.09811800e-04	-6.45912300e-09	-1.70010387e+04	-9.98153200e-02	-4.18081200e-08	2.38746253e+06	1	1.40022800e+00	7.65848700e-08	1.82833502e+07
2.49085556e+02	2023-04-13T14:05:44.754402	1.03812600e-06	-1.04958800e-09	-9.89079525e+02	-1.00066300e-01	-2.91671400e-08	3.43078889e+06	1	1.35017100e+00	4.56031300e-08	2.96069809e+07
2.49819741e+02	2023-04-13T14:05:45.489448	3.45062200e-05	-3.75576600e-09	-9.18753192e+03	-1.00065600e-01	-1.08423800e-08	9.22911759e+06	1	1.30039100e+00	2.95178900e-08	4.40543345e+07
2.50741736e+02	2023-04-13T14:05:46.410506	1.03812600e-06	-1.07444000e-09	-9.66201928e+02	-1.00041200e-01	-7.57448500e-09	1.32076570e+07	1	1.25054500e+00	2.66428900e-08	4.69372880e+07
2.51663567e+02	2023-04-13T14:05:47.332565	9.40447700e-06	1.36983400e-09	6.86541362e+03	-1.00025100e-01	-8.76019700e-09	1.14181336e+07	1	1.20041400e+00	2.73081800e-08	4.39580375e+07
2.52586429e+02	2023-04-13T14:05:48.255624	3.45057800e-05	3.50581500e-09	9.84244177e+03	-1.00131200e-01	-4.27714500e-09	2.34107565e+07	1	1.15006700e+00	2.74316200e-08	4.19248663e+07
2.53507242e+02	2023-04-13T14:05:49.176682	2.61400500e-05	6.05142500e-09	4.31965198e+03	-1.00064900e-01	-4.19733600e-09	2.38400976e+07	1	1.09997700e+00	2.13593800e-08	5.14985454e+07
2.54429424e+02	2023-04-13T14:05:50.098742	4.28747200e-05	7.24535100e-09	5.91754906e+03	-9.98508100e-02	-5.55200600e-09	1.79846365e+07	1	1.04997900e+00	1.34532300e-08	7.80466104e+07
2.55352654e+02	2023-04-13T14:05:51.021799	1.18177900e-04	5.68000800e-09	2.08059390e+04	-9.97798400e-02	-4.24563700e-09	2.35017360e+07	1	9.99987000e-01	-1.47216600e-08	-6.79262393e+07
2.56116836e+02	2023-04-13T14:05:51.785848	1.51646300e-04	2.94677000e-09	5.14618718e+04	-9.97484100e-02	7.96400900e-09	-1.25248992e+07	1	9.50254500e-01	-1.72149400e-08	-5.51994082e+07
2.57038553e+02	2023-04-13T14:05:52.707907	1.68379100e-04	1.19272100e-09	1.41172244e+05	-9.98126200e-02	1.35818700e-08	-7.34896005e+06	1	9.00270500e-01	-1.62289000e-08	-5.54732915e+07
2.57960621e+02	2023-04-13T14:05:53.629965	1.26546100e-04	6.29488200e-10	2.01030138e+05	-9.99923400e-02	1.90667000e-08	-5.24434433e+06	1	8.50347400e-01	-1.26104700e-08	-6.74318562e+07
2.58897990e+02	2023-04-13T14:05:54.567024	1.09811800e-04	1.88548700e-09	5.82405501e+04	-9.97239800e-02	1.23547300e-08	-8.07172476e+06	1	8.00271600e-01	-2.11844500e-08	-3.77763690e+07
2.59819892e+02	2023-04-13T14:05:55.489083	1.43276800e-04	1.99609600e-10	7.17785117e+05	-9.99582100e-02	1.70183800e-08	-5.87354437e+06	1	7.50328900e-01	-1.79005000e-08	-4.19166448e+07
2.60742221e+02	2023-04-13T14:05:56.411141	9.30758600e-05	9.88267800e-10	9.41808081e+04	-1.00015400e-01	2.05924000e-08	-4.85690837e+06	1	7.00359500e-01	-1.28609100e-08	-5.44564498e+07
2.61663569e+02	2023-04-13T14:05:57.333200	1.77722900e-05	4.14552000e-09	4.28710753e+03	-1.00055900e-01	1.66665100e-08	-6.00341043e+06	1	6.50303200e-01	-8.50071600e-09	-7.64998148e+07
2.62585563e+02	2023-04-13T14:05:58.255259	3.45075800e-05	1.14007000e-08	3.02679485e+03	-1.00137500e-01	1.52787600e-08	-6.55403318e+06	1	6.00330700e-01	-4.81105800e-08	-1.24781431e+07
