Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.19857074e+01	2023-04-13T15:17:52.647518	5.12435500e-05	-5.34914900e-05	-9.57975745e-01	-2.99972400e-01	-3.87055200e-06	7.75011936e+04	2	1.50014800e+00	5.73779000e-05	2.61450489e+04
5.21730505e+01	2023-04-13T15:17:52.834529	5.96065100e-05	-5.26905600e-05	-1.13125596e+00	-2.99955400e-01	-3.71284200e-06	8.07886250e+04	2	1.45014500e+00	5.62428600e-05	2.57836284e+04
5.27074221e+01	2023-04-13T15:17:53.368564	5.96102300e-05	-5.14799600e-05	-1.15793078e+00	-2.99985100e-01	-3.56666900e-06	8.41079169e+04	2	1.40023000e+00	5.46973000e-05	2.55996183e+04
5.32204453e+01	2023-04-13T15:17:53.881597	4.28742100e-05	-5.00839200e-05	-8.56047410e-01	-2.99886700e-01	-3.40012300e-06	8.81987799e+04	2	1.35009200e+00	5.29505000e-05	2.54972474e+04
5.37395716e+01	2023-04-13T15:17:54.400629	6.79754600e-05	-4.85018200e-05	-1.40150328e+00	-2.99970100e-01	-3.26634600e-06	9.18365966e+04	2	1.30019100e+00	5.10725200e-05	2.54577413e+04
5.42557504e+01	2023-04-13T15:17:54.916662	7.63396100e-05	-4.68152400e-05	-1.63065724e+00	-2.99953300e-01	-3.10187200e-06	9.67007343e+04	2	1.25017700e+00	4.94002300e-05	2.53071089e+04
5.46273163e+01	2023-04-13T15:17:55.288686	8.47096200e-05	-4.52719800e-05	-1.87112691e+00	-2.99957700e-01	-2.96531300e-06	1.01155494e+05	2	1.20013900e+00	4.75829400e-05	2.52220439e+04
5.50055497e+01	2023-04-13T15:17:55.666710	9.30792300e-05	-4.36064200e-05	-2.13453042e+00	-2.99972100e-01	-2.84834600e-06	1.05314488e+05	2	1.15018600e+00	4.57951200e-05	2.51159075e+04
5.53765421e+01	2023-04-13T15:17:56.037733	5.12412900e-05	-4.20418100e-05	-1.21881741e+00	-2.99982800e-01	-2.71713700e-06	1.10404002e+05	2	1.10016100e+00	4.41731600e-05	2.49056441e+04
5.57572305e+01	2023-04-13T15:17:56.418758	9.30792300e-05	-4.05066300e-05	-2.29787642e+00	-2.99943000e-01	-2.62111200e-06	1.14433492e+05	2	1.05020100e+00	4.25384900e-05	2.46882529e+04
5.61276286e+01	2023-04-13T15:17:56.788781	5.96090000e-05	-4.04402200e-05	-1.47400286e+00	-2.99953100e-01	-2.37183600e-06	1.26464519e+05	2	1.00011600e+00	4.06912500e-05	2.45781587e+04
5.66478946e+01	2023-04-13T15:17:57.308814	5.12418500e-05	-3.75664400e-05	-1.36403263e+00	-2.99924200e-01	-2.39567700e-06	1.25193922e+05	2	9.50191900e-01	3.93105000e-05	2.41714529e+04
5.71581165e+01	2023-04-13T15:17:57.819846	5.96083700e-05	-3.61941300e-05	-1.64690711e+00	-2.99974400e-01	-2.30372200e-06	1.30212934e+05	2	9.00192000e-01	3.79186800e-05	2.37400669e+04
5.76736827e+01	2023-04-13T15:17:58.334879	7.63425300e-05	-3.49233900e-05	-2.18599998e+00	-2.99922200e-01	-2.23341300e-06	1.34288732e+05	2	8.50146700e-01	3.66375300e-05	2.32042580e+04
5.81923635e+01	2023-04-13T15:17:58.853912	8.47104100e-05	-3.37276500e-05	-2.51160131e+00	-2.99871700e-01	-2.15991100e-06	1.38835211e+05	2	8.00121100e-01	3.54195400e-05	2.25898219e+04
5.87090086e+01	2023-04-13T15:17:59.369945	6.79761400e-05	-3.25066000e-05	-2.09114887e+00	-2.99993200e-01	-2.09793500e-06	1.42994516e+05	2	7.50111300e-01	3.42762300e-05	2.18843000e+04
5.92206750e+01	2023-04-13T15:17:59.881977	5.12396000e-05	-3.11324900e-05	-1.64585615e+00	-2.99957700e-01	-2.05347800e-06	1.46073004e+05	2	7.00145800e-01	3.29970500e-05	2.12184362e+04
5.97359111e+01	2023-04-13T15:18:00.397009	5.96083700e-05	-2.94675900e-05	-2.02284510e+00	-2.99980800e-01	-2.09606600e-06	1.43116104e+05	2	6.50173300e-01	3.13599200e-05	2.07326199e+04
6.02625645e+01	2023-04-13T15:18:00.924043	3.45057800e-05	-2.73640700e-05	-1.26098859e+00	-2.99955700e-01	-2.49183700e-06	1.20375330e+05	2	6.00167700e-01	2.98226300e-05	2.01245732e+04
