Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.92377942e+02	2023-04-14T12:14:53.325921	1.18180000e-04	-2.00825000e-08	-5.88472551e+03	-9.98661900e-02	-2.45196100e-08	4.07291103e+06	2	1.49981200e+00	4.08833000e-08	3.66851991e+07
5.92794261e+02	2023-04-14T12:14:53.741947	4.28752200e-05	-1.03427200e-08	-4.14544917e+03	-9.99909900e-02	-2.00101600e-08	4.99701102e+06	2	1.45026100e+00	5.02445700e-08	2.88640345e+07
5.93872264e+02	2023-04-14T12:14:54.820015	5.96096200e-05	-6.72583700e-09	-8.86278094e+03	-9.99414700e-02	-1.52453900e-08	6.55552072e+06	2	1.40017700e+00	4.50195100e-08	3.11015602e+07
5.94824919e+02	2023-04-14T12:14:55.773076	3.45080300e-05	-5.21540500e-09	-6.61655806e+03	-9.99735800e-02	-9.35766800e-09	1.06835998e+07	2	1.35045500e+00	3.92556400e-09	3.44015535e+08
5.95746733e+02	2023-04-14T12:14:56.695134	7.63440100e-05	-4.51372600e-09	-1.69137449e+04	-9.98487900e-02	-6.99820200e-09	1.42677776e+07	2	1.30043400e+00	6.01740100e-09	2.16112238e+08
5.96528560e+02	2023-04-14T12:14:57.476184	5.96090000e-05	-2.32698800e-09	-2.56163762e+04	-9.99672400e-02	-3.40548600e-09	2.93547646e+07	2	1.25062100e+00	1.32827500e-08	9.41537709e+07
5.97467138e+02	2023-04-14T12:14:58.415243	9.30775400e-05	-2.78290700e-09	-3.34461554e+04	-9.98655100e-02	-6.63861300e-10	1.50431287e+08	2	1.19997000e+00	5.75214700e-09	2.08612541e+08
5.98440160e+02	2023-04-14T12:14:59.388566	-7.32861800e-06	2.40158100e-09	-3.05158060e+03	-9.98835800e-02	-5.02569000e-09	1.98746003e+07	2	1.14986400e+00	1.60477300e-08	7.16527509e+07
5.99372313e+02	2023-04-14T12:15:00.320693	2.61420200e-05	1.78411600e-09	1.46526459e+04	-9.99756100e-02	-3.61400400e-09	2.76633922e+07	2	1.09986800e+00	2.52989500e-08	4.34748478e+07
6.00294086e+02	2023-04-14T12:15:01.241751	5.96096200e-05	2.92191400e-09	2.04008811e+04	-9.99227100e-02	-3.58980700e-09	2.78351204e+07	2	1.04981900e+00	1.54166600e-08	6.80963970e+07
6.01216313e+02	2023-04-14T12:15:02.163811	6.79741100e-05	2.23252000e-09	3.04472569e+04	-9.99471400e-02	-1.54439200e-09	6.47161731e+07	2	9.99921800e-01	2.48982100e-08	4.01603890e+07
6.02153927e+02	2023-04-14T12:15:03.101870	6.79768000e-05	2.94799200e-09	2.30586786e+04	-9.99086800e-02	-2.81474500e-09	3.54947535e+07	2	9.49771200e-01	1.71104100e-08	5.55083835e+07
6.03075909e+02	2023-04-14T12:15:04.023928	5.96071300e-05	2.57072400e-09	2.31869038e+04	-9.99073300e-02	-3.22675300e-09	3.09621871e+07	2	8.99771400e-01	5.15236900e-09	1.74632562e+08
6.04012988e+02	2023-04-14T12:15:04.960988	1.77729600e-05	3.22943600e-09	5.50342537e+03	-9.99093600e-02	-2.28277700e-09	4.37665878e+07	2	8.49756600e-01	1.80667500e-08	4.70342812e+07
6.04954540e+02	2023-04-14T12:15:05.902048	2.61400500e-05	2.01464700e-09	1.29750026e+04	9.98668600e-02	2.51771100e-09	3.96657361e+07	2	8.00357700e-01	-2.39273000e-08	-3.34495618e+07
6.05762546e+02	2023-04-14T12:15:06.710098	1.18176900e-04	-4.87667800e-10	-2.42330742e+05	-9.99582100e-02	2.34020800e-09	-4.27133870e+07	2	7.50481200e-01	-1.60297100e-08	-4.68181396e+07
6.06700514e+02	2023-04-14T12:15:07.648158	1.26548200e-04	2.30569400e-09	5.48850802e+04	-9.98906000e-02	8.92448400e-10	-1.11928712e+08	2	7.00308300e-01	-2.41826100e-08	-2.89591694e+07
6.07642769e+02	2023-04-14T12:15:08.591218	9.30758600e-05	6.06181800e-09	1.53544465e+04	-9.98759000e-02	-2.31588300e-10	4.31264878e+08	2	6.49772100e-01	-1.70003300e-08	-3.82211463e+07
6.08575631e+02	2023-04-14T12:15:09.523278	9.30783900e-05	9.44530200e-09	9.85446416e+03	-9.98912800e-02	-1.40688700e-09	7.10016369e+07	2	6.00393600e-01	-2.54452300e-08	-2.35955265e+07
