Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.73494925e-01	2023-04-14T11:49:49.101639	1.26545000e-04	6.91876500e-09	1.82901139e+04	-4.99921600e-01	-1.33445100e-07	3.74627169e+06	1	1.50012600e+00	1.43619000e-07	1.04451779e+07
2.57140146e+00	2023-04-14T11:49:51.002737	3.45057800e-05	-1.11861700e-08	-3.08468225e+03	-4.99955000e-01	-8.85166200e-08	5.64814834e+06	1	1.45011400e+00	1.01420900e-07	1.42979800e+07
3.33776566e+00	2023-04-14T11:49:51.770097	1.18180000e-04	-9.75485000e-09	-1.21149992e+04	-4.99934900e-01	-7.32114300e-08	6.82864547e+06	1	1.40017000e+00	9.73775300e-08	1.43787792e+07
3.93094999e+00	2023-04-14T11:49:52.360100	7.63440100e-05	-4.29338600e-09	-1.77817718e+04	-4.99919900e-01	-5.25421900e-08	9.51463767e+06	1	1.35017100e+00	7.97940600e-08	1.69206956e+07
4.66515581e+00	2023-04-14T11:49:53.099178	1.77733100e-05	-3.88363000e-09	-4.57646841e+03	-4.99956700e-01	-4.28412700e-08	1.16699785e+07	1	1.30017400e+00	8.65656600e-08	1.50195124e+07
5.59083971e+00	2023-04-14T11:49:54.024238	3.45066800e-05	-8.95684700e-10	-3.85254767e+04	-4.99956700e-01	-3.23871200e-08	1.54368990e+07	1	1.25011800e+00	5.05083500e-08	2.47507194e+07
6.32152775e+00	2023-04-14T11:49:54.755284	5.12424200e-05	-2.62521600e-09	-1.95193157e+04	-4.99986800e-01	-2.24649200e-08	2.22563357e+07	1	1.20068100e+00	3.73977400e-08	3.21057101e+07
7.25879616e+00	2023-04-14T11:49:55.692344	6.79754600e-05	-2.83424000e-09	-2.39836641e+04	-4.99976700e-01	-1.69956400e-08	2.94179390e+07	1	1.15045700e+00	2.31767200e-08	4.96384734e+07
8.20031724e+00	2023-04-14T11:49:56.633570	1.18179000e-04	-2.33080500e-09	-5.07030833e+04	-4.99950000e-01	-1.35562600e-08	3.68796408e+07	1	1.10050300e+00	9.59372700e-09	1.14710685e+08
9.11844947e+00	2023-04-14T11:49:57.552621	4.28747200e-05	-7.11008900e-10	-6.03012424e+04	-5.00005200e-01	-1.10977700e-08	4.50545650e+07	1	1.05040300e+00	1.75435200e-08	5.98741302e+07
1.00402702e+01	2023-04-14T11:49:58.473679	6.79768000e-05	1.54223400e-09	4.40768392e+04	-4.99961700e-01	-9.28155700e-09	5.38661455e+07	1	1.00039700e+00	2.65327800e-08	3.77041908e+07
1.09630415e+01	2023-04-14T11:49:59.396738	5.12429800e-05	3.94906000e-09	1.29759943e+04	-5.00025300e-01	-8.76055800e-09	5.70768780e+07	1	9.49989100e-01	3.09183900e-08	3.07256976e+07
1.19157774e+01	2023-04-14T11:50:00.349798	4.28747200e-05	4.45600300e-09	9.62178885e+03	-5.00008500e-01	-4.59215500e-09	1.08883193e+08	1	9.00420200e-01	2.66353700e-09	3.38054324e+08
1.28576859e+01	2023-04-14T11:50:01.291858	1.43281600e-04	4.28474800e-09	3.34399129e+04	-4.99966700e-01	-4.50589300e-09	1.10958405e+08	1	8.50358000e-01	-7.79162900e-09	-1.09137383e+08
1.37746234e+01	2023-04-14T11:50:02.207916	5.12407300e-05	7.30700600e-09	7.01254796e+03	-4.99988400e-01	-3.53378400e-09	1.41488105e+08	1	8.00433600e-01	8.40244000e-10	9.52620429e+08
1.46965680e+01	2023-04-14T11:50:03.129975	1.77726200e-05	1.20499600e-08	1.47491112e+03	-5.00057000e-01	-5.64898300e-09	8.85215976e+07	1	7.50481200e-01	1.31921900e-08	5.68882953e+07
1.56185157e+01	2023-04-14T11:50:04.052033	3.45071300e-05	1.87533300e-08	1.84005347e+03	-4.99986700e-01	-1.27815400e-08	3.91178762e+07	1	7.00014500e-01	1.99357100e-08	3.51135977e+07
1.65401555e+01	2023-04-14T11:50:04.974092	4.28752200e-05	3.70089100e-08	1.15851075e+03	-5.00011900e-01	-2.73747800e-08	1.82654217e+07	1	6.50377700e-01	1.79204000e-08	3.62925883e+07
1.74935140e+01	2023-04-14T11:50:05.927152	6.79754600e-05	8.91857700e-08	7.62178316e+02	-4.99909800e-01	-9.56698400e-08	5.22536465e+06	1	5.99962600e-01	-1.75098100e-08	-3.42643695e+07
