Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.68330201e+02	2023-04-14T11:38:26.005302	5.96083700e-05	-2.13017200e-09	-2.79828906e+04	-4.99966700e-01	-1.01772600e-07	4.91258649e+06	3	1.50007400e+00	1.19272400e-07	1.25768744e+07
1.68550059e+02	2023-04-14T11:38:26.225315	1.18180000e-04	-1.10637000e-09	-1.06817792e+05	-4.99946600e-01	-8.02843100e-08	6.22720180e+06	3	1.45033200e+00	8.29549700e-08	1.74833648e+07
1.69135025e+02	2023-04-14T11:38:26.810353	5.12412900e-05	-5.39402200e-10	-9.49964424e+04	-4.99983500e-01	-5.50955000e-08	9.07485185e+06	3	1.40022600e+00	6.58406800e-08	2.12668824e+07
1.69869352e+02	2023-04-14T11:38:27.544399	5.96090000e-05	-2.51624500e-09	-2.36896646e+04	-4.99943300e-01	-4.30101600e-08	1.16238419e+07	3	1.35020600e+00	4.98267000e-08	2.70980418e+07
1.70968892e+02	2023-04-14T11:38:28.644469	8.47088300e-05	-1.05968300e-09	-7.99378965e+04	-5.00005200e-01	-3.44970400e-08	1.44941479e+07	3	1.30020800e+00	5.21170000e-08	2.49478673e+07
1.72228796e+02	2023-04-14T11:38:29.903549	3.45071300e-05	-9.67157100e-10	-3.56789295e+04	-4.99980100e-01	-2.38348000e-08	2.09768951e+07	3	1.25056200e+00	3.51414300e-08	3.55865427e+07
1.73152032e+02	2023-04-14T11:38:30.827607	5.12424200e-05	5.87846300e-10	8.71697585e+04	-5.00005200e-01	-1.92072700e-08	2.60320806e+07	3	1.20047100e+00	4.26208100e-08	2.81663112e+07
1.74072520e+02	2023-04-14T11:38:31.747666	4.28742100e-05	2.17363100e-09	1.97246957e+04	-4.99980100e-01	-1.61097200e-08	3.10359274e+07	3	1.14998100e+00	3.79761700e-08	3.02816477e+07
1.74994352e+02	2023-04-14T11:38:32.669724	5.96090000e-05	3.15782200e-09	1.88766181e+04	-4.99946600e-01	-1.45151800e-08	3.44430176e+07	3	1.09991500e+00	2.32249700e-08	4.73591570e+07
1.75916226e+02	2023-04-14T11:38:33.591782	1.18181000e-04	2.71789100e-09	4.34826121e+04	-4.99884900e-01	-1.15575000e-08	4.32519922e+07	3	1.05009900e+00	5.15232500e-08	2.03810707e+07
1.76838632e+02	2023-04-14T11:38:34.513841	9.30767000e-05	2.46802300e-09	3.77130602e+04	-4.99961700e-01	-8.29879600e-09	6.02450886e+07	3	9.99928500e-01	1.57780900e-08	6.33744959e+07
1.77775748e+02	2023-04-14T11:38:35.450901	6.79768000e-05	4.68515300e-09	1.45089819e+04	-4.99929900e-01	-8.23493600e-09	6.07084135e+07	3	9.49921800e-01	4.74915200e-08	2.00019246e+07
1.78699127e+02	2023-04-14T11:38:36.373959	1.09816600e-04	5.29544500e-09	2.07379361e+04	-4.99904800e-01	-5.82459800e-09	8.58264897e+07	3	8.99933700e-01	-1.11683800e-08	-8.05787142e+07
1.79619504e+02	2023-04-14T11:38:37.295018	8.47096200e-05	6.25341100e-09	1.35461463e+04	-4.99913100e-01	-2.93250600e-09	1.70473002e+08	3	8.50310900e-01	-1.29279400e-08	-6.57731162e+07
1.80541193e+02	2023-04-14T11:38:38.216076	1.09810900e-04	7.86139700e-09	1.39683697e+04	-4.99980100e-01	-2.18648300e-09	2.28668643e+08	3	8.00372000e-01	-4.10811800e-09	-1.94826926e+08
1.81463340e+02	2023-04-14T11:38:39.138135	6.79768000e-05	9.94998200e-09	6.83185156e+03	-4.99990100e-01	-2.72973100e-09	1.83164605e+08	3	7.49979200e-01	1.95694600e-08	3.83239599e+07
1.82228812e+02	2023-04-14T11:38:39.904183	5.96090000e-05	1.75607800e-08	3.39443920e+03	-4.99971700e-01	-8.40902100e-09	5.94565883e+07	3	6.99788600e-01	1.40797800e-08	4.97016715e+07
1.83150709e+02	2023-04-14T11:38:40.826242	8.47096200e-05	4.74921500e-08	1.78365519e+03	-4.99909800e-01	-4.36737300e-08	1.14464645e+07	3	6.49834400e-01	2.96040900e-09	2.19508318e+08
1.84088550e+02	2023-04-14T11:38:41.764302	7.63432700e-05	1.26546400e-07	6.03282827e+02	-4.99968500e-01	-2.13611900e-07	2.34054610e+06	3	6.00376800e-01	-3.83130800e-09	-1.56702828e+08
