Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.46561484e+02	2023-04-14T11:07:25.241324	2.43684200e-04	-1.39112200e-08	-1.75170977e+04	-2.99823600e-01	-2.71333000e-08	1.10500234e+07	1	1.50031500e+00	1.41461200e-08	1.06058410e+08
2.47670948e+02	2023-04-14T11:07:26.350399	-7.42661100e-05	1.09751000e-08	-6.76678208e+03	-3.00064100e-01	-1.19888100e-08	2.50286809e+07	1	1.45026500e+00	1.84341300e-08	7.86728205e+07
2.48623108e+02	2023-04-14T11:07:27.302465	-1.16101000e-04	-8.05955700e-09	1.44053823e+04	-3.00147800e-01	-4.40963000e-09	6.80664364e+07	1	1.40026500e+00	1.77671600e-08	7.88119767e+07
2.49389319e+02	2023-04-14T11:07:28.069519	1.03902500e-06	6.64152400e-09	1.56443762e+02	-3.00058100e-01	-1.08360700e-08	2.76906757e+07	1	1.35008000e+00	2.06729800e-08	6.53065015e+07
2.50326909e+02	2023-04-14T11:07:29.006585	-1.32836000e-04	1.16323800e-09	-1.14195031e+05	-3.00062300e-01	-2.31162600e-10	1.29805730e+09	1	1.30031600e+00	1.05342800e-09	1.23436628e+09
2.51264314e+02	2023-04-14T11:07:29.943650	-6.58981200e-05	-5.37222300e-09	1.22664528e+04	-3.00058100e-01	-6.32736100e-10	4.74223140e+08	1	1.25035300e+00	1.43292300e-08	8.72589106e+07
2.52031564e+02	2023-04-14T11:07:30.711704	-5.75313100e-05	1.10299300e-08	-5.21592703e+03	-2.99942700e-01	-7.16135500e-09	4.18835123e+07	1	1.20010400e+00	1.40668800e-08	8.53141564e+07
2.52951812e+02	2023-04-14T11:07:31.631768	-7.42666800e-05	1.11435800e-08	-6.66452612e+03	-2.99846900e-01	-9.02595400e-09	3.32205216e+07	1	1.15003300e+00	1.13512500e-08	1.01313336e+08
2.53873722e+02	2023-04-14T11:07:32.553833	2.01850300e-04	1.00160200e-08	2.01527453e+04	-2.99812900e-01	-7.43925300e-09	4.03014792e+07	1	1.09997700e+00	5.52951100e-09	1.98928441e+08
2.54795578e+02	2023-04-14T11:07:33.474897	1.93483200e-04	7.18497600e-09	2.69288582e+04	-2.99892800e-01	-3.79362900e-09	7.90516943e+07	1	1.05030400e+00	-7.68251800e-09	-1.36713510e+08
2.55576987e+02	2023-04-14T11:07:34.256951	2.35318900e-04	7.96655500e-09	2.95383513e+04	-2.99934600e-01	-1.71088800e-09	1.75309313e+08	1	9.99981900e-01	-4.33097900e-09	-2.30890498e+08
2.56498826e+02	2023-04-14T11:07:35.179016	2.52049300e-04	1.18301500e-08	2.13056724e+04	-2.99853000e-01	-2.00465300e-10	1.49578506e+09	1	9.50139200e-01	-1.07475500e-08	-8.84051900e+07
2.57420585e+02	2023-04-14T11:07:36.100080	2.26948300e-04	2.11662100e-08	1.07221983e+04	-2.99936600e-01	-8.73244600e-09	3.43473753e+07	1	9.00305400e-01	-8.02131700e-09	-1.12239100e+08
2.58342574e+02	2023-04-14T11:07:37.022145	1.03880300e-06	1.02846500e-07	1.01005187e+01	-2.99907200e-01	-4.64213100e-07	6.46055012e+05	1	8.50115800e-01	-2.52865100e-09	-3.36193409e+08
2.59581766e+02	2023-04-14T11:07:38.261233	8.47104100e-05	1.57459300e-06	5.37982895e+01	-2.99905200e-01	-1.98665800e-06	1.50959652e+05	1	8.00118100e-01	5.30634100e-09	1.50785277e+08
2.60592570e+02	2023-04-14T11:07:39.272303	5.96083700e-05	8.61784200e-06	6.91685575e+00	-2.99921900e-01	-8.91198500e-06	3.36537707e+04	1	7.50108100e-01	5.35458900e-09	1.40086961e+08
2.61733287e+02	2023-04-14T11:07:40.413383	7.63454700e-05	2.03195400e-05	3.75724401e+00	-2.99974400e-01	-2.11302900e-05	1.41964166e+04	1	7.00064700e-01	3.63313400e-09	1.92688929e+08
2.62436222e+02	2023-04-14T11:07:41.116432	5.96065100e-05	4.26330500e-05	1.39812915e+00	-2.99930300e-01	-4.39079200e-05	6.83089292e+03	1	6.50105700e-01	3.47381600e-09	1.87144541e+08
2.63295767e+02	2023-04-14T11:07:41.975492	7.63425300e-05	8.20808400e-05	9.30089531e-01	-2.99945000e-01	-8.24114000e-05	3.63960569e+03	1	6.00108900e-01	3.16939800e-09	1.89344759e+08
