Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.81814350e-01	2023-03-10T19:29:56.059457	5.96077600e-05	-1.23629900e-07	-4.82146795e+02	-4.99960000e-01	-5.16392300e-07	9.68178650e+05	1	8.00099500e-01	5.63453700e-07	1.41999156e+06
2.22248334e+00	2023-03-10T19:29:57.595523	9.40475700e-06	-7.08339800e-08	-1.32771828e+02	-4.99966700e-01	-3.55967800e-07	1.40452788e+06	1	7.50114900e-01	4.40968200e-07	1.70106348e+06
2.95430300e+00	2023-03-10T19:29:58.335528	1.09814700e-04	-5.20126900e-08	-2.11130591e+03	-4.99941600e-01	-2.76256100e-07	1.80970339e+06	1	7.00183800e-01	2.73810300e-07	2.55718576e+06
3.68922435e+00	2023-03-10T19:29:59.061746	4.28757300e-05	-3.79795300e-08	-1.12891681e+03	-4.99963300e-01	-2.29524800e-07	2.17825394e+06	1	6.50017200e-01	2.44016800e-07	2.66382151e+06
4.59595199e+00	2023-03-10T19:29:59.972916	9.30750000e-05	-2.76603700e-08	-3.36492245e+03	-4.99983500e-01	-1.99450900e-07	2.50679992e+06	1	6.00071400e-01	1.80590900e-07	3.32282191e+06
5.33921792e+00	2023-03-10T19:30:00.719611	6.79747800e-05	-1.62122900e-08	-4.19279325e+03	-4.99976700e-01	-1.78655800e-07	2.79854726e+06	1	5.50233200e-01	2.46139700e-07	2.23545084e+06
6.06430853e+00	2023-03-10T19:30:01.445414	4.28747200e-05	-1.01777600e-08	-4.21258902e+03	-4.99978500e-01	-1.56626800e-07	3.19216443e+06	1	5.00130500e-01	2.08222200e-07	2.40190767e+06
6.79861412e+00	2023-03-10T19:30:02.175419	9.30775400e-05	-7.29839400e-09	-1.27531536e+04	-4.99960100e-01	-1.40469100e-07	3.55921765e+06	1	4.49985500e-01	6.76517600e-08	6.65149732e+06
7.53708056e+00	2023-03-10T19:30:02.911204	1.01445600e-04	-2.28201300e-09	-4.44544356e+04	-4.99953300e-01	-1.29689600e-07	3.85499917e+06	1	4.00344700e-01	1.26437100e-07	3.16635465e+06
8.26765981e+00	2023-03-10T19:30:03.649689	4.28726800e-05	1.43836900e-09	2.98064544e+04	-4.99953300e-01	-1.17493900e-07	4.25514261e+06	1	3.50295900e-01	2.09547500e-07	1.67167778e+06
9.00298701e+00	2023-03-10T19:30:04.384737	6.79747800e-05	3.02917300e-09	2.24400455e+04	-5.00005100e-01	-1.01228800e-07	4.93935619e+06	1	2.99994600e-01	7.33550400e-08	4.08962493e+06
9.73618940e+00	2023-03-10T19:30:05.117782	7.63432700e-05	1.31110200e-08	5.82283224e+03	-4.99929900e-01	-9.47510200e-08	5.27624821e+06	1	2.50209800e-01	1.25164900e-07	1.99904126e+06
1.04757573e+01	2023-03-10T19:30:05.857829	-9.09991800e-05	1.03454300e-09	-8.79607518e+04	-4.99936600e-01	-7.59357300e-08	6.58368070e+06	1	2.50263400e-01	5.00918000e-08	4.99609517e+06
1.07212923e+01	2023-03-10T19:30:06.102845	6.79747800e-05	7.93442700e-09	8.56706855e+03	-4.99951600e-01	-8.96250500e-08	5.57825742e+06	1	2.40326000e-01	1.73668700e-07	1.38381873e+06
1.18687393e+01	2023-03-10T19:30:07.250917	5.96071300e-05	4.10727000e-09	1.45125911e+04	-4.99943300e-01	-8.49176000e-08	5.88739319e+06	1	2.30003200e-01	4.50754000e-08	5.10263248e+06
1.29548894e+01	2023-03-10T19:30:08.336985	9.30767000e-05	-4.71222100e-09	-1.97521933e+04	-4.99908100e-01	-8.37886700e-08	5.96629711e+06	1	2.19998000e-01	5.60924600e-08	3.92206011e+06
1.40367636e+01	2023-03-10T19:30:09.419054	3.45071300e-05	-8.32263600e-09	-4.14617797e+03	-4.99950000e-01	-8.10483400e-08	6.16854090e+06	1	2.10180100e-01	1.66842600e-07	1.25975081e+06
1.47870839e+01	2023-03-10T19:30:10.169101	5.96108500e-05	1.23737600e-08	4.81752111e+03	-4.99950000e-01	-7.60937000e-08	6.57018912e+06	1	2.00182800e-01	1.66141600e-07	1.20489269e+06
1.59236223e+01	2023-03-10T19:30:11.305172	1.01442900e-04	9.65141100e-08	1.05106808e+03	-4.99921400e-01	-1.68230500e-07	2.97164545e+06	1	1.90039500e-01	7.15562700e-08	2.65580500e+06
