Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.89478115e+01	2023-03-10T20:07:50.750559	2.10212600e-04	-2.91283000e-08	-7.21678230e+03	-9.98494500e-02	-9.83047400e-08	1.01571348e+06	2	1.00024800e+00	8.20123400e-08	1.21963109e+07
6.94120519e+01	2023-03-10T20:07:51.214591	4.28747200e-05	-1.02874100e-08	-4.16768847e+03	-9.99478100e-02	-6.32141800e-08	1.58109794e+06	2	9.50083100e-01	5.80032200e-08	1.63798337e+07
7.01612857e+01	2023-03-10T20:07:51.964644	9.30758600e-05	-3.15314600e-09	-2.95184111e+04	-9.99337800e-02	-4.11789100e-08	2.42681946e+06	2	9.00135800e-01	4.45364900e-08	2.02111976e+07
7.12858802e+01	2023-03-10T20:07:53.088721	9.30758600e-05	-3.03444900e-09	-3.06730678e+04	-9.99638700e-02	-2.19422300e-08	4.55577532e+06	2	8.49948200e-01	5.09072400e-08	1.66960181e+07
7.22292854e+01	2023-03-10T20:07:54.032788	8.47080500e-05	-5.81454700e-10	-1.45682974e+05	-9.98822500e-02	-1.25663200e-08	7.94840892e+06	2	8.00163500e-01	4.25981100e-08	1.87840141e+07
7.29735429e+01	2023-03-10T20:07:54.776840	8.47080500e-05	-2.70132800e-09	-3.13579284e+04	-9.98989700e-02	-5.69592700e-09	1.75386675e+07	2	7.50233500e-01	1.86482800e-08	4.02307076e+07
7.37546572e+01	2023-03-10T20:07:55.557893	8.47072500e-05	4.86553700e-09	1.74096405e+04	-9.99157000e-02	-2.68557900e-09	3.72045283e+07	2	7.00251900e-01	8.93582700e-09	7.83645319e+07
7.46921192e+01	2023-03-10T20:07:56.494959	6.79768000e-05	8.78723500e-09	7.73585775e+03	-9.99010000e-02	-4.97817400e-09	2.00678000e+07	2	6.50005600e-01	4.12189800e-08	1.57695702e+07
7.60047029e+01	2023-03-10T20:07:57.808050	9.30767000e-05	4.54540600e-08	2.04770927e+03	-9.99735800e-02	-3.42543200e-08	2.91856852e+06	2	6.00309900e-01	1.73680400e-09	3.45640556e+08
7.72702092e+01	2023-03-10T20:07:59.073138	8.47080500e-05	1.94657500e-07	4.35164584e+02	-9.99170500e-02	-6.09476800e-07	1.63939054e+05	2	5.50144800e-01	2.96921900e-09	1.85282662e+08
7.86452262e+01	2023-03-10T20:08:00.448234	9.30767000e-05	2.99554700e-06	3.10716874e+01	-9.99086800e-02	-3.04079500e-06	3.28561051e+04	2	5.00113800e-01	2.23082700e-09	2.24183139e+08
7.96609749e+01	2023-03-10T20:08:01.464305	7.63425300e-05	1.04871500e-05	7.27962602e+00	-9.99652200e-02	-1.03459600e-05	9.66224691e+03	2	4.50127000e-01	-1.92492600e-10	-2.33841197e+09
8.08016202e+01	2023-03-10T20:08:02.604384	6.79761400e-05	2.38946700e-05	2.84482439e+00	-9.99324300e-02	-2.36833700e-05	4.21951901e+03	2	4.00085600e-01	-6.10335400e-09	-6.55517606e+07
8.16775699e+01	2023-03-10T20:08:03.480445	9.30767000e-05	4.73245400e-05	1.96677453e+00	-9.99756100e-02	-4.72841900e-05	2.11435598e+03	2	3.50089100e-01	-7.92991900e-09	-4.41478784e+07
8.25688464e+01	2023-03-10T20:08:04.371507	1.01442900e-04	8.47038200e-05	1.19761895e+00	-9.99324300e-02	-8.41282900e-05	1.18785762e+03	2	3.00075900e-01	-9.57073300e-09	-3.13534919e+07
8.37077355e+01	2023-03-10T20:08:05.510586	9.30775400e-05	1.32358600e-04	7.03222458e-01	-9.99100300e-02	-1.32072400e-04	7.56479249e+02	2	2.50077700e-01	-1.30479600e-08	-1.91660382e+07
8.46136648e+01	2023-03-10T20:08:06.416649	8.47088300e-05	1.83432400e-04	4.61798624e-01	-9.99401200e-02	-1.85582500e-04	5.38521251e+02	2	2.00074100e-01	-1.63251000e-08	-1.22556125e+07
8.55203402e+01	2023-03-10T20:08:07.323712	1.18177900e-04	2.39045000e-04	4.94375118e-01	-9.99478100e-02	-2.38241600e-04	4.19522913e+02	2	1.50076300e-01	-1.85967200e-08	-8.07004138e+06
8.64262551e+01	2023-03-10T20:08:08.229776	6.79747800e-05	2.87142300e-04	2.36728549e-01	-9.99331100e-02	-2.86336100e-04	3.49006325e+02	2	1.00052800e-01	-2.09592000e-08	-4.77369365e+06
