Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.16459690e+02	2023-03-13T16:41:54.776071	7.63432700e-05	-2.44455700e-08	-3.12298997e+03	-6.99929900e-01	-4.81466600e-07	1.45374549e+06	2	1.20018900e+00	4.95850400e-07	2.42046593e+06
2.16632255e+02	2023-03-13T16:41:54.949082	1.09812800e-04	-1.05309400e-08	-1.04276351e+04	-6.99959800e-01	-4.44034100e-07	1.57636497e+06	2	1.15018300e+00	4.61059900e-07	2.49464983e+06
2.17195189e+02	2023-03-13T16:41:55.512118	9.30758600e-05	-5.71792600e-09	-1.62779057e+04	-6.99896500e-01	-4.10614700e-07	1.70450912e+06	2	1.10012900e+00	4.25223100e-07	2.58718071e+06
2.17741968e+02	2023-03-13T16:41:56.059153	7.63425300e-05	-6.40978200e-09	-1.19103161e+04	-6.99903700e-01	-3.80760800e-07	1.83817163e+06	2	1.05018000e+00	4.08489200e-07	2.57088804e+06
2.18621884e+02	2023-03-13T16:41:56.938209	5.96096200e-05	-1.37473200e-09	-4.33609023e+04	-6.99938200e-01	-3.47106200e-07	2.01649582e+06	2	1.00013600e+00	3.25100700e-07	3.07638833e+06
2.19351921e+02	2023-03-13T16:41:57.668255	9.30800700e-05	2.57499000e-08	3.61477404e+03	-6.99908500e-01	-3.38065800e-07	2.07033217e+06	2	9.50199800e-01	3.41271100e-07	2.78429612e+06
2.20086194e+02	2023-03-13T16:41:58.403302	7.63454700e-05	1.50695100e-07	5.06622113e+02	-6.99912100e-01	-4.64160300e-07	1.50791031e+06	2	9.00092500e-01	3.06542100e-07	2.93627694e+06
2.20976689e+02	2023-03-13T16:41:59.293358	1.18179000e-04	7.85780000e-07	1.50397058e+02	-6.99889600e-01	-1.71101200e-06	4.09050083e+05	2	8.50110100e-01	2.97329000e-07	2.85915636e+06
2.21960960e+02	2023-03-13T16:42:00.277420	6.79747800e-05	4.66924300e-06	1.45579872e+01	-6.99913100e-01	-5.40590200e-06	1.29472029e+05	2	8.00143700e-01	2.76551600e-07	2.89328899e+06
2.22773490e+02	2023-03-13T16:42:01.090472	7.63410700e-05	1.36075100e-05	5.61021598e+00	-6.99903700e-01	-1.40881900e-05	4.96801718e+04	2	7.50113200e-01	2.54837100e-07	2.94350077e+06
2.23585962e+02	2023-03-13T16:42:01.902523	9.30783900e-05	2.88943100e-05	3.22133977e+00	-6.99921500e-01	-2.96642400e-05	2.35947896e+04	2	7.00155200e-01	2.28782300e-07	3.06035563e+06
2.24257846e+02	2023-03-13T16:42:02.574566	9.30767000e-05	5.46781200e-05	1.70226592e+00	-6.99892800e-01	-5.64690400e-05	1.23942748e+04	2	6.50164900e-01	2.17557700e-07	2.98847110e+06
2.25211037e+02	2023-03-13T16:42:03.527626	6.79747800e-05	8.96225700e-05	7.58456045e-01	-6.99946700e-01	-9.02218200e-05	7.75806451e+03	2	6.00151000e-01	1.83040600e-07	3.27878624e+06
2.25882833e+02	2023-03-13T16:42:04.199669	8.47112000e-05	1.40045700e-04	6.04882549e-01	-6.99914300e-01	-1.41014800e-04	4.96341022e+03	2	5.50138400e-01	1.84021400e-07	2.98953491e+06
2.26554833e+02	2023-03-13T16:42:04.871712	9.30792300e-05	2.03626300e-04	4.57108095e-01	-6.99934600e-01	-2.04531400e-04	3.42213763e+03	2	5.00138900e-01	1.43165900e-07	3.49342197e+06
2.27226709e+02	2023-03-13T16:42:05.543754	9.30758600e-05	2.73034900e-04	3.40893637e-01	-6.99898600e-01	-2.73068500e-04	2.56308802e+03	2	4.50152100e-01	1.26268200e-07	3.56504726e+06
2.27762397e+02	2023-03-13T16:42:06.078789	1.09812800e-04	3.41253000e-04	3.21792922e-01	-6.99943000e-01	-3.40554400e-04	2.05530453e+03	2	4.00077500e-01	8.29988300e-08	4.82027879e+06
2.28429827e+02	2023-03-13T16:42:06.746831	7.63410700e-05	4.10608300e-04	1.85921887e-01	-6.99938200e-01	-4.08240600e-04	1.71452374e+03	2	3.50123700e-01	6.06338300e-08	5.77439525e+06
2.29153499e+02	2023-03-13T16:42:07.469878	6.79720700e-05	4.78807300e-04	1.41961223e-01	-6.99910500e-01	-4.75903600e-04	1.47069806e+03	2	3.00078200e-01	4.51951400e-08	6.63961214e+06
