Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.45797093e+01	2023-04-11T12:29:39.220451	8.47104100e-05	-6.45536700e-07	-1.31224778e+02	-7.00042200e-01	-1.25908600e-06	5.55992363e+05	2	1.00028700e+00	1.90965200e-06	5.23805908e+05
6.47277626e+01	2023-04-11T12:29:39.368461	6.79761400e-05	-5.57651400e-07	-1.21897192e+02	-6.99906400e-01	-1.12960400e-06	6.19603330e+05	2	9.50139800e-01	1.62176000e-06	5.85869549e+05
6.53743479e+01	2023-04-11T12:29:40.014502	1.01444700e-04	-4.56129900e-07	-2.22403092e+02	-6.99922600e-01	-1.04470400e-06	6.69972164e+05	2	9.00192000e-01	1.64867700e-06	5.46008709e+05
6.60301677e+01	2023-04-11T12:29:40.670542	4.28737000e-05	-3.52987700e-07	-1.21459473e+02	-6.99888100e-01	-9.87585300e-07	7.08686227e+05	2	8.50138200e-01	1.17125200e-06	7.25837138e+05
6.68587304e+01	2023-04-11T12:29:41.499595	4.28721800e-05	-2.59603900e-07	-1.65144591e+02	-6.99884400e-01	-9.35088500e-07	7.48468621e+05	2	8.00145600e-01	1.26579200e-06	6.32130397e+05
6.75356357e+01	2023-04-11T12:29:42.175638	5.96077600e-05	-1.72582700e-07	-3.45386647e+02	-6.99901200e-01	-8.90863100e-07	7.85643945e+05	2	7.50161700e-01	1.10145300e-06	6.81065556e+05
6.82020286e+01	2023-04-11T12:29:42.842679	8.47112000e-05	-1.06328600e-07	-7.96692517e+02	-6.99894300e-01	-8.45557900e-07	8.27730780e+05	2	7.00300000e-01	9.28296100e-07	7.54392914e+05
6.88756680e+01	2023-04-11T12:29:43.515722	5.96071300e-05	-4.77518900e-08	-1.24826745e+03	-6.99934600e-01	-8.02335800e-07	8.72371144e+05	2	6.50143800e-01	1.03934500e-06	6.25532234e+05
6.95297880e+01	2023-04-11T12:29:44.170764	5.12412900e-05	-2.31046900e-08	-2.21778738e+03	-6.99926300e-01	-7.59449700e-07	9.21622986e+05	2	6.00151000e-01	8.19919600e-07	7.31963232e+05
7.03925611e+01	2023-04-11T12:29:45.032819	9.30775400e-05	-1.19514900e-09	-7.78794443e+04	-6.99909500e-01	-7.13898900e-07	9.80404228e+05	2	5.50035300e-01	5.93573500e-07	9.26650701e+05
7.10818363e+01	2023-04-11T12:29:45.721862	8.47096200e-05	6.83085300e-09	1.24010310e+04	-6.99910500e-01	-6.85681100e-07	1.02075221e+06	2	5.00137200e-01	7.69590100e-07	6.49874784e+05
7.17691953e+01	2023-04-11T12:29:46.409905	3.45062200e-05	1.42394200e-08	2.42328831e+03	-6.99888100e-01	-6.62137500e-07	1.05701323e+06	2	4.50134600e-01	6.32052500e-07	7.12179131e+05
7.24536417e+01	2023-04-11T12:29:47.093949	7.63418000e-05	1.96757800e-08	3.87998849e+03	-6.99955000e-01	-6.46365200e-07	1.08290948e+06	2	4.00110700e-01	6.65486500e-07	6.01230378e+05
7.31427865e+01	2023-04-11T12:29:47.782992	6.79747800e-05	2.80302100e-08	2.42505425e+03	-6.99930900e-01	-6.29157300e-07	1.11248952e+06	2	3.50095200e-01	6.86212700e-07	5.10184670e+05
7.38329765e+01	2023-04-11T12:29:48.473035	9.30792300e-05	2.11070000e-08	4.40987492e+03	-6.99926300e-01	-6.14502800e-07	1.13901239e+06	2	3.00094900e-01	7.53875500e-07	3.98069575e+05
7.49098652e+01	2023-04-11T12:29:49.550103	1.01444700e-04	4.25867700e-08	2.38207077e+03	-6.99916900e-01	-6.12973200e-07	1.14183932e+06	2	2.50035900e-01	6.49054200e-07	3.85231156e+05
7.57968675e+01	2023-04-11T12:29:50.437159	7.63410700e-05	2.08647400e-07	3.65885556e+02	-6.99909500e-01	-7.65668300e-07	9.14115812e+05	2	2.00115900e-01	5.93616000e-07	3.37113386e+05
7.66441431e+01	2023-04-11T12:29:51.284213	8.47104100e-05	1.40994200e-06	6.00807764e+01	-6.99944000e-01	-1.93548900e-06	3.61636775e+05	2	1.50051200e-01	4.51164200e-07	3.32586672e+05
7.76087254e+01	2023-04-11T12:29:52.249274	1.18181000e-04	6.17503400e-06	1.91385181e+01	-6.99912100e-01	-6.67418000e-06	1.04868628e+05	2	1.00107700e-01	4.78918600e-07	2.09028632e+05
