Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.86940861e+02	2023-04-11T11:57:20.977050	8.47112000e-05	-3.43251300e-07	-2.46790617e+02	-9.99729000e-02	-6.45269200e-07	1.54932081e+05	2	1.00016800e+00	1.04231800e-06	9.59561286e+05
5.87135113e+02	2023-04-11T11:57:21.171062	5.12418500e-05	-2.72746200e-07	-1.87873745e+02	-9.99812800e-02	-4.87715700e-07	2.04999101e+05	2	9.50164300e-01	8.02059600e-07	1.18465548e+06
5.87836161e+02	2023-04-11T11:57:21.872106	6.79761400e-05	-2.05026700e-07	-3.31547745e+02	-9.99665700e-02	-3.79874300e-07	2.63156971e+05	2	9.00098600e-01	7.31205300e-07	1.23097932e+06
5.88675773e+02	2023-04-11T11:57:22.711160	8.47096200e-05	-1.37135700e-07	-6.17706549e+02	-9.99080100e-02	-3.10609800e-07	3.21651184e+05	2	8.50243500e-01	4.98898100e-07	1.70424281e+06
5.89396636e+02	2023-04-11T11:57:23.432206	7.63425300e-05	-8.07345700e-08	-9.45599017e+02	-9.99010000e-02	-2.26616300e-07	4.40837663e+05	2	8.00333100e-01	4.14445300e-07	1.93109465e+06
5.90113182e+02	2023-04-11T11:57:24.149251	9.30783900e-05	-5.19996100e-08	-1.78998246e+03	-9.99749300e-02	-1.61567600e-07	6.18780808e+05	2	7.50235200e-01	3.36427300e-07	2.23000690e+06
5.91191823e+02	2023-04-11T11:57:25.227318	5.96090000e-05	-2.54233900e-08	-2.34465191e+03	-9.99066600e-02	-1.04163600e-07	9.59132173e+05	2	7.00052700e-01	1.06221700e-07	6.59048669e+06
5.92441217e+02	2023-04-11T11:57:26.477397	5.96077600e-05	-6.46589700e-09	-9.21879207e+03	-9.99297300e-02	-6.94681900e-08	1.43849624e+06	2	6.50298800e-01	9.56765300e-08	6.79684767e+06
5.93567085e+02	2023-04-11T11:57:27.603468	5.96096200e-05	4.55349800e-09	1.30909512e+04	-9.99505100e-02	-2.32353900e-08	4.30164977e+06	2	6.00648500e-01	1.56743100e-07	3.83205704e+06
5.94487647e+02	2023-04-11T11:57:28.523526	7.63432700e-05	1.33493600e-08	5.71887117e+03	-9.99930200e-02	2.32231800e-10	-4.30574194e+08	2	5.50078800e-01	7.61822400e-08	7.22056479e+06
5.95566354e+02	2023-04-11T11:57:29.602594	8.47112000e-05	1.92623300e-08	4.39776496e+03	-9.99959700e-02	1.01065400e-08	-9.89418436e+06	2	5.00599000e-01	-1.41210700e-07	-3.54505006e+06
5.96488314e+02	2023-04-11T11:57:30.524652	7.63432700e-05	2.58023800e-08	2.95876853e+03	-9.99846500e-02	1.70585600e-08	-5.86125968e+06	2	4.50894300e-01	3.08895800e-08	1.45969709e+07
5.97582061e+02	2023-04-11T11:57:31.617722	5.12418500e-05	2.90540600e-08	1.76367262e+03	-1.00000000e-01	1.19464900e-08	-8.37065950e+06	2	3.99578100e-01	4.44396300e-09	8.99148125e+07
5.98613163e+02	2023-04-11T11:57:32.648787	9.30767000e-05	2.02497700e-08	4.59643245e+03	-9.99317600e-02	1.72325400e-08	-5.79901512e+06	2	3.49625400e-01	-1.25672600e-07	-2.78203363e+06
5.99805894e+02	2023-04-11T11:57:33.841862	7.63410700e-05	3.89342700e-08	1.96076798e+03	-9.98688800e-02	2.66834600e-08	-3.74272602e+06	2	3.00830700e-01	-7.57966500e-08	-3.96891815e+06
6.00534467e+02	2023-04-11T11:57:34.569907	5.12401700e-05	6.27960900e-08	8.15977078e+02	-9.99274400e-02	1.51169600e-08	-6.61028672e+06	2	2.51089900e-01	-8.19319400e-08	-3.06461558e+06
6.01613287e+02	2023-04-11T11:57:35.648975	8.47104100e-05	1.54841900e-07	5.47076793e+02	-9.99498300e-02	1.50439000e-08	-6.64387758e+06	2	2.00108900e-01	-4.91949400e-08	-4.06767241e+06
6.02676084e+02	2023-04-11T11:57:36.712043	7.63440100e-05	2.66783500e-07	2.86164662e+02	-1.00012000e-01	-1.25634200e-07	7.96057125e+05	2	1.50093000e-01	-6.25498400e-08	-2.39957448e+06
6.03895608e+02	2023-04-11T11:57:37.931120	6.79761400e-05	4.83352100e-07	1.40634829e+02	-9.99505100e-02	-3.89954100e-07	2.56313525e+05	2	1.00221400e-01	-6.47606400e-08	-1.54756655e+06
