Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.86613493e+02	2023-03-16T18:03:37.412773	1.76753100e-04	-3.23800900e-07	-5.45869700e+02	-1.00015400e-01	-3.01542800e-07	3.31678952e+05	3	1.00020500e+00	4.83791800e-07	2.06742859e+06
6.86786070e+02	2023-03-16T18:03:37.585784	1.18177900e-04	-2.30240200e-07	-5.13280913e+02	-9.99414700e-02	-2.61246200e-07	3.82556646e+05	3	9.50103800e-01	5.74426700e-07	1.65400355e+06
6.87349405e+02	2023-03-16T18:03:38.148825	9.30758600e-05	-2.43688200e-07	-3.81946520e+02	-9.99387700e-02	-2.27320000e-07	4.39639143e+05	3	9.00169300e-01	4.86565200e-07	1.85004867e+06
6.87912663e+02	2023-03-16T18:03:38.711865	-4.07967300e-05	-2.09919300e-07	1.94344827e+02	-9.99337800e-02	-1.99847900e-07	5.00049187e+05	3	8.50090800e-01	5.48635100e-07	1.54946484e+06
6.88473688e+02	2023-03-16T18:03:39.272904	-4.07968400e-05	-1.68197100e-07	2.42553766e+02	-9.99407900e-02	-1.73798200e-07	5.75039270e+05	3	8.00177200e-01	3.17217100e-07	2.52249075e+06
6.89708356e+02	2023-03-16T18:03:40.507991	6.79774800e-05	-1.36498900e-07	-4.98007530e+02	-9.99254200e-02	-1.44330300e-07	6.92338476e+05	3	7.49576000e-01	5.72721600e-08	1.30879646e+07
6.90448762e+02	2023-03-16T18:03:41.248043	1.43282700e-04	-6.05306500e-08	-2.36710989e+03	-9.99464600e-02	-1.19772400e-07	8.34469878e+05	3	6.99631800e-01	2.84751100e-07	2.45699420e+06
6.91505292e+02	2023-03-16T18:03:42.305118	1.26548200e-04	-8.66116300e-08	-1.46109939e+03	-9.99394500e-02	-9.49457300e-08	1.05259552e+06	3	6.49575000e-01	-1.03973700e-07	-6.24749336e+06
6.92239942e+02	2023-03-16T18:03:43.039170	-3.83861700e-04	-4.02626600e-08	9.53393790e+03	-9.99464600e-02	-7.33029800e-08	1.36347063e+06	3	6.00711400e-01	2.90204400e-07	2.06995966e+06
6.93148280e+02	2023-03-16T18:03:43.948234	-7.42669600e-05	-3.62180400e-08	2.05055160e+03	-9.99337800e-02	-4.96148900e-08	2.01418929e+06	3	5.50150500e-01	2.58105300e-07	2.13149633e+06
6.94224001e+02	2023-03-16T18:03:45.023311	1.77726200e-05	-3.24870800e-08	-5.47067326e+02	-9.99317600e-02	-3.27996100e-08	3.04673623e+06	3	5.00604000e-01	2.59723100e-07	1.92745274e+06
6.95147925e+02	2023-03-16T18:03:45.947376	-3.75494200e-04	-5.22914500e-09	7.18079533e+04	-9.99491700e-02	-1.89090900e-08	5.28577367e+06	3	4.49722500e-01	1.06571800e-07	4.21990151e+06
6.95880234e+02	2023-03-16T18:03:46.680427	3.27362300e-04	-3.02744500e-08	-1.08131543e+04	-9.99163700e-02	-9.26606100e-09	1.07830469e+07	3	4.00601600e-01	-1.75354600e-07	-2.28452290e+06
6.96958377e+02	2023-03-16T18:03:47.758503	3.69190400e-04	-2.79451200e-08	-1.32112655e+04	-9.99414700e-02	-4.29531200e-09	2.32675694e+07	3	3.50233700e-01	-2.02249100e-07	-1.73169473e+06
6.98038580e+02	2023-03-16T18:03:48.838580	3.77554700e-04	-2.38796600e-08	-1.58107234e+04	-9.99304000e-02	-1.90564000e-09	5.24392855e+07	3	3.00458600e-01	-2.22670400e-07	-1.34934235e+06
6.99114653e+02	2023-03-16T18:03:49.914656	3.60833900e-04	-1.60571900e-08	-2.24717961e+04	-9.99157000e-02	-1.09233800e-09	9.14695818e+07	3	2.51031300e-01	-6.53504600e-08	-3.84130884e+06
6.99864831e+02	2023-03-16T18:03:50.664709	-1.56955900e-05	1.49947700e-08	-1.04673763e+03	-9.99317600e-02	-3.31246600e-10	3.01683881e+08	3	1.99222200e-01	2.09247700e-07	9.52087884e+05
7.00786823e+02	2023-03-16T18:03:51.586773	6.79754600e-05	1.16822500e-08	5.81869588e+03	-9.99414700e-02	1.38230300e-09	-7.23006967e+07	3	1.49324500e-01	-1.39080500e-07	-1.07365519e+06
7.01864771e+02	2023-03-16T18:03:52.664850	5.12401700e-05	2.33989100e-08	2.18985286e+03	-9.98759000e-02	2.36414400e-09	-4.22461153e+07	3	9.98386600e-02	-1.11428600e-07	-8.95987745e+05
