Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.89433926e+02	2023-03-16T20:10:38.783462	2.10217500e-04	-4.17287500e-07	-5.03771381e+02	-9.98648300e-02	-4.84277400e-07	2.06214104e+05	3	1.00028500e+00	9.55223000e-07	1.04717432e+06
6.89622563e+02	2023-03-16T20:10:38.972473	2.26950000e-04	-2.51091500e-07	-9.03853774e+02	-9.99016700e-02	-4.59411900e-07	2.17455556e+05	3	9.50202700e-01	6.87755600e-07	1.38159936e+06
6.90325560e+02	2023-03-16T20:10:39.675518	1.09808000e-04	-2.82910300e-07	-3.88137159e+02	-9.98849400e-02	-4.04684100e-07	2.46822003e+05	3	9.00199000e-01	7.31445300e-07	1.23071267e+06
6.91012985e+02	2023-03-16T20:10:40.362562	5.12429800e-05	-3.02422700e-07	-1.69441580e+02	-9.99484900e-02	-3.62809000e-07	2.75485145e+05	3	8.50082000e-01	6.97283700e-07	1.21913362e+06
6.91887515e+02	2023-03-16T20:10:41.237618	1.85113100e-04	-2.72810400e-07	-6.78541214e+02	-9.99059800e-02	-3.15969600e-07	3.16188583e+05	3	8.00077500e-01	5.67364900e-07	1.41016390e+06
6.92763490e+02	2023-03-16T20:10:42.113675	1.76746100e-04	-1.50300600e-07	-1.17595073e+03	-9.99247400e-02	-2.77003700e-07	3.60734315e+05	3	7.50106300e-01	4.39581500e-07	1.70641007e+06
6.93655544e+02	2023-03-16T20:10:43.005732	-3.24295200e-05	-1.57702300e-07	2.05637584e+02	-9.98822500e-02	-2.35936000e-07	4.23344678e+05	3	7.00224700e-01	5.15932400e-07	1.35720242e+06
6.94357053e+02	2023-03-16T20:10:43.706777	-7.42655600e-05	-7.07915500e-08	1.04907379e+03	-9.99220400e-02	-1.97524800e-07	5.05870858e+05	3	6.50306300e-01	4.40361500e-07	1.47675557e+06
6.95092902e+02	2023-03-16T20:10:44.442824	-1.07731800e-04	-1.26428000e-07	8.52119784e+02	-9.99240600e-02	-1.63468100e-07	6.11275594e+05	3	5.99984600e-01	3.72578300e-07	1.61035841e+06
6.95809582e+02	2023-03-16T20:10:45.159870	1.01443800e-04	-1.43914500e-07	-7.04889361e+02	-9.99324300e-02	-1.31336200e-07	7.60890219e+05	3	5.49856800e-01	7.47511600e-08	7.35582966e+06
6.96544833e+02	2023-03-16T20:10:45.894917	6.79741100e-05	-8.44469800e-08	-8.04932397e+02	-9.99093600e-02	-1.08522200e-07	9.20635225e+05	3	4.99928100e-01	1.53482000e-07	3.25724254e+06
6.97971854e+02	2023-03-16T20:10:47.322009	1.43275700e-04	-8.13411900e-08	-1.76141633e+03	-9.99749300e-02	-8.51625000e-08	1.17393137e+06	3	4.50023600e-01	-7.90438500e-08	-5.69334110e+06
6.98700965e+02	2023-03-16T20:10:48.051056	-2.49975400e-04	-1.52382700e-08	1.64044475e+04	-9.99729000e-02	-6.18155900e-08	1.61727648e+06	3	4.00294800e-01	2.14047000e-07	1.87012572e+06
6.99606475e+02	2023-03-16T20:10:48.956113	1.26548200e-04	-1.08873900e-08	-1.16233735e+04	-9.99086800e-02	-3.06565500e-08	3.25896684e+06	3	3.50317300e-01	2.55400600e-07	1.37163852e+06
7.00539107e+02	2023-03-16T20:10:49.889173	1.03857700e-06	-2.79892800e-09	-3.71062421e+02	-9.99491700e-02	-8.28870400e-09	1.20584798e+07	3	3.00057100e-01	4.38920800e-08	6.83624699e+06
7.01263391e+02	2023-03-16T20:10:50.613219	1.76746100e-04	1.65977800e-08	1.06487795e+04	-9.99498300e-02	-7.74868800e-10	1.28989359e+08	3	2.51014500e-01	-3.99256800e-08	-6.28704383e+06
7.02201025e+02	2023-03-16T20:10:51.551280	5.12407300e-05	3.49968800e-08	1.46415138e+03	-9.99324300e-02	2.06270400e-09	-4.84472954e+07	3	1.99922200e-01	-9.30239000e-08	-2.14914877e+06
7.02935376e+02	2023-03-16T20:10:52.285327	7.63418000e-05	2.03924100e-07	3.74363795e+02	-9.99324300e-02	-2.00446000e-07	4.98550383e+05	3	1.50128500e-01	-1.60743000e-09	-9.33966020e+07
7.04169951e+02	2023-03-16T20:10:53.519406	5.12412900e-05	1.29778500e-06	3.94836510e+01	-9.98745500e-02	-1.48042800e-06	6.74632944e+04	3	1.00080600e-01	-5.26401600e-09	-1.90122142e+07
