Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

8.77183892e-01	2023-02-13T18:34:19.637783	7.02323800e-05	1.39153200e-06	5.04712648e+01	-2.99968300e-01	1.71569900e-11	-1.74837369e+10	-5.99919100e-01	-5.19320200e-08	1.15520078e+07
2.80443044e+00	2023-02-13T18:34:21.561856	6.79733300e-05	8.56935600e-10	7.93213982e+04	-2.99967800e-01	1.20816100e-11	-2.48284624e+10	-5.57485200e-01	7.18958400e-10	-7.75406755e+08
4.72539133e+00	2023-02-13T18:34:23.481858	5.86024700e-05	-2.15930900e-08	-2.71394553e+03	-2.99968000e-01	1.21404800e-11	-2.47080840e+10	-5.70467900e-01	2.99209000e-09	-1.90658670e+08
6.16301116e+00	2023-02-13T18:34:24.921859	5.70964400e-05	-2.12685600e-08	-2.68454658e+03	-2.99968500e-01	-3.12546400e-11	9.59756695e+09	-5.22256300e-01	3.37345900e-09	-1.54813294e+08
7.60092385e+00	2023-02-13T18:34:26.361860	5.37497100e-05	-2.02719800e-08	-2.65142872e+03	-2.99968400e-01	-8.57251500e-11	3.49918781e+09	-4.54065100e-01	1.95044600e-09	-2.32800652e+08
9.04202255e+00	2023-02-13T18:34:27.802954	5.21599200e-05	-1.70586500e-08	-3.05768159e+03	-2.99968000e-01	-2.45477400e-11	1.22197807e+10	-4.03374200e-01	2.41812400e-09	-1.66812868e+08
1.04755491e+01	2023-02-13T18:34:29.236035	5.51720500e-05	-2.05500600e-08	-2.68476345e+03	-2.99968100e-01	-1.10950400e-10	2.70362342e+09	-3.40481900e-01	1.97250700e-09	-1.72613785e+08
1.19217688e+01	2023-02-13T18:34:30.682117	7.06508800e-05	-4.26788900e-08	-1.65540575e+03	-2.99967600e-01	-1.72227100e-11	1.74169803e+10	-2.82002900e-01	1.88187200e-09	-1.49852328e+08
1.33557579e+01	2023-02-13T18:34:32.116199	6.29532800e-05	-2.79283000e-08	-2.25410354e+03	-2.99967800e-01	5.40412500e-12	-5.55071913e+10	-2.37896600e-01	2.45983900e-09	-9.67122645e+07
1.54134285e+01	2023-02-13T18:34:34.174315	7.37466700e-05	-4.12640500e-08	-1.78718933e+03	-2.99968000e-01	-8.83382600e-12	3.39567476e+10	-1.92988100e-01	2.10674300e-09	-9.16049561e+07
1.68512098e+01	2023-02-13T18:34:35.611397	6.52960400e-05	-3.39520800e-08	-1.92318232e+03	-2.99967500e-01	-4.59946300e-12	6.52179396e+10	-1.35518300e-01	2.02826700e-09	-6.68148227e+07
1.89134621e+01	2023-02-13T18:34:37.674514	6.27023000e-05	-3.46157800e-08	-1.81137909e+03	-2.99968800e-01	-3.27488700e-12	9.15966872e+10	-7.22419700e-02	1.83632800e-09	-3.93404501e+07
2.09833436e+01	2023-02-13T18:34:39.743633	6.19493300e-05	-3.49770300e-08	-1.77114323e+03	-2.99968500e-01	8.93209500e-12	-3.35832187e+10	-4.92452400e-02	1.98235800e-09	-2.48417491e+07
2.30380337e+01	2023-02-13T18:34:41.798763	6.34553100e-05	-3.58742300e-08	-1.76882709e+03	-2.99967900e-01	-4.87050700e-11	6.15886395e+09	4.66282300e-02	-4.17801200e-10	-1.11603868e+08
2.51095045e+01	2023-02-13T18:34:43.869894	6.68019900e-05	-4.57327700e-08	-1.46070291e+03	-2.99968000e-01	-1.72780200e-09	1.73612486e+08	1.00055800e-01	2.47342100e-08	4.04523937e+06
2.67728127e+01	2023-02-13T18:34:45.532998	6.24513500e-05	-4.83357800e-08	-1.29203149e+03	-2.99963900e-01	-6.59725200e-10	4.54680070e+08	1.50052000e-01	4.29169200e-08	3.49633664e+06
2.82103189e+01	2023-02-13T18:34:46.971089	6.67183000e-05	-5.11620100e-08	-1.30405940e+03	-2.99967500e-01	-2.57584100e-09	1.16454199e+08	2.00045600e-01	5.56645400e-08	3.59377083e+06
2.96189637e+01	2023-02-13T18:34:48.379178	6.64673000e-05	-6.10899400e-08	-1.08802366e+03	-2.99969000e-01	-4.24206800e-09	7.07129164e+07	2.50078200e-01	6.69118000e-08	3.73743047e+06
3.07726824e+01	2023-02-13T18:34:49.533251	6.65509700e-05	-7.39431900e-08	-9.00028387e+02	-2.99967900e-01	-4.34521700e-09	6.90340436e+07	3.00078700e-01	7.80907300e-08	3.84269298e+06
