Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

2.01821738e+02	2023-02-13T18:53:28.229877	6.82242300e-05	8.43725600e-07	8.08606850e+01	1.00070000e-01	2.05421300e-11	4.87145199e+09	-9.99953300e-01	-7.84425500e-07	1.27475879e+06
2.02967558e+02	2023-02-13T18:53:29.375956	6.68018300e-05	4.96626500e-07	1.34511207e+02	1.00070300e-01	1.11692400e-11	8.95945472e+09	-9.49911500e-01	-5.89344800e-07	1.61180942e+06
2.04093387e+02	2023-02-13T18:53:30.501035	7.03994700e-05	3.70202900e-07	1.90164556e+02	1.00069400e-01	1.17243100e-11	8.53520591e+09	-8.99910400e-01	-4.38664800e-07	2.05147621e+06
2.05468806e+02	2023-02-13T18:53:31.877130	6.86424500e-05	2.25651900e-07	3.04196198e+02	1.00070200e-01	1.24980100e-11	8.00689070e+09	-8.49918900e-01	-2.70372300e-07	3.14351322e+06
2.06624498e+02	2023-02-13T18:53:33.032211	6.80568200e-05	1.09308100e-07	6.22614610e+02	1.00069700e-01	1.43440000e-11	6.97641523e+09	-7.99916300e-01	-1.33842700e-07	5.97654037e+06
2.07784300e+02	2023-02-13T18:53:34.192292	6.71365000e-05	9.77717900e-09	6.86665346e+03	1.00069400e-01	1.20943500e-11	8.27406186e+09	-7.47852100e-01	-3.48738400e-10	2.14445011e+09
2.09483378e+02	2023-02-13T18:53:35.891410	6.58815400e-05	-6.34446200e-08	-1.03841019e+03	1.00070100e-01	1.29016900e-11	7.75635595e+09	-6.99938000e-01	3.30540700e-08	-2.11755466e+07
2.11155348e+02	2023-02-13T18:53:37.563526	6.42918200e-05	-1.33941800e-07	-4.79998178e+02	1.00070400e-01	1.18715000e-11	8.42946553e+09	-6.49906600e-01	8.09914300e-08	-8.02438727e+06
2.12316527e+02	2023-02-13T18:53:38.724607	6.37898200e-05	-1.57103700e-07	-4.06036395e+02	1.00070600e-01	1.16360100e-11	8.60007855e+09	-5.99917600e-01	1.07241500e-07	-5.59408065e+06
2.13268595e+02	2023-02-13T18:53:39.676674	6.36225400e-05	-1.91278200e-07	-3.32617831e+02	1.00069500e-01	1.25695200e-11	7.96128253e+09	-5.49922400e-01	1.19345200e-07	-4.60783006e+06
2.14422773e+02	2023-02-13T18:53:40.830754	6.28694700e-05	-2.02977500e-07	-3.09736153e+02	1.00069400e-01	1.22793500e-11	8.14940530e+09	-4.99928000e-01	1.30315200e-07	-3.83629845e+06
2.15581745e+02	2023-02-13T18:53:41.989835	6.30368300e-05	-2.18282100e-07	-2.88786071e+02	1.00070200e-01	1.10094600e-11	9.08947396e+09	-4.49941700e-01	1.50730200e-07	-2.98507996e+06
2.16737777e+02	2023-02-13T18:53:43.145914	6.12798300e-05	-2.82701000e-07	-2.16765523e+02	1.00070000e-01	1.19682100e-11	8.36131719e+09	-3.99910600e-01	1.12768300e-07	-3.54630335e+06
2.17907680e+02	2023-02-13T18:53:44.315996	6.37061400e-05	-1.54425800e-07	-4.12535600e+02	1.00069800e-01	1.20817400e-11	8.28273080e+09	-3.49914000e-01	1.08981600e-07	-3.21076218e+06
2.19061480e+02	2023-02-13T18:53:45.470077	6.39571600e-05	-1.55371300e-07	-4.11640760e+02	1.00070100e-01	1.22835700e-11	8.14666257e+09	-2.99924900e-01	1.01857100e-07	-2.94456547e+06
2.20217578e+02	2023-02-13T18:53:46.626157	6.37898200e-05	-1.45666100e-07	-4.37918088e+02	1.00070000e-01	1.22709600e-11	8.15502618e+09	-2.49930200e-01	8.53173400e-08	-2.92941857e+06
2.21373817e+02	2023-02-13T18:53:47.782237	6.32878200e-05	-1.44781400e-07	-4.37126730e+02	1.00069600e-01	1.23719000e-11	8.08845852e+09	-1.99934300e-01	7.22619800e-08	-2.76679798e+06
2.22550115e+02	2023-02-13T18:53:48.958320	6.37061600e-05	-1.34208300e-07	-4.74681223e+02	1.00070400e-01	1.14005200e-11	8.77770488e+09	-1.49941200e-01	1.05326800e-07	-1.42358070e+06
2.24203130e+02	2023-02-13T18:53:50.611435	6.42918200e-05	-1.23954000e-07	-5.18674831e+02	1.00070200e-01	1.28638500e-11	7.77917964e+09	-9.99408000e-02	7.13168100e-08	-1.40136386e+06
2.25374200e+02	2023-02-13T18:53:51.782515	6.40408500e-05	-1.34296900e-07	-4.76860225e+02	1.00070400e-01	1.27881700e-11	7.82523223e+09	-4.99402800e-02	7.55370300e-08	-6.61136399e+05
