Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.04004492e+02	2023-02-13T20:16:13.298467	6.74709200e-05	5.98470300e-07	1.12738961e+02	-9.99441600e-02	-6.43851500e-11	1.55228589e+09	-9.99952100e-01	-5.41780000e-07	1.84567924e+06
1.05165434e+02	2023-02-13T20:16:14.459540	7.01482400e-05	2.36370900e-07	2.96771895e+02	-9.99445600e-02	-5.35701400e-11	1.86567666e+09	-9.49914300e-01	-2.44566400e-07	3.88407525e+06
1.06551224e+02	2023-02-13T20:16:15.845628	5.72633100e-05	7.62173900e-08	7.51315546e+02	-9.99454300e-02	-4.26331700e-11	2.34431148e+09	-8.99905400e-01	-9.72571000e-08	9.25285043e+06
1.07711507e+02	2023-02-13T20:16:17.005701	6.21161500e-05	-2.97811700e-09	-2.08575251e+04	-9.99452400e-02	-5.78339100e-11	1.72814254e+09	-8.49918300e-01	-2.22627900e-08	3.81766302e+07
1.09410420e+02	2023-02-13T20:16:18.704809	6.54629000e-05	-1.03463400e-07	-6.32715530e+02	-9.99449700e-02	-7.36443600e-11	1.35713000e+09	-7.99907500e-01	1.95932200e-08	-4.08257295e+07
1.11082125e+02	2023-02-13T20:16:20.376914	6.45425800e-05	-1.00242300e-07	-6.43865713e+02	-9.99446600e-02	-6.05712900e-11	1.65003354e+09	-7.49923800e-01	6.09333000e-08	-1.23072901e+07
1.12238720e+02	2023-02-13T20:16:21.532986	6.47935900e-05	-1.24826100e-07	-5.19070851e+02	-9.99446700e-02	-7.86986700e-11	1.26996644e+09	-6.99938400e-01	8.13247800e-08	-8.60670511e+06
1.13395099e+02	2023-02-13T20:16:22.689060	6.14468900e-05	-9.50878400e-08	-6.46211861e+02	-9.99438600e-02	-6.45785800e-11	1.54763174e+09	-6.49906600e-01	9.49937000e-08	-6.84157581e+06
1.14551238e+02	2023-02-13T20:16:23.845133	6.37059400e-05	-1.44438400e-07	-4.41059580e+02	-9.99447500e-02	-5.92047100e-11	1.68812160e+09	-5.99917800e-01	9.47037200e-08	-6.33468041e+06
1.15707499e+02	2023-02-13T20:16:25.002205	6.34548700e-05	-1.63757300e-07	-3.87493382e+02	-9.99437600e-02	-6.75514600e-11	1.47952035e+09	-5.49920800e-01	1.20691400e-07	-4.55642076e+06
1.16863760e+02	2023-02-13T20:16:26.158278	6.62996800e-05	-3.33607800e-07	-1.98735401e+02	-9.99438200e-02	-7.92284900e-11	1.26146314e+09	-4.99923700e-01	9.28148200e-08	-5.38624866e+06
1.18020127e+02	2023-02-13T20:16:27.314351	6.25345600e-05	-1.68462000e-07	-3.71208700e+02	-9.99446800e-02	-4.28980800e-11	2.32981709e+09	-4.49939100e-01	5.14083700e-08	-8.75225377e+06
1.19176346e+02	2023-02-13T20:16:28.470424	6.28692100e-05	-1.54842800e-07	-4.06019589e+02	-9.99443100e-02	-7.50698500e-11	1.33135087e+09	-3.99909100e-01	4.55525000e-08	-8.77908128e+06
1.20332539e+02	2023-02-13T20:16:29.626497	6.37895300e-05	-1.21457100e-07	-5.25202150e+02	-9.99451200e-02	-8.50354800e-11	1.17533434e+09	-3.49912200e-01	4.20379100e-08	-8.32372970e+06
1.21488823e+02	2023-02-13T20:16:30.783570	6.50446100e-05	-1.16721600e-07	-5.57262837e+02	-9.99446600e-02	-6.71520100e-11	1.48833460e+09	-2.99922800e-01	4.16839100e-08	-7.19516955e+06
1.22649496e+02	2023-02-13T20:16:31.943650	6.64669600e-05	-1.00599100e-07	-6.60711279e+02	-9.99441100e-02	-6.22995300e-11	1.60425143e+09	-2.49929300e-01	4.14164500e-08	-6.03454183e+06
1.23801385e+02	2023-02-13T20:16:33.095723	6.71363100e-05	-1.17646500e-07	-5.70661346e+02	-9.99432700e-02	-6.90399900e-11	1.44761420e+09	-1.99932400e-01	4.04763500e-08	-4.93948689e+06
1.24973228e+02	2023-02-13T20:16:34.267796	6.64669300e-05	-6.99518700e-08	-9.50180889e+02	-9.99439100e-02	-8.06203200e-11	1.23968635e+09	-1.49951800e-01	3.70202100e-08	-4.05053888e+06
1.26394821e+02	2023-02-13T20:16:35.688886	6.82240100e-05	-8.47211000e-08	-8.05277670e+02	-9.99447500e-02	-9.02747700e-11	1.10711719e+09	-9.99154700e-02	4.17977200e-08	-2.39045264e+06
