Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

3.12374574e+02	2023-02-13T20:19:41.669802	6.73872900e-05	6.25233000e-07	1.07779484e+02	3.00071800e-01	5.77152500e-10	5.19917699e+08	-9.99952900e-01	-5.68369700e-07	1.75933534e+06
3.13537174e+02	2023-02-13T20:19:42.832875	7.07339600e-05	2.43692500e-07	2.90259077e+02	3.00072800e-01	2.56421400e-10	1.17023306e+09	-9.49914700e-01	-2.58675800e-07	3.67222098e+06
3.14925527e+02	2023-02-13T20:19:44.220963	6.73036400e-05	7.24293000e-08	9.29232231e+02	3.00072000e-01	2.50328600e-10	1.19871241e+09	-8.99910200e-01	-9.41459100e-08	9.55867546e+06
3.16082226e+02	2023-02-13T20:19:45.378035	6.23671800e-05	-2.93511000e-09	-2.12486687e+04	3.00072700e-01	2.06071700e-10	1.45615676e+09	-8.49916000e-01	-2.16484000e-08	3.92599915e+07
3.17785395e+02	2023-02-13T20:19:47.081143	6.62996100e-05	-9.19583300e-08	-7.20974489e+02	3.00072000e-01	2.17227400e-10	1.38137270e+09	-7.99907700e-01	2.08249600e-08	-3.84110078e+07
3.19457726e+02	2023-02-13T20:19:48.753249	6.62996500e-05	-6.88994100e-08	-9.62267311e+02	3.00072300e-01	1.90113800e-10	1.57838253e+09	-7.49924600e-01	5.33354200e-08	-1.40605361e+07
3.21129053e+02	2023-02-13T20:19:50.424354	6.47935900e-05	-1.13428200e-07	-5.71229994e+02	3.00072500e-01	1.76300800e-10	1.70204843e+09	-6.99938000e-01	7.67574400e-08	-9.11882939e+06
3.22285457e+02	2023-02-13T20:19:51.581427	6.43753000e-05	-1.31954100e-07	-4.87861309e+02	3.00072300e-01	1.51075300e-10	1.98624328e+09	-6.49906300e-01	8.69331700e-08	-7.47593007e+06
3.23504014e+02	2023-02-13T20:19:52.799504	6.44590100e-05	-1.31125800e-07	-4.91581443e+02	3.00071500e-01	1.35420400e-10	2.21585153e+09	-5.99917600e-01	8.94236800e-08	-6.70871071e+06
3.24663568e+02	2023-02-13T20:19:53.959577	6.35385700e-05	-1.50810900e-07	-4.21312849e+02	3.00072300e-01	1.38452100e-10	2.16733657e+09	-5.49921600e-01	1.15042100e-07	-4.78017700e+06
3.25816139e+02	2023-02-13T20:19:55.111650	6.19489300e-05	-2.73002100e-07	-2.26917412e+02	3.00072300e-01	2.30321400e-10	1.30284159e+09	-4.99924100e-01	9.65042600e-08	-5.18033194e+06
3.26976390e+02	2023-02-13T20:19:56.271724	7.20727800e-05	-1.06849500e-07	-6.74526133e+02	3.00071700e-01	1.32388700e-10	2.26659602e+09	-4.49937900e-01	5.29062200e-08	-8.50444239e+06
3.28129071e+02	2023-02-13T20:19:57.424796	6.62159600e-05	-1.21291300e-07	-5.45925058e+02	3.00072300e-01	1.72537400e-10	1.73917249e+09	-3.99908100e-01	4.52202300e-08	-8.84356625e+06
3.29287209e+02	2023-02-13T20:19:58.582869	6.27855200e-05	-1.33979300e-07	-4.68621048e+02	3.00072500e-01	1.19895800e-10	2.50277741e+09	-3.49915400e-01	4.35890900e-08	-8.02759131e+06
3.30444442e+02	2023-02-13T20:19:59.739942	6.58812900e-05	-7.51709700e-08	-8.76419315e+02	3.00072000e-01	1.14526100e-10	2.62011891e+09	-2.99925800e-01	4.66201900e-08	-6.43338862e+06
3.31613373e+02	2023-02-13T20:20:00.909015	6.54629600e-05	-7.86864200e-08	-8.31947368e+02	3.00073100e-01	2.85591000e-10	1.05070923e+09	-2.49931500e-01	4.54670100e-08	-5.49698562e+06
3.32769786e+02	2023-02-13T20:20:02.065089	6.57976500e-05	-7.95862000e-08	-8.26746974e+02	3.00071300e-01	1.28137400e-10	2.34179326e+09	-1.99934100e-01	4.25212900e-08	-4.70197635e+06
3.33942171e+02	2023-02-13T20:20:03.238163	6.52119400e-05	-7.89071800e-08	-8.26438608e+02	3.00072700e-01	1.98418700e-10	1.51232066e+09	-1.49928000e-01	4.00528900e-08	-3.74325049e+06
3.35363374e+02	2023-02-13T20:20:04.659252	6.41242500e-05	-2.32798800e-07	-2.75449229e+02	3.00073500e-01	5.77219700e-10	5.19860116e+08	-9.99399700e-02	3.75627600e-08	-2.66061306e+06
