Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.43536552e+02	2023-03-02T18:05:30.836595	5.96065100e-05	3.52107500e-04	1.69284977e-01	-6.99929900e-01	-3.85654000e-04	1.81491674e+03	1	-7.99965300e-01	-9.08143700e-08	8.80879645e+06
3.44066374e+02	2023-03-02T18:05:31.366628	1.18177900e-04	3.77133000e-04	3.13358682e-01	-6.99910500e-01	-3.80947800e-04	1.83728716e+03	1	-7.49923300e-01	-9.22383500e-08	8.13027661e+06
3.44737872e+02	2023-03-02T18:05:32.037671	4.28732000e-05	3.67184400e-04	1.16762041e-01	-6.99968000e-01	-3.66709300e-04	1.90878170e+03	1	-6.99891600e-01	-6.74904800e-08	1.03702270e+07
3.45550762e+02	2023-03-02T18:05:32.850722	9.30783900e-05	3.41612400e-04	2.72467832e-01	-6.99927200e-01	-3.42871900e-04	2.04136647e+03	1	-6.49893000e-01	-5.71430100e-08	1.13730971e+07
3.46910279e+02	2023-03-02T18:05:34.210809	8.47056700e-05	3.04038200e-04	2.78602064e-01	-6.99934600e-01	-3.07738600e-04	2.27444526e+03	1	-5.99905900e-01	-3.49042100e-08	1.71872075e+07
3.47769320e+02	2023-03-02T18:05:35.069862	5.96077600e-05	2.79513400e-04	2.13255465e-01	-6.99933500e-01	-2.78471800e-04	2.51348072e+03	1	-5.49944800e-01	-2.74458600e-08	2.00374410e+07
3.48644486e+02	2023-03-02T18:05:35.944917	8.47112000e-05	2.50001200e-04	3.38843174e-01	-6.99925200e-01	-2.48894200e-04	2.81213946e+03	1	-4.99945100e-01	-4.88094600e-08	1.02427910e+07
3.49504000e+02	2023-03-02T18:05:36.803972	8.47104100e-05	2.20332000e-04	3.84467122e-01	-6.99925200e-01	-2.20326200e-04	3.17676790e+03	1	-4.49935600e-01	-4.82961800e-09	9.31617366e+07
3.50363196e+02	2023-03-02T18:05:37.663026	9.30783900e-05	1.92706800e-04	4.83005218e-01	-6.99913100e-01	-1.92595200e-04	3.63411497e+03	1	-3.99901900e-01	2.34563900e-09	-1.70487402e+08
3.51222687e+02	2023-03-02T18:05:38.523081	9.30792300e-05	1.65569900e-04	5.62174828e-01	-6.99916900e-01	-1.65511900e-04	4.22880107e+03	1	-3.49970800e-01	2.78674300e-09	-1.25584168e+08
3.51925903e+02	2023-03-02T18:05:39.226124	7.63432700e-05	1.39082500e-04	5.48906369e-01	-6.99934600e-01	-1.38806100e-04	5.04253487e+03	1	-2.99881500e-01	1.46869100e-08	-2.04182840e+07
3.52650046e+02	2023-03-02T18:05:39.950171	8.47096200e-05	1.14482100e-04	7.39937685e-01	-6.99930900e-01	-1.13305300e-04	6.17738888e+03	1	-2.49851400e-01	5.88541800e-08	-4.24526176e+06
3.53316344e+02	2023-03-02T18:05:40.616212	1.01445600e-04	9.08772500e-05	1.11629258e+00	-6.99909500e-01	-9.05263700e-05	7.73155380e+03	1	-1.99961000e-01	1.05615600e-07	-1.89329039e+06
3.53988319e+02	2023-03-02T18:05:41.288255	7.63432700e-05	6.92355500e-05	1.10265998e+00	-6.99952500e-01	-6.89573200e-05	1.01505177e+04	1	-1.49854900e-01	2.49554700e-07	-6.00489191e+05
3.54666444e+02	2023-03-02T18:05:41.966298	1.01446500e-04	4.90074100e-05	2.07002370e+00	-6.99899000e-01	-4.90761600e-05	1.42614866e+04	1	-9.99203800e-02	3.96896500e-07	-2.51754248e+05
3.55332149e+02	2023-03-02T18:05:42.632339	7.63440100e-05	3.09822100e-05	2.46412409e+00	-6.99905900e-01	-3.15022300e-05	2.22176621e+04	1	-4.99424300e-02	4.74278100e-07	-1.05301995e+05
3.56134565e+02	2023-03-02T18:05:43.434391	1.09811800e-04	1.67840200e-05	6.54263996e+00	-6.99917900e-01	-1.73072900e-05	4.04406409e+04	1	2.01414800e-05	4.89639500e-07	4.11353251e+01
3.56790249e+02	2023-03-02T18:05:44.090431	5.12407300e-05	6.67252500e-06	7.67936126e+00	-6.99925200e-01	-7.18967000e-06	9.73515057e+04	1	5.00593900e-02	5.22221700e-07	9.58585022e+04
3.57441278e+02	2023-03-02T18:05:44.741473	9.30783900e-05	1.47273300e-06	6.32011301e+01	-6.99912100e-01	-2.03819600e-06	3.43397838e+05	1	1.00122400e-01	5.68936300e-07	1.75981740e+05
