Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

1.02545267e+02	2023-03-02T18:10:29.570776	5.35975000e-05	5.28932200e-07	1.01331513e+02	-5.99932300e-01	-1.84734600e-05	3.24753620e+04
1.03295366e+02	2023-03-02T18:10:30.320823	1.03769700e-04	3.21305300e-07	3.22962927e+02	-5.74940100e-01	-1.78406100e-05	3.22264822e+04
1.03951414e+02	2023-03-02T18:10:30.976865	2.85095900e-05	2.23954100e-07	1.27301041e+02	-5.49997200e-01	-1.74842100e-05	3.14567944e+04
1.04454977e+02	2023-03-02T18:10:31.479897	5.35911600e-05	1.50843700e-07	3.55276090e+02	-5.24902500e-01	-1.72581600e-05	3.04147429e+04
1.04935986e+02	2023-03-02T18:10:31.960927	8.70568900e-05	1.08296800e-07	8.03873152e+02	-4.99958300e-01	-1.70820100e-05	2.92681189e+04
1.05440047e+02	2023-03-02T18:10:32.464959	2.85062700e-05	6.65357300e-08	4.28435519e+02	-4.74920200e-01	-1.69185100e-05	2.80710417e+04
1.05796386e+02	2023-03-02T18:10:32.821982	3.68677700e-05	2.69840300e-08	1.36628109e+03	-4.49883700e-01	-1.66335200e-05	2.70468127e+04
1.06345451e+02	2023-03-02T18:10:33.371016	6.19561200e-05	1.88279600e-08	3.29064434e+03	-4.24905500e-01	-1.66141800e-05	2.55748704e+04
1.06717067e+02	2023-03-02T18:10:33.742039	3.68645100e-05	8.88422800e-09	4.14943313e+03	-3.99911300e-01	-1.63774300e-05	2.44184405e+04
1.07232984e+02	2023-03-02T18:10:34.258072	3.40491500e-06	3.27403400e-09	1.03997546e+03	-3.74888800e-01	-1.62605300e-05	2.30551403e+04
1.07748207e+02	2023-03-02T18:10:34.773104	2.01448600e-05	-5.15006500e-10	-3.91157393e+04	-3.50001900e-01	-1.62328700e-05	2.15613074e+04
1.08127617e+02	2023-03-02T18:10:35.153129	5.36006400e-05	-4.11608000e-09	-1.30222542e+04	-3.24924800e-01	-1.61711700e-05	2.00928442e+04
1.08654889e+02	2023-03-02T18:10:35.680161	4.52358500e-05	-4.17834000e-09	-1.08262731e+04	-2.99944700e-01	-1.61004100e-05	1.86296312e+04
1.09170159e+02	2023-03-02T18:10:36.195195	3.41190000e-06	-3.70100900e-09	-9.21883735e+02	-2.74948800e-01	-1.60740300e-05	1.71051566e+04
1.09685851e+02	2023-03-02T18:10:36.711227	-1.33105200e-05	-5.03653400e-10	2.64279364e+04	-2.49993000e-01	-1.60679200e-05	1.55585166e+04
1.10201447e+02	2023-03-02T18:10:37.226259	7.03362700e-05	1.01533400e-08	6.92740221e+03	-2.24913300e-01	-1.59891000e-05	1.40666642e+04
1.10716940e+02	2023-03-02T18:10:37.742292	1.03781000e-04	3.07367200e-08	3.37645006e+03	-1.99900400e-01	-1.57907200e-05	1.26593594e+04
1.11232755e+02	2023-03-02T18:10:38.258325	1.37251200e-04	3.59111200e-08	3.82196935e+03	-1.74917900e-01	-1.58190000e-05	1.10574562e+04
