Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

8.54529218e+01	2023-03-02T17:42:30.764087	-1.99905400e-01	2.43752000e-08	-8.20117989e+06	-6.00023400e-01	-1.92379300e-07	3.11896030e+06
8.63127428e+01	2023-03-02T17:42:31.624141	-1.99903800e-01	2.01351700e-08	-9.92809100e+06	-5.74920800e-01	-1.81705200e-07	3.16403053e+06
8.69838983e+01	2023-03-02T17:42:32.295184	-1.99915100e-01	1.43080100e-08	-1.39722505e+07	-5.49981400e-01	-1.62968500e-07	3.37477120e+06
8.75150543e+01	2023-03-02T17:42:32.826218	-1.99926200e-01	1.15391800e-08	-1.73258585e+07	-5.24968500e-01	-1.54811100e-07	3.39102622e+06
8.81912404e+01	2023-03-02T17:42:33.502260	-1.99898400e-01	9.50542200e-09	-2.10299343e+07	-4.99869700e-01	-1.69914900e-07	2.94188267e+06
8.88587877e+01	2023-03-02T17:42:34.169302	-1.99937300e-01	8.76096000e-09	-2.28213917e+07	-4.74890000e-01	-1.34516800e-07	3.53033970e+06
8.95309430e+01	2023-03-02T17:42:34.842345	-1.99933200e-01	7.14979900e-09	-2.79634714e+07	-4.49994000e-01	-1.27371700e-07	3.53291979e+06
9.02035172e+01	2023-03-02T17:42:35.514387	-1.99941600e-01	7.39242500e-09	-2.70468216e+07	-4.24883300e-01	-1.06242200e-07	3.99919524e+06
9.08744853e+01	2023-03-02T17:42:36.185430	-1.99934600e-01	5.88788800e-09	-3.39569299e+07	-3.99914300e-01	-1.06449400e-07	3.75684879e+06
9.15464577e+01	2023-03-02T17:42:36.857472	-1.99894100e-01	5.66632500e-09	-3.52775564e+07	-3.74918900e-01	-9.03425300e-08	4.14997123e+06
9.22244341e+01	2023-03-02T17:42:37.535515	-1.99894100e-01	5.57717900e-09	-3.58414352e+07	-3.49898900e-01	-8.96274400e-08	3.90392607e+06
9.28900515e+01	2023-03-02T17:42:38.200556	-1.99916500e-01	4.49322300e-09	-4.44928952e+07	-3.24912000e-01	-8.50284800e-08	3.82121379e+06
9.35619412e+01	2023-03-02T17:42:38.872598	-1.99901100e-01	5.07121400e-09	-3.94187861e+07	-2.99953300e-01	-7.41349000e-08	4.04604714e+06
9.42352448e+01	2023-03-02T17:42:39.546642	-1.99921900e-01	3.97163000e-09	-5.03374937e+07	-2.74919000e-01	-6.34216200e-08	4.33478363e+06
9.49220791e+01	2023-03-02T17:42:40.232685	-1.99916500e-01	4.49523400e-09	-4.44729907e+07	-2.49974700e-01	-4.18953700e-08	5.96664261e+06
9.56089626e+01	2023-03-02T17:42:40.919728	-1.99916500e-01	3.69712400e-09	-5.40735177e+07	-2.24914800e-01	-3.16264300e-08	7.11160887e+06
9.64681217e+01	2023-03-02T17:42:41.778782	-1.99916500e-01	3.44477800e-09	-5.80346542e+07	-1.99926800e-01	-2.77062700e-08	7.21594065e+06
